#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",2086.0,+221/-163,0.913,4.5,2.51,1.35,22.2,1.733,✔️,0.0,False,GPU,system,
1,📊,System,[TabFM+](https://github.com/google-research/tabfm),2082.0,+205/-149,0.925,4.57,2.29,0.925,11.21,7.183,✔️,0.0,False,GPU,system,
2,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",2020.0,+182/-117,0.884,5.73,3.5,1.831,19.36,1.632,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1989.0,+166/-99,0.877,6.42,3.24,2.052,39.42,6.476,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1881.0,+143/-97,0.77,9.35,5.75,3.15,7.26,0.787,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1797.0,+216/-127,0.693,12.33,6.54,2.835,3.66,0.399,✔️,0.0,False,GPU,model,
6,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1770.0,+137/-87,0.641,13.39,7.68,4.34,335.03,4.334,✔️,0.0,False,GPU,system,
7,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1756.0,+119/-78,0.642,13.99,5.87,3.853,11.58,2.023,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1730.0,+95/-51,0.595,15.12,11.88,4.422,8.52,0.696,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1730.0,+135/-96,0.572,15.13,10.12,3.804,1709.05,8.119,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1720.0,+156/-87,0.577,15.57,5.99,4.642,4786.6,239.304,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1681.0,+228/-138,0.621,17.45,7.97,4.361,1.32,0.122,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1674.0,+127/-78,0.557,17.83,12.08,4.925,6.93,1.389,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1667.0,+125/-64,0.526,18.19,11.3,5.077,4786.6,38.497,✔️,0.0,False,GPU,model,
14,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1644.0,+107/-62,0.453,19.36,14.36,5.451,3995.01,10.048,✔️,0.0,False,GPU,model,
15,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1625.0,+148/-106,0.471,20.42,12.3,4.543,1709.05,0.811,✔️,0.0,False,GPU,model,
16,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1602.0,+174/-94,0.441,21.7,12.91,5.592,2.08,0.182,➖,0.0,False,GPU,model,
17,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1586.0,+98/-82,0.36,22.61,18.27,6.812,1866.35,6.07,✔️,0.0,False,CPU,system,
18,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1581.0,+136/-69,0.425,22.89,12.18,5.986,46.62,39.212,✔️,0.0,False,GPU,model,
19,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1542.0,+104/-72,0.31,25.21,18.85,6.407,3995.01,0.844,✔️,0.0,False,GPU,model,
20,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1535.0,+138/-101,0.383,25.67,18.97,5.991,7.04,0.508,✔️,0.0,False,GPU,model,
21,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1531.0,+132/-115,0.332,25.89,10.83,7.649,3779.7,7.69,✔️,0.0,False,GPU,model,
22,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1480.0,+88/-61,0.191,29.1,24.36,8.345,2229.21,0.38,✔️,0.0,False,CPU,model,
23,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1472.0,+79/-74,0.195,29.68,25.88,8.782,700.19,9.322,✔️,0.0,False,CPU,model,
24,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1463.0,+103/-96,0.229,30.26,23.22,7.857,714.5,1.376,✔️,0.0,False,GPU,model,
25,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1457.0,+90/-65,0.17,30.66,25.79,8.482,2229.21,0.055,✔️,0.0,False,CPU,model,
26,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1447.0,+113/-77,0.235,31.37,25.91,7.287,3013.86,2.092,✔️,0.0,False,GPU,model,
27,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1433.0,+61/-44,0.184,32.3,26.34,9.697,12685.08,321.741,✔️,0.0,False,GPU,model,
28,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1410.0,+80/-74,0.131,33.94,29.65,9.355,700.19,0.968,✔️,0.0,False,CPU,model,
29,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1405.0,+108/-102,0.174,34.27,10.28,9.673,518.43,0.46,✔️,0.0,False,CPU,model,
30,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1400.0,+54/-38,0.107,34.63,31.97,9.304,834.93,2.614,✔️,0.0,False,CPU,model,
31,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1397.0,+144/-107,0.232,34.82,25.5,7.664,0.91,0.075,➖,0.0,False,GPU,model,
