method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,5547.019763766776,3.2671443730084593,18.418748068018758,1497.8,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,253.43723833848574,3.2415043938365904,12.403087910108889,1743.5,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,21.661205439495014,0.7128116840174554,13.141370563925516,1719.9,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,23.038071522937656,0.7158993774133232,11.49503735386407,1773.7,1.0,False,0.0
BetaTabPFN,Foundation Model,283.64628629595046,4.102762514065599,25.66436320243494,1281.2,1.0,False,0.0
CatBoost,Tree-based,26.31949572472692,0.25360732128199437,23.030036650751,1289.3,1.0,False,0.0
CatBoost,Tree-based,52.27604545838098,0.42316018389611426,20.837526288731183,1363.8,2.0,False,0.0
CatBoost,Tree-based,120.74210514852015,0.60515671294262,19.771488764707783,1406.1,5.0,False,0.0
CatBoost,Tree-based,216.64229365631525,0.7512952022322572,19.120823802988536,1432.5,10.0,False,0.0
CatBoost,Tree-based,415.1322548777084,0.8418166172934506,18.604301265101007,1450.3,25.0,False,0.0
CatBoost,Tree-based,727.79244724654,1.0075572470375904,18.60034979704654,1445.6,50.0,False,0.0
CatBoost,Tree-based,1402.2322064530945,1.1300458847340233,17.910306393617212,1455.5,100.0,False,0.0
CatBoost,Tree-based,2094.587026290945,1.2201190610820136,17.713775707506173,1447.0,150.0,False,0.0
CatBoost,Tree-based,2807.9829916592535,1.2219998696609164,17.457721627772465,1457.9,201.0,False,0.0
ChimeraBoost,Tree-based,8.61972090629037,0.10942806422801879,26.76777717025812,1264.9,1.0,False,0.0
ChimeraBoost,Tree-based,17.371835320360827,0.18312332223717537,26.25743107149448,1259.2,2.0,False,0.0
ChimeraBoost,Tree-based,41.99641850098292,0.3254630149820873,25.74212445155912,1260.4,5.0,False,0.0
ChimeraBoost,Tree-based,84.69179470335976,0.46739245569676147,25.23607038985796,1267.4,10.0,False,0.0
ChimeraBoost,Tree-based,213.81590884943074,0.5505975601660462,24.30265139753803,1286.9,25.0,False,0.0
ChimeraBoost,Tree-based,431.5971516863324,0.6681115899202003,23.75375042754088,1301.9,50.0,False,0.0
ChimeraBoost,Tree-based,864.5032224093512,0.7810601461663916,23.51822583156988,1312.9,100.0,False,0.0
ChimeraBoost,Tree-based,1293.2595881697134,0.8394536599460407,23.56204403694357,1305.6,150.0,False,0.0
ChimeraBoost,Tree-based,1729.7280097406056,0.8977874372919195,23.59260687000266,1300.7,201.0,False,0.0
EBM,Tree-based,12.194256444148424,0.042444576342367646,25.914474809190008,1214.5,1.0,False,0.0
EBM,Tree-based,81.22303813539394,0.11310962250900392,25.552187439861836,1220.9,2.0,False,0.0
EBM,Tree-based,314.4258454847504,0.18335135147574033,25.30301365545837,1239.0,5.0,False,0.0
EBM,Tree-based,700.8132948146103,0.18348596169154413,25.251638874454898,1245.6,10.0,False,0.0
EBM,Tree-based,1955.0904519335943,0.19588392729555593,25.01646315540038,1255.9,25.0,False,0.0
EBM,Tree-based,4550.04309660802,0.19937538879305344,24.772660496088267,1262.9,50.0,False,0.0
EBM,Tree-based,8811.076524426935,0.21465372420530876,24.312335853020496,1294.6,100.0,False,0.0
EBM,Tree-based,13221.524417293755,0.23863620774706773,24.11570013965,1305.2,150.0,False,0.0
EBM,Tree-based,17528.831491194233,0.28175460140584613,23.97085281872034,1310.3,201.0,False,0.0
EXAONE-Tabular,Foundation Model,12.243629328876331,0.6814101592863328,10.759483951501268,1770.4,1.0,False,0.0
ExtraTrees,Tree-based,5.15583797116931,0.7866568202370239,39.28601897791167,933.3,1.0,False,0.0
ExtraTrees,Tree-based,9.967122385846753,0.9513567956692126,35.176961896181055,1010.3,2.0,False,0.0
ExtraTrees,Tree-based,24.61922874958849,0.796971752406789,28.783681914743564,1130.4,5.0,False,0.0
ExtraTrees,Tree-based,48.781772959480705,1.0328003280853149,26.96967160546207,1210.2,10.0,False,0.0
ExtraTrees,Tree-based,120.47856377232904,1.4148344837914677,25.014832524680454,1286.9,25.0,False,0.0
ExtraTrees,Tree-based,240.38650940231912,1.4054403816760364,24.808776587021285,1292.2,50.0,False,0.0
ExtraTrees,Tree-based,480.7654959147551,1.63798156816959,24.612446013081403,1296.6,100.0,False,0.0
ExtraTrees,Tree-based,722.162770693417,1.7473298833784874,24.42082368220411,1307.2,150.0,False,0.0
ExtraTrees,Tree-based,968.8626049308126,1.86363752738656,24.379685890910594,1309.2,201.0,False,0.0
FastaiMLP,Neural Network,8.375519893134893,0.6590449293607239,37.72323439453106,923.7,1.0,False,0.0
FastaiMLP,Neural Network,21.764623486230413,1.4924031951676258,36.45604747677105,957.8,2.0,False,0.0
FastaiMLP,Neural Network,63.38688810499963,3.139054265176452,33.47992459003366,1064.9,5.0,False,0.0
FastaiMLP,Neural Network,129.35255340301515,4.194877340958177,32.20471196202342,1127.6,10.0,False,0.0
FastaiMLP,Neural Network,331.75960871892454,5.892713095464621,30.68497828453066,1164.8,25.0,False,0.0
FastaiMLP,Neural Network,670.3371800320102,7.327056210145379,29.931677870927288,1189.4,50.0,False,0.0
FastaiMLP,Neural Network,1343.6187037297645,9.581338624450684,29.48140793757058,1208.1,100.0,False,0.0
FastaiMLP,Neural Network,2023.8043409808984,11.445277041936357,29.344331117886245,1211.1,150.0,False,0.0
FastaiMLP,Neural Network,2721.8722746730828,12.590091641480733,29.26775545699154,1211.5,201.0,False,0.0
LightGBM,Tree-based,5.120006979267361,0.44373072634716737,26.77705691745425,1198.1,1.0,False,0.0
LightGBM,Tree-based,12.225339492418353,1.7310412682253848,25.817175435520223,1234.0,2.0,False,0.0
LightGBM,Tree-based,30.380262980879944,2.3562691130828837,24.494283051584492,1293.0,5.0,False,0.0
LightGBM,Tree-based,62.106802543753034,2.9537243970450064,23.414372870362072,1341.0,10.0,False,0.0
LightGBM,Tree-based,158.84729392742923,3.4130882094403714,21.800466940140765,1374.5,25.0,False,0.0
LightGBM,Tree-based,317.66743217998976,4.00103410806775,21.14574852068245,1406.1,50.0,False,0.0
LightGBM,Tree-based,636.5825631214209,4.5773453267588184,20.783407309038665,1428.4,100.0,False,0.0
LightGBM,Tree-based,952.9418266180646,4.255703414422658,20.624943387984622,1432.0,150.0,False,0.0
LightGBM,Tree-based,1280.1849396349558,4.077698739785666,20.400933441118095,1442.5,201.0,False,0.0
LimiX,Foundation Model,41.12345448521016,8.609198273288408,14.317223198226234,1511.2,1.0,False,0.0
Mitra,Foundation Model,159.48286961149296,3.5435441031860546,23.030456224246947,1415.1,1.0,True,25.0
ModernNCA,Neural Network,17.244184316915785,0.5648398112879867,30.768516574038024,1111.1,1.0,False,0.0
ModernNCA,Neural Network,52.86272222270692,1.108698614903013,28.100948498359855,1162.5,2.0,False,0.0
ModernNCA,Neural Network,160.60820095308168,1.9275358110759022,25.02135012871291,1250.6,5.0,False,0.0
ModernNCA,Neural Network,327.24566614779724,2.936583997647706,24.21225430677284,1278.8,10.0,False,0.0
ModernNCA,Neural Network,806.1467207879468,4.735073375626185,23.554049863569396,1308.0,25.0,False,0.0
ModernNCA,Neural Network,1661.0512370872575,6.216685065377218,23.07267658611285,1311.3,50.0,False,0.0
ModernNCA,Neural Network,3324.8557036776956,7.559401884192615,23.014857743422603,1308.0,100.0,False,0.0
ModernNCA,Neural Network,4975.668728929599,8.749217224378594,22.405231088969046,1327.7,150.0,False,0.0
