#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),2323.0,+288/-126,0.907,3.08,2.12,0.807,12.6,7.186,✔️,0.0,False,GPU,system,
1,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",2320.0,+234/-111,0.887,3.12,2.02,1.24,22.65,1.076,✔️,0.0,False,GPU,system,
2,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",2194.0,+183/-66,0.847,4.73,3.16,1.82,16.73,1.485,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2166.0,+265/-84,0.868,5.15,2.54,2.194,40.79,6.492,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1923.0,+169/-105,0.701,10.69,7.57,3.227,7.92,0.786,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1908.0,+254/-148,0.664,11.15,6.44,3.09,4.02,0.398,✔️,0.0,False,GPU,model,
6,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1908.0,+118/-42,0.65,11.15,8.28,4.136,339.37,3.244,✔️,0.0,False,GPU,system,
7,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1892.0,+169/-94,0.64,11.69,7.77,3.885,11.81,2.007,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1858.0,+214/-141,0.608,12.85,9.14,3.542,2043.54,8.366,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1845.0,+153/-60,0.593,13.31,9.58,4.175,8.44,0.7,✔️,0.0,False,GPU,model,
