method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,1735.7213389822807,2.5579539551959085,13.506032249352081,1532.7,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,289.07302181798457,4.030576938465613,8.79550532226651,1715.0,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,11.580510791672602,0.6082915781866469,7.76232567993077,1800.4,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,14.475120726440634,0.818269879836389,7.13783485488669,1847.9,1.0,False,0.0
CatBoost,Tree-based,5.876676442022475,0.02489617665608724,16.194504709044548,1388.6,1.0,False,0.0
CatBoost,Tree-based,11.667825125586923,0.06336535482356946,15.780774752536253,1408.6,2.0,False,0.0
CatBoost,Tree-based,31.910651762403862,0.11771650741480857,15.517252051251889,1426.7,5.0,False,0.0
CatBoost,Tree-based,62.57212517570079,0.1714353465164701,15.419231715084278,1431.6,10.0,False,0.0
CatBoost,Tree-based,155.90493556689327,0.22162205257045137,15.314884297527644,1437.2,25.0,False,0.0
CatBoost,Tree-based,317.34591689097914,0.2666794694644051,15.305289371999306,1437.7,50.0,False,0.0
CatBoost,Tree-based,662.4830210733933,0.31052760007315267,15.322159229365054,1436.5,100.0,False,0.0
CatBoost,Tree-based,998.8498259224127,0.340735055101516,15.341332789013066,1435.1,150.0,False,0.0
CatBoost,Tree-based,1346.210691180287,0.344857002822471,15.3479297252076,1434.0,201.0,False,0.0
ChimeraBoost,Tree-based,2.653780256788737,0.05158072382519021,17.92823218359842,1323.0,1.0,False,0.0
ChimeraBoost,Tree-based,5.298554896299811,0.08903779710332553,17.651189158617107,1338.7,2.0,False,0.0
ChimeraBoost,Tree-based,12.859152926775328,0.17506735926061492,17.47544036629752,1348.8,5.0,False,0.0
ChimeraBoost,Tree-based,25.612122803616078,0.24178719080975938,17.32619020311469,1358.4,10.0,False,0.0
ChimeraBoost,Tree-based,64.38503109144581,0.323209574023442,17.05532368980617,1373.2,25.0,False,0.0
ChimeraBoost,Tree-based,129.08068124494818,0.3824725804797817,16.90676647352313,1381.2,50.0,False,0.0
ChimeraBoost,Tree-based,258.0341342976716,0.4432263782307754,16.738717763255067,1390.4,100.0,False,0.0
ChimeraBoost,Tree-based,386.9186196798273,0.4502153007189433,16.66616590997463,1394.4,150.0,False,0.0
ChimeraBoost,Tree-based,518.4320707488994,0.4692529093322957,16.637750657741172,1396.4,201.0,False,0.0
EBM,Tree-based,6.673146850898109,0.014352864847965238,20.86817524891671,1210.6,1.0,False,0.0
EBM,Tree-based,16.576534345676816,0.030424724199585355,20.476642143480657,1224.4,2.0,False,0.0
EBM,Tree-based,47.738558903301914,0.052842477784541445,20.056803071877123,1244.4,5.0,False,0.0
EBM,Tree-based,89.41107246991604,0.0702878348384009,19.877671862823682,1253.2,10.0,False,0.0
EBM,Tree-based,218.44812470797967,0.09747169882795435,19.652557915643158,1263.3,25.0,False,0.0
EBM,Tree-based,440.25457359654257,0.11411218718429054,19.512912034510386,1271.2,50.0,False,0.0
EBM,Tree-based,856.7647171052814,0.12772155113709277,19.39250159240852,1277.4,100.0,False,0.0
EBM,Tree-based,1266.0910927829382,0.13762164045367722,19.34985191339559,1280.8,150.0,False,0.0
EBM,Tree-based,1711.2458519871225,0.1384442291079833,19.308502611635276,1283.6,201.0,False,0.0
EXAONE-Tabular,Foundation Model,5.787384942173958,0.6051184718374907,8.050194434465388,1810.9,1.0,False,0.0
ExtraTrees,Tree-based,1.8719729433204921,0.28340813208977944,26.698005434543752,1009.2,1.0,False,0.0
ExtraTrees,Tree-based,3.1259596547771116,0.299267558256785,24.8740034010155,1053.4,2.0,False,0.0
ExtraTrees,Tree-based,6.772191225672007,0.3233863551370985,22.24300529245377,1125.9,5.0,False,0.0
ExtraTrees,Tree-based,13.288092341970305,0.39167570468287294,21.33234848842865,1168.1,10.0,False,0.0
ExtraTrees,Tree-based,32.8419339595057,0.4883309222469785,20.689975093452436,1200.4,25.0,False,0.0
ExtraTrees,Tree-based,65.49386348647792,0.56779316986261,20.530201964108983,1210.7,50.0,False,0.0
ExtraTrees,Tree-based,130.83697151858863,0.6638268741052196,20.42324020736757,1217.6,100.0,False,0.0
ExtraTrees,Tree-based,196.22448049705483,0.7241674769499868,20.38097851062936,1221.7,150.0,False,0.0
ExtraTrees,Tree-based,263.0379305178949,0.7662402324832739,20.386586856148902,1222.7,201.0,False,0.0
FastaiMLP,Neural Network,2.856149195889622,0.37317813888351864,26.241998351714585,1013.1,1.0,False,0.0
FastaiMLP,Neural Network,5.5343795003616165,0.6641420918672822,25.05529779289101,1049.9,2.0,False,0.0
FastaiMLP,Neural Network,14.55103442753632,1.1863927783450354,23.228908756310375,1117.8,5.0,False,0.0
FastaiMLP,Neural Network,29.7233431539627,1.7323440480232237,22.331613175582184,1152.3,10.0,False,0.0
FastaiMLP,Neural Network,72.5444980812019,2.392081415581216,21.4430041502319,1183.3,25.0,False,0.0
FastaiMLP,Neural Network,145.75437119097205,3.1392189600815126,20.993938811353082,1200.0,50.0,False,0.0
FastaiMLP,Neural Network,293.94750082788664,3.8048101374308265,20.65723610930505,1210.4,100.0,False,0.0
FastaiMLP,Neural Network,441.8525399102105,4.207369513432185,20.438946982055118,1218.4,150.0,False,0.0
FastaiMLP,Neural Network,593.237788402893,4.45581943154335,20.308551754099476,1223.4,201.0,False,0.0
LightGBM,Tree-based,1.9600326879612946,0.14167879422505697,19.968205450265707,1188.9,1.0,False,0.0
LightGBM,Tree-based,4.146536889124949,0.6924533471949544,18.470429221920337,1265.3,2.0,False,0.0
LightGBM,Tree-based,10.390743356824784,0.9306682768676963,17.3156045811722,1342.5,5.0,False,0.0
LightGBM,Tree-based,20.270167537261766,1.197546153728451,16.72300123601323,1382.5,10.0,False,0.0
LightGBM,Tree-based,51.48744833401502,1.50753196069901,16.17605241427095,1416.9,25.0,False,0.0
LightGBM,Tree-based,103.68557420134589,1.674099392656769,15.966935575378235,1432.1,50.0,False,0.0
LightGBM,Tree-based,207.54351147839122,2.0960239899208046,15.809258667266532,1443.0,100.0,False,0.0
LightGBM,Tree-based,310.2926532568141,2.2957707359829054,15.748687564637281,1446.7,150.0,False,0.0
LightGBM,Tree-based,417.0474735648702,2.638673830958025,15.712035702621144,1449.5,201.0,False,0.0
