method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,6.554615218014945,28.95598153897587,4.954002281799844,1809.9,False,0.0
TabFM,Default,Foundation Model,5.357838133261318,39.5720422516442,5.587773115500732,1756.5,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.9182143019884152,19.636142814080763,8.847553472894084,1755.9,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.5508149180823022,6.503274935875951,9.590032849051875,1728.8,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.6316488524089503,15.55898437499533,9.468416727765826,1709.8,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,6.557095510765397,346.58122676625936,10.059425558564316,1634.2,False,0.0
TabPFN-3,Default,Foundation Model,0.4158216638576948,9.169929954447653,11.546859193426357,1631.6,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5482886619733942,7.034289077293122,12.686892173269563,1593.5,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.047594848219795,2289.3887157667205,11.97772426742867,1591.7,False,0.0
TabICLv2,Default,Foundation Model,0.1520731744535504,3.9320097545321064,12.326394066387888,1571.5,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.1425914844543796,2289.3887157667205,12.685188045797943,1553.8,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.6362272807949252,6.7587899978217045,13.102976688932705,1539.8,False,0.0
RealMLP,Tuned + Ens.,Neural Network,21.902496279105236,3771.8540221067997,15.25123484022856,1476.5,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.19227067519018423,4.691113094573359,16.015378930728208,1447.2,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,218.45336407352897,5119.776985103065,15.944458042332792,1446.1,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,2.5472400462460008,3716.5680935977457,16.252549546814844,1440.2,False,0.0
TabM,Tuned + Ens.,Neural Network,3.8381409685971137,2585.579863640918,16.344551800985563,1426.4,False,0.0
TabDPT,Tuned,Foundation Model,28.351340383207884,5119.776985103065,16.564228018065922,1413.8,False,0.0
LimiX,Default,Foundation Model,6.828482678301318,35.50961056314309,15.866336694294295,1405.9,False,0.0
RealMLP,Tuned,Neural Network,1.7776750936346917,3771.8540221067997,16.604071132934152,1398.8,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.5704534160747796,892.4854074789564,17.55990419389223,1386.5,False,0.0
TabM,Tuned,Neural Network,0.4361574183230644,2585.579863640918,17.21574408005834,1372.1,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.39602676030046535,1739.1690497297914,17.686424253533,1365.0,False,0.0
TabSwift,Default,Foundation Model,0.05791268987655686,2.756051243933877,17.872965644883045,1361.8,False,0.0
iLTM,Tuned + Ens.,Foundation Model,841.445890748085,22811.744051243128,18.053231021215797,1358.9,False,0.0
CatBoost,Tuned,Tree-based,0.050853266781756806,1739.1690497297914,17.921128767601378,1352.5,False,0.0
LightGBM,Tuned,Tree-based,0.3458375857654502,892.4854074789564,18.00981779619546,1351.6,False,0.0
TabDPT,Default,Foundation Model,43.707401035938005,50.32502415266903,18.646682354755498,1332.7,False,0.0
xRFM,Tuned + Ens.,Other,2.9395549707468733,1126.9686387245144,18.506195381861495,1330.8,False,0.0
ModernNCA,Tuned,Neural Network,0.5053503954101921,6523.550336157642,18.668715127351877,1322.9,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.390322625318314,6523.550336157642,18.957776668214652,1322.9,False,0.0
XGBoost,Tuned + Ens.,Tree-based,2.3674863948529943,884.4808277373293,18.544035394757785,1322.6,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.2773508676992504,16.230459759105607,19.534444925897564,1321.5,False,0.0
CatBoost,Default,Tree-based,0.0455896073914258,8.462590335549091,18.808645844871634,1318.0,False,0.0
XGBoost,Tuned,Tree-based,0.3929683730676072,884.4808277373293,18.753934723639595,1304.3,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.45315875407514583,1336.026360264314,19.55161377963634,1303.5,False,0.0
TabM,Default,Neural Network,0.4449377919636944,9.936009218949234,18.880639612634656,1295.9,False,0.0
xRFM,Tuned,Other,0.16324468073957168,1126.9686387245144,19.52311742080476,1283.1,False,0.0
ChimeraBoost,Tuned,Tree-based,0.05026638887062679,1336.026360264314,19.939690151610826,1281.1,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.1570271396274556,3865.9507169384297,19.739615097798147,1259.5,False,0.0
EBM,Tuned + Ens.,Tree-based,0.15296939610611437,2499.3997394448907,20.53160587002318,1259.5,False,0.0
iLTM,Tuned,Foundation Model,161.22064740025013,22811.744051243128,19.858457195009688,1256.1,False,0.0
ChimeraBoost,Default,Tree-based,0.05166768540156222,6.780963985515493,20.878016483243993,1245.3,False,0.0
ModernNCA,Default,Neural Network,0.32060068900263267,16.279623910227823,21.796292186169563,1237.4,False,0.0
EBM,Tuned,Tree-based,0.017293833845938654,2499.3997394448907,21.078730622842322,1231.1,False,0.0
RealMLP,Default,Neural Network,4.688867646313849,15.69323516601608,20.62838474942583,1220.5,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,8.068837476686,1679.3959423676156,21.308025312676588,1214.8,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.501127939369875,822.5846846042664,22.19240466766092,1212.7,False,0.0
EBM,Default,Tree-based,0.017156058727181196,7.388420291453219,21.805951192477423,1204.6,False,0.0
TorchMLP,Tuned,Neural Network,0.14743941123732562,3865.9507169384297,21.45071285145433,1195.2,False,0.0
ExtraTrees,Tuned,Tree-based,0.21369237168913796,822.5846846042664,22.884818020747943,1189.6,False,0.0
FastaiMLP,Tuned,Neural Network,0.8257869199912973,1679.3959423676156,22.424201377012366,1165.5,False,0.0
LightGBM,Default,Tree-based,0.1695753132718836,3.608651599211503,21.80275610390673,1164.0,False,0.0
XGBoost,Default,Tree-based,0.2525411892114416,3.2873922338088355,21.825230577646902,1161.6,False,0.0
RandomForest,Tuned + Ens.,Tree-based,1.4602306270544885,590.0394439850668,23.749694491364007,1151.8,False,0.0
TabSTAR,Tuned,Foundation Model,5.606208042584258,40848.86657483013,25.99277740018665,1138.1,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,25.936207253387835,40848.86657483013,26.024340013641222,1136.8,False,0.0
RandomForest,Tuned,Tree-based,0.15030078963359184,590.0394439850668,24.471147373752878,1115.5,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.8948102983830184,342.03900946680346,28.958312723068907,1084.4,False,0.0
iLTM,Default,Foundation Model,161.81343832142903,524.4765295003572,25.4235897521774,1067.9,False,0.0
TorchMLP,Default,Neural Network,0.1550906391981672,13.688894957032199,25.320824035985112,1059.2,False,0.0
PerpetualBooster,Tuned,Tree-based,0.3125464363490111,342.03900946680346,30.39587659970891,1048.9,False,0.0
xRFM,Default,Other,1.0976028857093967,5.446030178240368,27.162365278109846,1043.9,False,0.0
TabSTAR,Default,Foundation Model,7.213726442305473,471.6614585494219,30.811633801261877,1040.2,False,0.0
ExtraTrees,Default,Tree-based,0.5663988088013532,4.194175284298607,28.049550012074548,1019.8,False,0.0
FastaiMLP,Default,Neural Network,0.6842938244078286,5.483894573958628,27.375048438265832,1001.4,False,0.0
RandomForest,Default,Tree-based,0.08856487680890945,0.5088535014091562,28.841364119559575,1000.0,False,0.0
PerpetualBooster,Default,Tree-based,0.040657078690582577,39.09071168560041,33.182821008939435,948.3,False,0.0
