method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,3716.5680935977457,2.5472400462460008,16.270040712465818,1460.8,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,346.58122676625936,6.557095510765397,10.076830093141877,1660.0,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,15.55898437499533,0.6316488524089503,9.486203161197192,1736.6,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,19.636142814080763,0.9182143019884152,8.865433667535209,1780.7,1.0,False,0.0
CatBoost,Tree-based,8.462590335549091,0.0455896073914258,18.82510560800419,1329.5,1.0,False,0.0
CatBoost,Tree-based,20.346193555734267,0.09660970481496081,18.237515486441275,1355.9,2.0,False,0.0
CatBoost,Tree-based,49.72308624090884,0.18065285816060878,17.88049186054841,1374.7,5.0,False,0.0
CatBoost,Tree-based,92.48508500945157,0.23983440670665684,17.75024891426637,1380.2,10.0,False,0.0
CatBoost,Tree-based,216.01313992020846,0.2815893316185425,17.649361924329554,1384.0,25.0,False,0.0
CatBoost,Tree-based,428.4029173434785,0.31791456478804925,17.65272471104189,1383.0,50.0,False,0.0
CatBoost,Tree-based,862.8837988810473,0.38060021065068383,17.67047850474852,1381.5,100.0,False,0.0
CatBoost,Tree-based,1291.843839644664,0.38736151225316695,17.6946301862499,1379.9,150.0,False,0.0
CatBoost,Tree-based,1739.1690497297914,0.39602676030046535,17.700670141440423,1378.9,201.0,False,0.0
ChimeraBoost,Tree-based,6.780963985515493,0.05166768540156222,20.893607190792025,1253.2,1.0,False,0.0
ChimeraBoost,Tree-based,13.430424786190548,0.08825263721247514,20.6258926797284,1264.1,2.0,False,0.0
ChimeraBoost,Tree-based,33.23250426055775,0.16076631904432953,20.473788485307733,1271.4,5.0,False,0.0
ChimeraBoost,Tree-based,66.20276568615367,0.2347293154207474,20.33130824769856,1279.3,10.0,False,0.0
ChimeraBoost,Tree-based,166.0236478823104,0.3064461822311083,20.013815498356358,1294.5,25.0,False,0.0
ChimeraBoost,Tree-based,332.48812000085377,0.3635441177835067,19.849065248583454,1302.6,50.0,False,0.0
ChimeraBoost,Tree-based,664.9694359809781,0.4094499372007946,19.654670909967606,1311.9,100.0,False,0.0
ChimeraBoost,Tree-based,997.2555270243791,0.43802272874944986,19.57816002552754,1315.3,150.0,False,0.0
ChimeraBoost,Tree-based,1336.026360264314,0.45956162045448645,19.564328358404502,1316.0,201.0,False,0.0
EBM,Tree-based,7.388420291453219,0.017156058727181196,21.82256662516482,1210.9,1.0,False,0.0
EBM,Tree-based,19.13979943869537,0.033315531949338485,21.550704797760975,1221.2,2.0,False,0.0
EBM,Tree-based,59.65680170213522,0.06020202098143048,21.197084447678343,1239.7,5.0,False,0.0
EBM,Tree-based,123.90743183396125,0.07941086088006653,21.049512650781647,1247.3,10.0,False,0.0
EBM,Tree-based,318.46001064068014,0.10750903547065471,20.85561528929056,1255.0,25.0,False,0.0
EBM,Tree-based,623.1113495162684,0.12378308877985164,20.720602989025462,1262.1,50.0,False,0.0
EBM,Tree-based,1256.5403166692183,0.14405226317495906,20.615644132159787,1267.0,100.0,False,0.0
EBM,Tree-based,1885.0271107114127,0.14697197529268866,20.578002896159777,1269.9,150.0,False,0.0
EBM,Tree-based,2499.3997394448907,0.1440681396038307,20.552078722017974,1271.4,201.0,False,0.0
EXAONE-Tabular,Foundation Model,6.503274935875951,0.5508149180823022,9.607631005135818,1757.1,1.0,False,0.0
ExtraTrees,Tree-based,4.194175284298607,0.5663988088013532,28.06700483706186,1020.5,1.0,False,0.0
ExtraTrees,Tree-based,8.720078438945333,0.7011757791959015,26.366075861680365,1061.8,2.0,False,0.0
ExtraTrees,Tree-based,21.685275973670596,0.7330007012763398,23.95611009927944,1130.7,5.0,False,0.0
ExtraTrees,Tree-based,43.12316999769439,0.7428670659282961,23.138428707269025,1173.0,10.0,False,0.0
ExtraTrees,Tree-based,107.39538737179987,1.018855954643115,22.537934518009013,1205.6,25.0,False,0.0
ExtraTrees,Tree-based,210.06024633928405,1.2214373513463619,22.380151214909066,1215.6,50.0,False,0.0
ExtraTrees,Tree-based,412.0764862110399,1.4038021731459822,22.27815786238316,1221.6,100.0,False,0.0
ExtraTrees,Tree-based,614.240675925616,1.462695758694767,22.219519392738317,1226.3,150.0,False,0.0
ExtraTrees,Tree-based,822.5846846042664,1.501127939369875,22.210364823267863,1226.9,201.0,False,0.0
FastaiMLP,Neural Network,5.483894573958628,0.6842938244078286,27.390726857948778,1004.6,1.0,False,0.0
FastaiMLP,Neural Network,14.530250474180118,1.4234649143152087,26.12787097346977,1045.7,2.0,False,0.0
FastaiMLP,Neural Network,42.06854030037134,2.70863815575737,24.08582428743976,1121.1,5.0,False,0.0
FastaiMLP,Neural Network,79.19690331067542,3.9064906778565582,23.13196558667062,1159.7,10.0,False,0.0
FastaiMLP,Neural Network,202.91650957601354,5.517691743805193,22.265897685218093,1192.6,25.0,False,0.0
FastaiMLP,Neural Network,413.0147999434225,6.825523560748225,21.869587544645515,1209.8,50.0,False,0.0
FastaiMLP,Neural Network,829.4495951905283,7.579914014700657,21.593547709805875,1219.2,100.0,False,0.0
FastaiMLP,Neural Network,1248.122171700538,7.913305846749778,21.41994298168163,1225.8,150.0,False,0.0
FastaiMLP,Neural Network,1679.3959423676156,8.077227734441916,21.32008734365093,1229.6,201.0,False,0.0
