#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1772.0,+152/-117,0.87,7.73,2.22,6.101,27.33,7.417,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1723.0,+170/-139,0.836,9.41,2.45,6.421,38.57,6.317,✔️,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1715.0,+101/-64,0.717,9.7,5.22,10.954,16.23,0.785,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1710.0,+99/-66,0.747,9.9,4.56,11.32,5.71,0.488,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1668.0,+72/-48,0.664,11.66,6.38,11.651,11.37,0.542,✔️,0.0,False,GPU,system,
5,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1612.0,+87/-78,0.572,14.4,6.94,11.726,363.16,6.598,✔️,0.0,False,GPU,system,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1608.0,+97/-74,0.603,14.59,7.09,13.947,7.17,0.407,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1578.0,+89/-72,0.531,16.25,8.57,14.318,2289.39,8.114,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1572.0,+83/-64,0.541,16.61,9.86,15.064,6.26,0.539,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1564.0,+73/-67,0.522,17.11,10.88,14.994,6.08,0.762,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1562.0,+72/-63,0.516,17.17,8.84,14.968,2289.39,1.253,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1560.0,+89/-79,0.575,17.31,8.07,14.461,3.22,0.167,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1457.0,+72/-76,0.372,24.21,11.97,17.044,27.77,5.044,➖,0.0,False,GPU,model,
13,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1449.0,+67/-52,0.32,24.77,15.78,18.023,3423.61,18.933,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1428.0,+60/-61,0.322,26.32,13.0,18.737,4.35,0.169,➖,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1427.0,+60/-55,0.292,26.43,14.07,18.99,2469.48,3.418,✔️,0.0,False,GPU,model,
16,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1421.0,+68/-54,0.259,26.91,17.91,18.784,3144.62,1.882,✔️,0.0,False,CPU,system,
17,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1399.0,+60/-55,0.284,28.6,15.44,19.033,5271.47,231.832,✔️,0.0,False,GPU,model,
18,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1391.0,+61/-49,0.271,29.28,17.91,20.279,331.0,2.359,➖,0.0,False,GPU,model,
19,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1380.0,+57/-59,0.232,30.15,15.63,19.822,2469.48,0.408,✔️,0.0,False,GPU,model,
20,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1374.0,+45/-32,0.184,30.59,23.99,20.005,735.37,1.9,✔️,0.0,False,CPU,model,
21,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1372.0,+59/-55,0.223,30.76,17.79,19.501,3423.61,1.533,✔️,0.0,False,GPU,model,
22,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1368.0,+72/-62,0.254,31.1,15.93,19.7,5271.47,33.978,✔️,0.0,False,GPU,model,
23,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1350.0,+42/-31,0.147,32.61,25.82,20.369,735.37,0.311,✔️,0.0,False,CPU,model,
24,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1343.0,+59/-60,0.244,33.18,20.66,21.099,2.24,0.055,➖,0.0,False,GPU,model,
25,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1342.0,+39/-37,0.159,33.26,24.94,20.4,1542.95,0.396,✔️,0.0,False,CPU,model,
26,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1336.0,+47/-46,0.141,33.76,24.24,20.5,21290.02,663.263,✔️,0.0,False,GPU,model,
27,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1333.0,+38/-30,0.141,34.06,25.74,20.652,1542.95,0.044,✔️,0.0,False,CPU,model,
28,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1329.0,+56/-52,0.163,34.34,17.65,20.734,6049.28,0.525,✔️,0.0,False,GPU,model,
29,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1315.0,+68/-73,0.239,35.53,13.32,22.129,13.27,1.624,➖,0.0,False,GPU,model,
30,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1313.0,+43/-33,0.131,35.76,26.59,21.24,7.18,0.04,✔️,0.0,False,CPU,model,
31,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1312.0,+63/-59,0.157,35.81,22.74,21.361,1053.94,3.062,✔️,0.0,False,GPU,model,
32,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1306.0,+41/-44,0.113,36.35,27.94,21.181,798.08,2.227,✔️,0.0,False,CPU,model,
33,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1299.0,+62/-61,0.166,36.93,22.11,21.605,8.79,0.411,✔️,0.0,False,GPU,model,
34,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1298.0,+66/-55,0.129,37.02,26.71,22.106,1181.3,0.462,✔️,0.0,False,CPU,model,
35,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1297.0,+78/-76,0.176,37.12,20.33,21.693,6049.28,8.736,✔️,0.0,False,GPU,model,
36,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1289.0,+39/-41,0.089,37.77,28.29,21.405,798.08,0.353,✔️,0.0,False,CPU,model,
37,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1286.0,+72/-85,0.193,38.03,20.8,22.066,51.45,43.707,✔️,0.0,False,GPU,model,
