method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,8.699226321616813,22.242743046124087,8.409858850672045,1872.9,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.671976262407674,8.144291262204941,9.80608158520379,1826.1,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.8885812059098579,24.352284947900465,12.48443422601483,1801.9,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.633251996756246,17.376307428595602,13.485257162352415,1758.3,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,2.7531656226068133,251.71674093678843,12.948790354512454,1741.1,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3463854050940522,2710.488010135443,13.454786534804027,1723.1,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.094662232452926,2710.488010135443,12.417308807010095,1719.3,False,0.0
TabFM,Default,Foundation Model,7.684594236782276,55.12930911696275,9.890969148062396,1690.8,False,0.0
TabPFN-2.6,Default,Foundation Model,0.612658711391924,9.940809547193947,15.721932562226156,1637.7,False,0.0
TabPFN-3,Default,Foundation Model,0.4885714957377921,11.663522929567835,14.537368122267157,1596.1,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8441387841941691,10.225668064503907,15.070293239602279,1590.4,False,0.0
LimiX,Default,Foundation Model,7.0619559967285905,44.325578779036704,14.935046659308304,1575.9,False,0.0
TabICLv2,Default,Foundation Model,0.1967767848575243,5.6364435240570625,16.884390927261816,1556.5,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,3.7799750389939106,6219.752107848086,18.790579787393273,1534.0,False,0.0
RealMLP,Tuned + Ens.,Neural Network,19.12832243604106,4150.815892399585,18.393658059034077,1516.0,False,0.0
RealMLP,Tuned,Neural Network,3.420302250359997,4150.815892399585,19.249902565785245,1492.4,False,0.0
TabM,Tuned + Ens.,Neural Network,4.212663384182079,3881.8318340104934,21.166221877291914,1471.0,False,0.0
LightGBM,Tuned + Ens.,Tree-based,5.200625796499297,1377.4770257446412,20.57737320431509,1464.1,False,0.0
CatBoost,Tuned + Ens.,Tree-based,1.1808204253846237,2635.9752136463762,19.978902393640876,1454.1,False,0.0
LightGBM,Tuned,Tree-based,1.2591317347741153,1377.4770257446412,20.80327420920271,1453.5,False,0.0
TabM,Tuned,Neural Network,0.697837902178858,3881.8318340104934,21.894616867090715,1432.8,False,0.0
CatBoost,Tuned,Tree-based,0.17312930928327006,2635.9752136463762,20.59102749396201,1432.0,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.27076534553044534,5.455623096250603,22.201135210285177,1431.9,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,212.23517422151923,4635.1714883924005,23.153318312862016,1429.0,False,0.0
XGBoost,Tuned,Tree-based,0.9738781112397263,2210.165394509955,21.255418292717636,1410.5,False,0.0
XGBoost,Tuned + Ens.,Tree-based,3.984075791822964,2210.165394509955,21.339451454062743,1405.4,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.210511137627178,7128.671587504601,21.20879452141841,1399.4,False,0.0
ModernNCA,Tuned,Neural Network,0.7756352584549238,7128.671587504601,21.419042226653637,1399.3,False,0.0
iLTM,Tuned + Ens.,Foundation Model,841.445890748085,28234.453241004107,21.869467628566987,1390.0,False,0.0
xRFM,Tuned + Ens.,Other,3.60385977704997,1980.612537948904,23.81204860259859,1386.0,False,0.0
TabDPT,Tuned,Foundation Model,34.760976740267054,4635.1714883924005,24.414720221804128,1384.8,False,0.0
BetaTabPFN,Default,Foundation Model,4.426940619405343,507.7823899342097,24.112572840177048,1384.7,False,0.0
EBM,Tuned + Ens.,Tree-based,0.27105694823421905,27107.397248593214,22.971793789971773,1365.0,False,0.0
TabM,Default,Neural Network,0.6734553631972247,12.828412212289056,24.634056971854502,1357.2,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.6813355770186442,22.52390939411433,22.69034921863088,1353.1,False,0.0
ChimeraBoost,Tuned,Tree-based,0.09883006419698998,1764.0918822911015,22.929486373477655,1351.0,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.4872412963136712,984.661073781255,25.232898369814222,1346.9,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.8844674397402557,1764.0918822911015,22.790134919097017,1343.3,False,0.0
CatBoost,Default,Tree-based,0.20170444142275518,26.13742789366099,22.87391239255843,1340.8,False,0.0
RandomForest,Tuned + Ens.,Tree-based,1.8624917599423423,738.0209327470719,25.052023831041588,1332.7,False,0.0
EBM,Tuned,Tree-based,0.05102441934616145,27107.397248593214,23.65849665749534,1321.3,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.027728563787645,3902.0763863205652,24.292110544172772,1313.7,False,0.0
iLTM,Tuned,Foundation Model,276.78648898007157,28234.453241004107,23.46919928611002,1297.0,False,0.0
ExtraTrees,Tuned,Tree-based,0.27933672091856954,984.661073781255,26.81741206318987,1294.2,False,0.0
EBM,Default,Tree-based,0.040082346912771266,13.333580501025555,25.236329628878856,1292.1,False,0.0
xRFM,Tuned,Other,0.6100366829248407,1980.612537948904,26.039979680520826,1288.8,False,0.0
RandomForest,Tuned,Tree-based,0.3155208058555913,738.0209327470719,26.28347220388675,1283.0,False,0.0
ChimeraBoost,Default,Tree-based,0.09463560023066128,9.049028572074878,25.359742157399502,1281.3,False,0.0
TabSwift,Default,Foundation Model,0.083613492150511,4.320651388923973,26.513284259346243,1275.9,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,12.291204079256808,2644.9909431874785,27.503332161117356,1271.5,False,0.0
TabDPT,Default,Foundation Model,42.55455829522329,43.39440417395697,26.823598195013677,1269.3,False,0.0
XGBoost,Default,Tree-based,0.542370700093009,4.7244136606374285,24.32076994272318,1256.3,False,0.0
TorchMLP,Tuned,Neural Network,0.22258711003608872,3902.0763863205652,26.341933913265663,1254.1,False,0.0
LightGBM,Default,Tree-based,0.42908086042012583,5.043462912231246,26.1249592360471,1243.2,False,0.0
FastaiMLP,Tuned,Neural Network,1.1478371704956545,2644.9909431874785,28.55638063802416,1220.5,False,0.0
ModernNCA,Default,Neural Network,0.6906021319723983,17.945726862267563,28.951343214466807,1203.7,False,0.0
RealMLP,Default,Neural Network,7.61991525040554,19.204491924082998,29.481849354740426,1162.7,False,0.0
xRFM,Default,Other,1.6749433873675912,9.425182348725174,32.963808573403874,1099.2,False,0.0
TorchMLP,Default,Neural Network,0.3143142009603566,13.688894957032199,32.104191523733704,1073.7,False,0.0
iLTM,Default,Foundation Model,211.97649773625398,514.7174339635092,30.274849679890224,1058.4,False,0.0
OrionMSP,Default,Foundation Model,3.3671495151490705,21.062362420507682,35.38481006410287,1014.6,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,31.227666275850453,40588.154017412875,33.911578671572364,1010.3,False,0.0
TabSTAR,Tuned,Foundation Model,8.465912518778838,40588.154017412875,34.022743560153565,1003.5,False,0.0
RandomForest,Default,Tree-based,0.13725411629860573,0.7350357632559927,38.64326144870143,1000.0,False,0.0
ExtraTrees,Default,Tree-based,0.7862858498591274,4.8501982350850765,39.83061516448229,949.9,False,0.0
FastaiMLP,Default,Neural Network,0.7338910560299701,8.5155691543652,37.38906869011737,943.4,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,10.371842728861795,1409.509791524661,52.35281309039092,900.3,False,0.0
TabFlex,Default,Foundation Model,1.013238211516883,5.05581579978836,42.03893437452185,860.3,False,0.0
PerpetualBooster,Tuned,Tree-based,3.6964435846125987,1409.509791524661,54.07321921742248,850.4,False,0.0
TabSTAR,Default,Foundation Model,8.133011091731845,724.3138183771914,42.42708542519809,846.8,False,0.0
PerpetualBooster,Default,Tree-based,0.4648882861704263,228.94541854623907,58.2940122626566,821.8,False,0.0
