#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1925.0,+339/-144,0.921,5.91,1.87,8.119,24.44,7.702,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1859.0,+215/-87,0.793,7.74,3.66,9.807,9.21,0.752,✔️,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1796.0,+185/-65,0.689,9.95,6.44,14.268,24.47,0.907,✔️,0.0,False,GPU,system,
3,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1757.0,+204/-80,0.662,11.51,6.39,15.065,17.48,0.658,✔️,0.0,False,GPU,system,
4,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1745.0,+151/-57,0.621,12.06,8.01,14.043,245.58,2.838,✔️,0.0,False,GPU,system,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1736.0,+186/-74,0.636,12.45,7.02,14.189,2742.8,1.218,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1724.0,+234/-108,0.618,13.01,6.23,13.326,2742.8,7.936,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1712.0,+428/-249,0.769,13.59,2.59,9.686,64.25,6.446,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1653.0,+190/-93,0.531,16.73,11.56,16.513,11.1,0.682,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1644.0,+254/-156,0.527,17.2,8.48,14.543,11.21,0.845,✔️,0.0,False,GPU,model,
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1600.0,+181/-114,0.434,19.83,11.61,16.995,4471.59,21.354,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1589.0,+196/-139,0.456,20.56,11.39,16.027,12.32,0.524,✔️,0.0,False,GPU,model,
12,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1574.0,+125/-56,0.402,21.5,13.73,17.914,4471.59,3.755,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1573.0,+246/-182,0.476,21.57,10.37,17.299,6.2,0.211,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1563.0,+153/-122,0.405,22.26,12.11,16.866,46.82,7.43,➖,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1535.0,+131/-84,0.367,24.16,14.65,20.499,3919.29,4.506,✔️,0.0,False,GPU,model,
16,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1530.0,+186/-82,0.262,24.44,15.08,20.384,6549.61,2.898,✔️,0.0,False,CPU,system,
17,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1492.0,+118/-78,0.315,27.16,16.65,21.228,3919.29,0.749,✔️,0.0,False,GPU,model,
18,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1477.0,+141/-89,0.238,28.27,23.34,21.31,1502.45,6.327,✔️,0.0,False,CPU,model,
