method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,1866.353567601547,6.070091345492049,6.809485601263616,1640.5,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,335.0306231522952,4.333992283580625,4.3386684247676115,1823.6,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,19.357190532089056,1.632474689680337,1.8287402905386767,2068.1,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,22.20329202702929,1.7329664007119923,1.3482316491366346,2124.5,1.0,False,0.0
CatBoost,Tree-based,8.732923523885916,0.016935660981709164,9.934809961582197,1392.8,1.0,False,0.0
CatBoost,Tree-based,21.046557618988086,0.0753245981765459,9.455326259838493,1427.6,2.0,False,0.0
CatBoost,Tree-based,52.58648003647959,0.16091181573423596,8.941705741380485,1472.4,5.0,False,0.0
CatBoost,Tree-based,107.36258134584553,0.22514505055142608,8.70051299652159,1487.1,10.0,False,0.0
CatBoost,Tree-based,273.3208727606643,0.23531963570246756,8.461726511905262,1503.2,25.0,False,0.0
CatBoost,Tree-based,552.7941001427314,0.26941492783209603,8.405009482589984,1509.8,50.0,False,0.0
CatBoost,Tree-based,1107.2542254235855,0.31970633179046065,8.36662944704554,1516.8,100.0,False,0.0
CatBoost,Tree-based,1651.7632314869675,0.3499660794813608,8.357530492166706,1517.4,150.0,False,0.0
CatBoost,Tree-based,2229.2144624726134,0.38021168966412233,8.342050787718208,1519.8,201.0,False,0.0
ChimeraBoost,Tree-based,2.653780256788737,0.05158072382519021,10.756152107310072,1321.4,1.0,False,0.0
ChimeraBoost,Tree-based,5.250377988908273,0.08483562447676743,10.631138099601328,1327.7,2.0,False,0.0
ChimeraBoost,Tree-based,12.859152926775328,0.17506735926061492,10.464125241267883,1345.8,5.0,False,0.0
ChimeraBoost,Tree-based,25.612122803616078,0.23963250350026252,10.278864164720769,1369.9,10.0,False,0.0
ChimeraBoost,Tree-based,64.38503109144581,0.32145954891593154,10.070540163184415,1392.9,25.0,False,0.0
ChimeraBoost,Tree-based,129.08068124494818,0.3824725804797817,9.917139345855562,1407.6,50.0,False,0.0
ChimeraBoost,Tree-based,258.0341342976716,0.4307633118873743,9.770231465749267,1421.5,100.0,False,0.0
ChimeraBoost,Tree-based,386.9186196798273,0.4434626727443652,9.707525110752092,1428.9,150.0,False,0.0
ChimeraBoost,Tree-based,518.4320707488994,0.4595440635374707,9.670475469780754,1435.0,201.0,False,0.0
EBM,Tree-based,7.869213454213734,0.010819356431344476,16.218724291673638,1057.1,1.0,False,0.0
EBM,Tree-based,17.09456682244302,0.02147572225394565,15.852479513196855,1080.2,2.0,False,0.0
EBM,Tree-based,52.14052021416555,0.040334102272572,15.495018210096065,1111.7,5.0,False,0.0
EBM,Tree-based,97.84285037912392,0.056832926394724356,15.282482493141167,1129.6,10.0,False,0.0
EBM,Tree-based,240.45774746639785,0.07771127079616605,14.995245272807184,1146.9,25.0,False,0.0
EBM,Tree-based,484.5851613773758,0.09315597558925727,14.909230845078438,1155.8,50.0,False,0.0
EBM,Tree-based,933.0688585006111,0.10632280478009579,14.838793440374742,1162.6,100.0,False,0.0
EBM,Tree-based,1378.9985712806792,0.11341740961505929,14.806317066898467,1168.2,150.0,False,0.0
EBM,Tree-based,1865.2663509928632,0.11657501397348424,14.782415211110417,1172.1,201.0,False,0.0
EXAONE-Tabular,Foundation Model,7.255135761129008,0.7873840148750818,3.147414584575334,1942.4,1.0,False,0.0
ExtraTrees,Tree-based,2.544521210897763,0.24026220999908487,15.890015961908558,1064.0,1.0,False,0.0
ExtraTrees,Tree-based,3.1259596547771116,0.2792114359144372,15.331748633548948,1105.6,2.0,False,0.0
ExtraTrees,Tree-based,6.772191225672007,0.31581102538748573,14.50285034197669,1159.3,5.0,False,0.0
ExtraTrees,Tree-based,13.288092341970305,0.3028704860640871,14.098360847595393,1183.4,10.0,False,0.0
ExtraTrees,Tree-based,32.8419339595057,0.41052068180720114,13.492901313517342,1217.8,25.0,False,0.0
ExtraTrees,Tree-based,65.49386348647792,0.5221999466471208,13.367596347895338,1231.3,50.0,False,0.0
ExtraTrees,Tree-based,130.83697151858863,0.6604878869775224,13.292745015213075,1238.0,100.0,False,0.0
ExtraTrees,Tree-based,196.22448049705483,0.7291312704800178,13.268281864871105,1241.6,150.0,False,0.0
ExtraTrees,Tree-based,263.0379305178949,0.8077239936412522,13.257099290503504,1244.6,201.0,False,0.0
FastaiMLP,Neural Network,2.603904315711083,0.3915661558425541,20.24468536582039,866.4,1.0,False,0.0
FastaiMLP,Neural Network,5.169010008227299,0.6643959345785029,19.98226329196249,879.2,2.0,False,0.0
FastaiMLP,Neural Network,13.426625103233938,1.1863927783450354,19.145034275552998,915.0,5.0,False,0.0
FastaiMLP,Neural Network,27.320730914013204,1.6398576272163317,18.66319237938679,937.8,10.0,False,0.0
FastaiMLP,Neural Network,66.166939322758,2.0095610562323007,17.70749739312016,975.1,25.0,False,0.0
FastaiMLP,Neural Network,132.6885087308066,2.4439102689247787,17.13968966545575,994.1,50.0,False,0.0
FastaiMLP,Neural Network,267.8675184086089,3.100261712819224,16.482707488774263,1015.4,100.0,False,0.0
FastaiMLP,Neural Network,402.54906104567675,2.828757291782402,16.016155136964212,1035.0,150.0,False,0.0
FastaiMLP,Neural Network,540.1381360310845,2.672383567926809,15.655009967692008,1052.0,201.0,False,0.0
LightGBM,Tree-based,2.110834481561456,0.2745146333305864,11.717298785505738,1204.4,1.0,False,0.0
LightGBM,Tree-based,5.954666466063279,1.4016545585113596,11.152325183538778,1251.4,2.0,False,0.0
LightGBM,Tree-based,16.88729181742522,2.837751736287908,10.202726455032582,1343.7,5.0,False,0.0
LightGBM,Tree-based,32.75211256783311,3.8851780262147813,9.715919519454289,1395.5,10.0,False,0.0
LightGBM,Tree-based,84.79597418736476,5.879166355867164,9.194120779096309,1461.2,25.0,False,0.0
LightGBM,Tree-based,173.2180148137455,7.530424551208307,9.036738893954976,1484.5,50.0,False,0.0
LightGBM,Tree-based,347.08161097047997,8.694762373502062,8.899599460421543,1503.1,100.0,False,0.0
LightGBM,Tree-based,519.9538996060077,9.03053319123402,8.832671898497273,1511.3,150.0,False,0.0
LightGBM,Tree-based,700.186702882889,9.321818212785747,8.779815558051368,1519.0,201.0,False,0.0
LimiX,Foundation Model,74.67907421131675,19.758252731690327,10.711011180863327,1280.2,1.0,False,0.0
ModernNCA,Neural Network,15.50085128260229,0.29830064513128357,11.094292930032648,1293.3,1.0,False,0.0
ModernNCA,Neural Network,40.51716877036181,0.7075904089239147,10.371491498573667,1343.7,2.0,False,0.0
ModernNCA,Neural Network,107.50324825599986,1.5287946274656499,9.202697544712748,1433.2,5.0,False,0.0
ModernNCA,Neural Network,200.53624650486384,2.2651751376275113,8.679540264030207,1483.5,10.0,False,0.0
ModernNCA,Neural Network,460.9985605523941,3.3092160520710396,8.100605243168928,1535.3,25.0,False,0.0
ModernNCA,Neural Network,947.1595749709611,4.668680963138472,7.911485229392648,1552.2,50.0,False,0.0
