,TabFM+,"AutoGluon 1.6 (noncommercial, 4h)","AutoGluon 1.6 (extreme, 4h)",TabFM (default),EXAONE-Tabular (default),Nori-30M (default),TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",Nori (default),TabPFN-2.6 (default),TabDPT (T+E),TabICLv2 (default),RealTabPFN-2.5 (T+E),RealMLP (T+E),TabDPT-Turbo (default),"AutoGluon 1.4 (best, 4h)",iLTM (T+E),TabSwift (default),CatBoost (T+E),ModernNCA (T+E),TabM (T+E),LightGBM (T+E),xRFM (T+E),XGBoost (T+E),SAP-RPT-OSS (default),ChimeraBoost (T+E),ExtraTrees (T+E),LimiX (default),TorchMLP (T+E),EBM (T+E),TabSTAR (T+E),RandomForest (T+E),PerpetualBooster (T+E),FastaiMLP (T+E),KNN (T+E),Linear (T+E)
TabFM+,,0.6416666,0.66805553,0.6819445,0.7513889,0.7083333,0.90833336,0.8249999,0.8944444,0.88750005,0.91249996,0.87083334,0.90000004,0.94166666,0.93888885,0.9875,0.975,0.96666664,0.97083336,0.92777777,0.97083336,0.9916667,0.95416665,0.97083336,0.9291667,0.98333335,0.96944445,0.96805555,1.0,0.9791667,0.925,1.0,0.99583334,1.0,0.9875,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.35833335,,0.66597223,0.55416673,0.73194444,0.75138885,0.84444445,0.8069445,0.9027778,0.90416664,0.86527777,0.8208333,0.9083333,0.9166667,0.92361104,0.975,0.97499996,0.9708333,0.97083336,0.86944443,0.9708333,0.9791667,0.95416665,0.9875,0.93333334,0.9875,0.9708333,0.9791667,1.0,0.9875,0.9166667,0.9916667,0.99583334,1.0,0.9875,1.0
"AutoGluon 1.6 (extreme, 4h)",0.33194447,0.33402777,,0.50277776,0.6875,0.71805555,0.73055553,0.76111114,0.89444447,0.90416664,0.8319444,0.8208333,0.8819445,0.925,0.92361116,0.9513889,0.96666664,0.9666667,0.97083336,0.8472222,0.975,0.9791667,0.9625,0.9875,0.9291667,0.98333335,0.9666667,0.9791667,0.9722222,0.9875,0.9166667,0.99583334,0.99583334,1.0,0.9875,1.0
TabFM (default),0.31805557,0.44583333,0.49722221,,0.6555556,0.54444444,0.7708334,0.7291667,0.77361107,0.82916665,0.8597222,0.78333336,0.80833334,0.9083333,0.94722223,0.9527778,0.96666664,0.89444447,0.9666667,0.9138889,0.9583333,0.975,0.95416665,0.9666667,0.9375,0.97083336,0.96527773,0.96805555,0.9722222,0.975,0.9291667,0.99583334,0.9916667,1.0,0.9875,1.0
EXAONE-Tabular (default),0.24861112,0.2680556,0.31250003,0.34444445,,0.4680556,0.6277778,0.5777778,0.63611114,0.7916667,0.6458333,0.64166665,0.775,0.7791667,0.82361114,0.9611111,0.93333334,0.8194444,0.97083336,0.85833335,0.925,0.9791667,0.9458333,0.96666664,0.925,0.975,0.9583334,0.9611111,0.9861111,0.98333335,0.9125,0.9875,1.0,1.0,0.975,1.0
Nori-30M (default),0.2916667,0.24861112,0.28194445,0.45555556,0.53194445,,0.5402778,0.6486111,0.7083333,0.78055555,0.6180556,0.6902778,0.7361111,0.7986111,0.7736111,0.875,0.85833335,0.90000004,0.9458333,0.8513889,0.9027778,0.9375,0.92777777,0.925,0.91249996,0.98333335,0.9666667,0.98333335,0.92638886,0.9875,0.92083335,0.9875,0.9916667,0.99583334,0.98333335,1.0
TabPFN-3 (default),0.09166667,0.15555556,0.26944444,0.22916666,0.37222221,0.45972225,,0.5236111,0.54444444,0.63611114,0.60833335,0.6263889,0.5652778,0.8361111,0.8388889,0.84305555,0.8875,0.93194443,0.875,0.8263889,0.8902778,0.92361116,0.9111111,0.9236111,0.8833333,0.90694445,0.94027776,0.86527777,0.9458334,0.9458333,0.87083334,0.9791666,0.9916667,1.0,0.9708333,1.0
"AutoGluon 1.5 (extreme, 4h)",0.17500001,0.19305556,0.2388889,0.27083334,0.4222222,0.35138887,0.4763889,,0.46249998,0.59166664,0.6527778,0.57500005,0.5375,0.79999995,0.8444444,0.8458333,0.9125,0.875,0.81666666,0.8416667,0.9166667,0.8861111,0.8875,0.9291667,0.82916665,0.9152778,0.94166666,0.8208333,0.9875,0.9666667,0.9041667,0.9708333,0.9916667,0.99583334,0.9791666,1.0
Nori (default),0.10555556,0.097222224,0.10555556,0.22638889,0.3638889,0.2916667,0.45555553,0.5375,,0.67777777,0.59444445,0.625,0.60555553,0.6958333,0.7527778,0.8625,0.8138889,0.78055555,0.96666664,0.825,0.84166664,0.9236111,0.9097222,0.9027778,0.8958333,0.96250004,0.95416665,0.9013889,0.8986111,0.98333335,0.90833336,0.9916667,0.9916667,0.9583334,0.9791666,1.0
TabPFN-2.6 (default),0.1125,0.09583334,0.09583334,0.17083333,0.20833333,0.21944445,0.36388886,0.40833333,0.32222223,,0.5416666,0.53611106,0.5333333,0.6486111,0.65694445,0.7958333,0.79583335,0.8180555,0.9111111,0.80833334,0.88055557,0.85833335,0.8888889,0.9027778,0.85833335,0.9583334,0.93194443,0.8777778,0.88472223,0.975,0.90833336,0.9916667,0.99583334,0.9444444,0.9875,1.0
