method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,3351.516151404505,1.5583412662221652,15.130317389702586,1498.8,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,345.57237876284324,5.1682902299830396,9.60603142403337,1641.9,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,16.4031822835993,0.669591281971178,8.919615285983049,1754.5,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,21.242808916772635,0.7683619971028925,8.110708951557719,1813.2,1.0,False,0.0
CatBoost,Tree-based,9.035913617563317,0.040885196766327445,18.936454010270758,1317.2,1.0,False,0.0
CatBoost,Tree-based,21.999277796688236,0.0905042500700049,18.18499538453004,1344.6,2.0,False,0.0
CatBoost,Tree-based,53.81410658018028,0.172973570999789,17.718886503580674,1364.6,5.0,False,0.0
CatBoost,Tree-based,96.9989733937028,0.207953085521156,17.474857742786483,1373.7,10.0,False,0.0
CatBoost,Tree-based,231.16469097222762,0.24599976986646652,17.297990973304977,1376.4,25.0,False,0.0
CatBoost,Tree-based,468.62008776139066,0.29167419602486394,17.28863936379036,1371.9,50.0,False,0.0
CatBoost,Tree-based,950.6643741644814,0.34357120199326013,17.128010261229296,1370.4,100.0,False,0.0
CatBoost,Tree-based,1384.6574015382805,0.3883571804880928,17.120079363021453,1365.1,150.0,False,0.0
CatBoost,Tree-based,1827.947236698953,0.39078466016558655,17.04152218419505,1371.3,201.0,False,0.0
ChimeraBoost,Tree-based,6.64027397675574,0.05051592458906829,21.574862882728603,1240.2,1.0,False,0.0
ChimeraBoost,Tree-based,13.132269687418427,0.08739975597310991,20.9293880716945,1264.8,2.0,False,0.0
ChimeraBoost,Tree-based,32.105273890442085,0.1651915960730008,20.40522025160486,1287.9,5.0,False,0.0
ChimeraBoost,Tree-based,63.44768051084664,0.24142550952947325,20.13833536427837,1300.4,10.0,False,0.0
ChimeraBoost,Tree-based,159.6682083941996,0.313171440900174,19.710761234043552,1314.5,25.0,False,0.0
ChimeraBoost,Tree-based,320.83053070466434,0.33358655377353214,19.47709479621662,1321.3,50.0,False,0.0
ChimeraBoost,Tree-based,640.2201263329812,0.37659056797287804,19.36472550710518,1324.1,100.0,False,0.0
