method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,1886.8335571993935,1.3329760651072862,16.269108452352082,1468.6,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,369.8557134106432,6.202178331771563,10.468489313751839,1548.8,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,9.47633330297913,0.5159412857389798,9.710448226660128,1689.1,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,13.73902864395292,0.6350283622741699,8.985720917680236,1752.3,1.0,False,0.0
BetaTabPFN,Foundation Model,298.4715930877193,2.0361740110776974,19.997828487291404,1370.4,1.0,False,0.0
CatBoost,Tree-based,3.7764615780059767,0.024788761138916014,19.790342685594016,1318.3,1.0,False,0.0
CatBoost,Tree-based,11.367563980484977,0.05181668698787689,19.624032655885713,1320.7,2.0,False,0.0
CatBoost,Tree-based,27.736131176254165,0.09971151386734343,19.554678457788153,1318.0,5.0,False,0.0
CatBoost,Tree-based,56.763898660262875,0.15133447310640283,19.524372659445284,1320.1,10.0,False,0.0
CatBoost,Tree-based,152.53026445314623,0.1887199468910694,19.55362190032704,1316.4,25.0,False,0.0
CatBoost,Tree-based,302.4049671527887,0.21036266357906092,19.577575068980902,1311.5,50.0,False,0.0
CatBoost,Tree-based,611.2316361016059,0.2622354827883915,19.58190120028598,1308.6,100.0,False,0.0
CatBoost,Tree-based,916.6605962685769,0.3145487088066528,19.657290906957893,1301.8,150.0,False,0.0
CatBoost,Tree-based,1228.6932168834373,0.3334156390582197,19.6256268454191,1308.1,201.0,False,0.0
ChimeraBoost,Tree-based,4.230039954185486,0.05107126235961914,22.027169397258195,1253.7,1.0,False,0.0
ChimeraBoost,Tree-based,7.606160048246385,0.08471137844026089,21.369678431180393,1279.0,2.0,False,0.0
ChimeraBoost,Tree-based,17.86309633612633,0.15712621808052063,20.812587281437075,1304.2,5.0,False,0.0
ChimeraBoost,Tree-based,35.262734792232514,0.21315617859363556,20.59106760209178,1312.9,10.0,False,0.0
ChimeraBoost,Tree-based,86.77340522289276,0.25869210910755164,20.25343905870139,1323.9,25.0,False,0.0
ChimeraBoost,Tree-based,172.07675940155985,0.28926505148410797,20.096305258022834,1328.7,50.0,False,0.0
ChimeraBoost,Tree-based,342.8402007758618,0.2928309589624405,20.028110850590146,1328.8,100.0,False,0.0
ChimeraBoost,Tree-based,514.1972376322747,0.3373086005449295,19.954152813302215,1330.9,150.0,False,0.0
ChimeraBoost,Tree-based,689.4997442722321,0.46146392822265625,20.04700319436775,1327.4,201.0,False,0.0
EBM,Tree-based,6.107281683768495,0.016650456024028197,21.348873980268486,1257.1,1.0,False,0.0
EBM,Tree-based,13.128939857333465,0.03493376685932356,21.121386488595814,1269.1,2.0,False,0.0
EBM,Tree-based,33.66239527180938,0.05791693474099786,20.784849739445374,1281.4,5.0,False,0.0
EBM,Tree-based,67.11589139834851,0.07997957127982451,20.69422545434076,1283.3,10.0,False,0.0
EBM,Tree-based,169.62451479563654,0.10708503347473991,20.623026620241035,1291.0,25.0,False,0.0
EBM,Tree-based,340.6955797002541,0.13119815739678525,20.47396351329963,1299.1,50.0,False,0.0
EBM,Tree-based,679.8713931321959,0.14106219107593496,20.427502105979258,1299.6,100.0,False,0.0
EBM,Tree-based,1018.1194397334918,0.13159505463112545,20.46071644493174,1300.4,150.0,False,0.0
EBM,Tree-based,1364.2004288287612,0.14733505249023438,20.471079337747998,1299.7,201.0,False,0.0
EXAONE-Tabular,Foundation Model,5.893338833484405,0.4354066472172521,11.573290623036351,1704.6,1.0,False,0.0
ExtraTrees,Tree-based,1.9832837820053102,0.37351078188358827,28.396519190259834,1026.5,1.0,False,0.0
ExtraTrees,Tree-based,3.8106834518909456,0.4387177065544322,27.121474230809277,1040.5,2.0,False,0.0
ExtraTrees,Tree-based,9.131973713636398,0.40485032920753516,25.321916268367495,1081.8,5.0,False,0.0
ExtraTrees,Tree-based,17.68335976481438,0.4948762568977051,24.820746830489192,1104.2,10.0,False,0.0
ExtraTrees,Tree-based,43.713941237926484,0.6654595573515919,24.492332281416548,1123.3,25.0,False,0.0
ExtraTrees,Tree-based,87.15167790412903,0.7853524883131834,24.308371714847052,1129.9,50.0,False,0.0
ExtraTrees,Tree-based,173.865360724926,0.9217284908808958,24.237159760763415,1134.9,100.0,False,0.0
ExtraTrees,Tree-based,260.0380199861527,1.0260469414991598,24.099674296141664,1145.8,150.0,False,0.0
ExtraTrees,Tree-based,349.0651424646378,0.9968010118352769,24.118587396532135,1146.6,201.0,False,0.0
FastaiMLP,Neural Network,3.477602985304624,0.4267781723767611,27.319403121014936,998.5,1.0,False,0.0
FastaiMLP,Neural Network,6.319817555737375,0.8858037829399108,26.621757283598164,1048.5,2.0,False,0.0
FastaiMLP,Neural Network,16.004059149026872,1.2888728301537218,25.120494279197924,1117.2,5.0,False,0.0
FastaiMLP,Neural Network,32.592265212535864,2.0867775236894635,24.43488413948456,1142.0,10.0,False,0.0
FastaiMLP,Neural Network,79.54730902075768,3.369188338971985,23.72776163028058,1161.7,25.0,False,0.0
FastaiMLP,Neural Network,159.36824216008188,3.8656965125030673,23.44982464080027,1173.1,50.0,False,0.0
FastaiMLP,Neural Network,321.9650866878033,4.889386534690857,23.482932354357633,1174.2,100.0,False,0.0
FastaiMLP,Neural Network,484.32467917799954,5.87761478126049,23.42847896883853,1176.4,150.0,False,0.0
FastaiMLP,Neural Network,650.7592051506043,5.615779757499695,23.56246730494698,1187.4,201.0,False,0.0
