method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,474.9502246994796,11.837150098484535,5.413142464913168,1887.2,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,374.99451916231664,3.566412148671898,4.336254752633108,1955.0,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,9.985031099880443,0.3671821813250697,1.9425537633880865,2295.7,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,10.884955279706682,0.4803682400678196,0.95961734764743,2518.3,1.0,False,0.0
CatBoost,Tree-based,2.734965600827682,0.010303746149758933,9.184514182227572,1506.0,1.0,False,0.0
CatBoost,Tree-based,8.045705741952812,0.04847600768069156,8.937482871948529,1530.9,2.0,False,0.0
CatBoost,Tree-based,21.585974730836362,0.11856778849944544,8.69427605004442,1589.1,5.0,False,0.0
CatBoost,Tree-based,44.5235265964443,0.1738042848912926,8.605727569053705,1593.2,10.0,False,0.0
CatBoost,Tree-based,109.76480102450431,0.2388904638719077,8.479823396274178,1609.2,25.0,False,0.0
CatBoost,Tree-based,222.75462253594748,0.311131795352049,8.437680492577504,1616.1,50.0,False,0.0
CatBoost,Tree-based,456.5709140464719,0.3983170950406583,8.40444230147088,1622.1,100.0,False,0.0
CatBoost,Tree-based,683.5034177869252,0.39028298889481744,8.397302314202387,1627.0,150.0,False,0.0
CatBoost,Tree-based,917.6176937356861,0.42217893366788317,8.388339533017206,1633.5,201.0,False,0.0
ChimeraBoost,Tree-based,0.6795224647096542,0.06121351968410403,8.690433126369463,1491.3,1.0,False,0.0
ChimeraBoost,Tree-based,1.5662497077393838,0.11149869062179743,8.65316108053838,1514.7,2.0,False,0.0
ChimeraBoost,Tree-based,3.842972180735431,0.21847728726475737,8.517916647056866,1529.7,5.0,False,0.0
ChimeraBoost,Tree-based,7.845395723161879,0.31906736798064655,8.281096422879749,1565.2,10.0,False,0.0
ChimeraBoost,Tree-based,21.380807094857595,0.49333570481732836,8.000029831060466,1612.2,25.0,False,0.0
ChimeraBoost,Tree-based,43.791990982034186,0.5779821184506273,7.843532199161649,1633.0,50.0,False,0.0
ChimeraBoost,Tree-based,86.6533197217193,0.7338673857613586,7.709920773560308,1652.3,100.0,False,0.0
ChimeraBoost,Tree-based,129.74412294373116,0.8429748390089551,7.6633085135778085,1667.1,150.0,False,0.0
ChimeraBoost,Tree-based,174.3892798062985,0.8316518334843823,7.633388482246291,1672.0,201.0,False,0.0
EBM,Tree-based,2.3730743936328,0.005927023499511009,16.675403199272715,993.8,1.0,False,0.0
EBM,Tree-based,9.47853265546782,0.011161674940308858,16.398909310259324,1004.6,2.0,False,0.0
EBM,Tree-based,29.48104085184114,0.022170529809109,16.159156800281274,1016.9,5.0,False,0.0
EBM,Tree-based,54.99812053213286,0.032148234719453855,16.019592237396402,1033.4,10.0,False,0.0
EBM,Tree-based,136.1756596670941,0.050320888674536414,15.819310052433158,1070.3,25.0,False,0.0
EBM,Tree-based,274.1891727198002,0.05680785668175199,15.74516934687715,1097.6,50.0,False,0.0
EBM,Tree-based,533.5366593543873,0.06682614020542167,15.675129665071513,1114.6,100.0,False,0.0
EBM,Tree-based,788.1658323429698,0.07188677124770253,15.6510952779155,1127.2,150.0,False,0.0
