method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,7.628895438538383,20.043276444996163,4.670964212904611,1815.9,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.818269879836389,14.475120726440634,7.147750741173538,1796.1,False,0.0
TabFM,Default,Foundation Model,6.985429071794801,38.805908867807105,5.004112496427635,1772.2,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.6051184718374907,5.787384942173958,8.059793624934544,1752.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.6082915781866469,11.580510791672602,7.772247326550626,1744.4,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,4.030576938465613,289.07302181798457,8.805657770668,1653.9,False,0.0
TabPFN-3,Default,Foundation Model,0.3988194969093643,3.6584650300170622,10.150058703244541,1639.3,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5548034626013535,5.482579877802832,11.514733767105206,1586.1,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.907660220396073,2040.2228420972824,11.232904807022598,1570.4,False,0.0
TabICLv2,Default,Foundation Model,0.15054921462491172,2.0524528171730156,10.976644846864897,1569.4,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.217878699427239,2040.2228420972824,11.909944705448098,1532.2,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.644969598113518,5.809798529870024,12.463641136978493,1503.3,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,2.5579539551959085,1735.7213389822807,13.515172182886365,1480.3,False,0.0
RealMLP,Tuned + Ens.,Neural Network,11.974985376498216,2950.724447694827,13.635904248513487,1478.4,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,286.53737883567806,4910.377306237253,14.521179168831399,1437.2,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18241940288749647,2.06768405148355,14.712445850841945,1436.7,False,0.0
TabM,Tuned + Ens.,Neural Network,2.246865858634313,2450.1270774379373,14.796626785588105,1423.2,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.638673830958025,417.0474735648702,15.721000487482506,1404.7,False,0.0
RealMLP,Tuned,Neural Network,0.663132054971364,2950.724447694827,14.925726759689445,1402.2,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.3442282032056243,1346.210691180287,15.359506260371795,1394.6,False,0.0
TabDPT,Tuned,Foundation Model,39.95973646029047,4910.377306237253,15.636853122855776,1385.3,False,0.0
CatBoost,Tuned,Tree-based,0.03809286543601384,1346.210691180287,15.58424597708984,1382.7,False,0.0
iLTM,Tuned + Ens.,Foundation Model,464.3696034625343,12685.081550183375,15.992339402328124,1380.6,False,0.0
TabM,Tuned,Neural Network,0.25129394622912726,2450.1270774379373,15.653098073486463,1371.0,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.137916867537678,4621.665633563503,16.30198201139095,1366.2,False,0.0
LightGBM,Tuned,Tree-based,0.3337603531487198,417.0474735648702,16.36927059823451,1362.6,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4692529093322957,518.4320707488994,16.647722384714402,1358.6,False,0.0
CatBoost,Default,Tree-based,0.02489617665608724,5.876676442022475,16.20342631772302,1354.2,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.6894451629541256,693.4907982506384,16.441526411477653,1352.7,False,0.0
LimiX,Default,Foundation Model,6.2423742585450634,26.459751268166386,16.235289200586,1346.4,False,0.0
ModernNCA,Tuned,Neural Network,0.4747242314576746,4621.665633563503,16.708969761520258,1336.8,False,0.0
TabSwift,Default,Foundation Model,0.07196837694453946,1.1753394519011986,16.777281068994505,1333.9,False,0.0
xRFM,Tuned + Ens.,Other,2.549259534903935,846.8860702336882,16.979180510321335,1331.9,False,0.0
ChimeraBoost,Tuned,Tree-based,0.0503248844331908,518.4320707488994,17.10034293180064,1331.5,False,0.0
XGBoost,Tuned,Tree-based,0.3080760155405317,693.4907982506384,16.751862194253984,1330.4,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,21.441745344797773,3031.497965050595,17.3558829978608,1325.3,True,35.294117647058826
Mitra,Default,Foundation Model,2.5047910539467777,87.64508139392186,17.856902057673874,1313.9,True,35.294117647058826
TabDPT,Default,Foundation Model,43.737812222627376,47.64668788909912,17.875589510437514,1311.4,False,0.0
TabICL,Default,Foundation Model,1.479660415649414,6.6270115137100225,17.767059016380244,1307.1,True,29.411764705882355
ChimeraBoost,Default,Tree-based,0.05158072382519021,2.653780256788737,17.937109048989875,1296.2,False,0.0
xRFM,Tuned,Other,0.13027435019228545,846.8860702336882,18.122432303417995,1286.9,False,0.0
TabM,Default,Neural Network,0.2435252328360982,7.486463968520102,17.669957233009196,1282.0,False,0.0
iLTM,Tuned,Foundation Model,62.129902117180094,12685.081550183375,17.81052115112982,1280.1,False,0.0
TabPFNv2,Tuned,Foundation Model,0.46198440414964803,3031.497965050595,18.816203598428636,1270.9,True,35.294117647058826
BetaTabPFN,Default,Foundation Model,1.3429487990891908,205.88373934998089,19.159115317898586,1270.3,True,25.49019607843137
SAP-RPT-OSS,Default,Foundation Model,2.0745579697490073,14.11326684554418,18.989272415228484,1269.7,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,1.9516254299583915,2875.520340774675,17.83190469248319,1269.1,False,0.0
