#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",2112.0,+161/-66,0.851,4.05,2.27,2.99,7.01,0.633,✔️,0.0,False,GPU,system,
1,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",2033.0,+101/-48,0.794,5.63,3.77,3.624,5.21,0.518,✔️,0.0,False,GPU,system,
2,📊,System,[TabFM+](https://github.com/google-research/tabfm),1999.0,+239/-103,0.81,6.41,2.8,3.913,6.03,13.794,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1995.0,+142/-76,0.782,6.5,3.18,4.311,4.52,1.215,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1981.0,+262/-129,0.814,6.84,2.5,3.526,27.29,13.119,✔️,0.0,False,GPU,model,
5,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1882.0,+83/-48,0.652,9.69,5.89,5.719,191.18,2.207,✔️,0.0,False,GPU,system,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1800.0,+199/-132,0.613,12.67,6.27,6.722,1.01,0.215,✔️,0.0,False,GPU,model,
7,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1762.0,+87/-55,0.523,14.27,8.2,6.871,432.36,4.085,✔️,0.0,False,CPU,system,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1704.0,+106/-66,0.463,17.01,14.0,8.626,2.76,0.701,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1695.0,+167/-102,0.511,17.46,7.59,7.66,0.6,0.119,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1640.0,+123/-96,0.417,20.49,13.86,9.368,735.58,11.736,✔️,0.0,False,GPU,model,
11,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1632.0,+117/-101,0.413,20.93,7.79,9.608,115.66,0.708,✔️,0.0,False,CPU,model,
12,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1616.0,+89/-88,0.368,21.86,16.92,9.685,1719.82,1.675,✔️,0.0,False,GPU,model,
13,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1602.0,+96/-104,0.366,22.7,17.79,9.861,2526.31,6.013,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1597.0,+112/-93,0.376,23.04,15.34,9.973,735.58,1.386,✔️,0.0,False,GPU,model,
15,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1596.0,+91/-69,0.33,23.08,14.84,9.704,489.93,0.249,✔️,0.0,False,CPU,model,
16,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1582.0,+96/-76,0.324,23.96,15.11,9.905,489.93,0.02,✔️,0.0,False,CPU,model,
17,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1574.0,+110/-94,0.349,24.47,10.67,10.216,115.66,0.073,✔️,0.0,False,CPU,model,
18,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1574.0,+61/-54,0.281,24.47,19.53,11.234,131.56,2.639,✔️,0.0,False,CPU,model,
19,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1565.0,+107/-107,0.33,25.04,13.89,9.88,2.47,0.01,✔️,0.0,False,CPU,model,
20,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1548.0,+78/-60,0.281,26.18,21.08,10.975,2067.95,65.195,✔️,0.0,False,GPU,model,
21,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1537.0,+125/-85,0.271,26.91,19.61,11.008,1236.88,0.579,✔️,0.0,False,GPU,model,
22,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1535.0,+84/-64,0.253,26.99,20.79,11.326,282.13,0.563,✔️,0.0,False,CPU,model,
23,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1528.0,+108/-99,0.3,27.47,15.73,10.81,0.54,0.049,✔️,0.0,False,CPU,model,
24,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1527.0,+104/-84,0.262,27.53,19.74,10.827,1719.82,0.081,✔️,0.0,False,GPU,model,
25,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1527.0,+120/-77,0.302,27.55,20.69,10.853,1.88,0.645,✔️,0.0,False,GPU,model,
26,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1522.0,+120/-113,0.296,27.89,9.17,11.031,4786.6,444.544,✔️,0.0,False,GPU,model,
27,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1520.0,+145/-140,0.33,28.0,16.05,11.512,0.75,0.18,➖,0.0,False,GPU,model,
28,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1493.0,+63/-52,0.182,29.87,25.54,12.36,131.56,0.132,✔️,0.0,False,CPU,model,
29,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1490.0,+64/-58,0.201,30.06,26.04,11.878,282.13,0.066,✔️,0.0,False,CPU,model,
30,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1474.0,+119/-75,0.215,31.13,22.58,11.83,1236.88,0.054,✔️,0.0,False,GPU,model,
31,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1468.0,+85/-79,0.197,31.61,26.23,11.935,2526.31,0.349,✔️,0.0,False,GPU,model,
32,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1421.0,+104/-109,0.196,34.93,27.15,13.243,566.74,0.951,✔️,0.0,False,GPU,model,
33,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1418.0,+90/-71,0.144,35.12,25.36,12.826,2067.95,10.881,✔️,0.0,False,GPU,model,
34,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1402.0,+117/-121,0.206,36.26,18.22,13.338,4786.6,42.641,✔️,0.0,False,GPU,model,
35,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1370.0,+73/-63,0.113,38.62,32.82,13.183,1770.56,1.069,✔️,0.0,False,CPU,model,
36,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1368.0,+86/-102,0.135,38.74,33.28,14.689,566.74,0.06,✔️,0.0,False,GPU,model,
37,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1365.0,+90/-100,0.122,39.01,28.9,13.653,0.49,0.053,✔️,0.0,False,CPU,model,
38,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1340.0,+115/-102,0.145,40.86,30.87,14.074,0.51,0.127,➖,0.0,False,GPU,model,
39,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [33.33% IMPUTED],1338.0,+140/-110,0.149,40.96,26.33,14.152,3.97,1.596,✔️,33.33,True,GPU,model,
40,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1327.0,+117/-141,0.159,41.78,22.79,15.952,46.62,43.738,✔️,0.0,False,GPU,model,
41,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1321.0,+109/-85,0.083,42.22,36.37,14.695,2.13,0.047,✔️,0.0,False,GPU,model,
42,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1309.0,+118/-135,0.114,43.1,34.87,16.328,695.61,0.085,✔️,0.0,False,CPU,model,
43,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1294.0,+69/-77,0.059,44.21,40.36,15.029,8.06,0.25,✔️,0.0,False,GPU,model,
44,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1273.0,+141/-160,0.166,45.73,16.88,17.046,6.55,5.409,➖,0.0,False,GPU,model,
45,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1270.0,+68/-74,0.043,45.99,41.41,14.802,1770.56,0.051,✔️,0.0,False,CPU,model,
46,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1266.0,+72/-71,0.028,46.25,42.91,15.761,6.75,0.235,✔️,0.0,False,GPU,model,
47,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1257.0,+47/-62,0.02,46.9,44.67,15.528,0.29,0.045,✔️,0.0,False,CPU,model,
48,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1253.0,+102/-144,0.078,47.19,40.27,17.158,695.61,0.006,✔️,0.0,False,CPU,model,
49,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1245.0,+74/-83,0.029,47.76,43.72,15.796,66.0,0.341,✔️,0.0,False,CPU,model,
50,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527) [33.33% IMPUTED],1225.0,+94/-93,0.039,49.16,42.93,17.731,66.07,0.652,➖,33.33,True,GPU,model,
51,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1217.0,+78/-88,0.021,49.74,47.33,16.008,49.61,0.199,✔️,0.0,False,CPU,model,
52,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1213.0,+78/-80,0.03,50.05,45.51,16.433,66.0,0.024,✔️,0.0,False,CPU,model,
53,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1211.0,+90/-138,0.048,50.16,44.51,18.578,2.18,0.005,✔️,0.0,False,CPU,model,
54,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M) [66.67% IMPUTED],1206.0,+139/-167,0.14,50.55,33.4,19.288,0.2,0.021,✔️,66.67,True,GPU,model,
55,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1195.0,+88/-100,0.028,51.31,45.92,17.614,11.44,10.416,➖,0.0,False,GPU,model,
56,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1189.0,+116/-131,0.056,51.7,43.1,17.885,351.94,1.658,✔️,0.0,False,CPU,model,
57,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori) [66.67% IMPUTED],1183.0,+126/-166,0.114,52.09,38.97,19.415,0.2,0.021,✔️,66.67,True,GPU,model,
58,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1177.0,+73/-79,0.007,52.5,50.27,16.961,49.61,0.015,✔️,0.0,False,CPU,model,
59,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1174.0,+82/-119,0.03,52.7,48.02,19.165,88.27,9.62,✔️,0.0,False,GPU,model,
60,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1126.0,+64/-68,0.0,55.95,53.99,18.796,2.18,0.039,✔️,0.0,False,CPU,model,
61,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1108.0,+97/-119,0.011,57.1,51.03,22.158,20.26,0.515,✔️,0.0,False,CPU,model,
62,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1094.0,+97/-108,0.015,58.01,52.62,19.94,351.94,0.114,✔️,0.0,False,CPU,model,
63,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1061.0,+85/-110,0.0,60.04,55.77,23.268,20.26,0.2,✔️,0.0,False,CPU,model,
64,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1041.0,+148/-182,0.016,61.23,54.92,26.565,2.49,0.145,✔️,0.0,False,GPU,model,
65,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1025.0,+136/-154,0.018,62.16,56.34,23.484,1.51,0.111,✔️,0.0,False,CPU,model,
66,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+49/-91,0.0,63.54,62.52,21.84,0.2,0.021,✔️,0.0,False,CPU,model,
67,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),988.0,+99/-129,0.005,64.19,59.26,24.955,150.3,10.071,✔️,0.0,False,CPU,model,
68,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),984.0,+56/-101,0.0,64.42,62.61,26.38,3381.77,1.724,✔️,0.0,False,GPU,model,
