,TabFM+,TabFM (default),"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),TabM (T+E),TabDPT-Turbo (default),LimiX (default),TabICL (default),TabDPT (T+E),LightGBM (T+E),CatBoost (T+E),iLTM (T+E),TabPFNv2 (T+E),Mitra (default),ChimeraBoost (T+E),BetaTabPFN (default),TabSwift (default),XGBoost (T+E),ModernNCA (T+E),xRFM (T+E),SAP-RPT-OSS (default),EBM (T+E),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),Linear (T+E),KNN (T+E),TabFlex (default)
TabFM+,,0.55482465,0.6789474,0.6660819,0.6956141,0.7410819,0.8010234,0.8445907,0.8616958,0.84736854,0.83362573,0.8818714,0.9226607,0.9020467,0.90000004,0.93538016,0.918421,0.9020468,0.8979532,0.9064328,0.9368421,0.9190059,0.89181286,0.91169596,0.91257316,0.94269,0.93450296,0.9064328,0.91345036,0.93888885,0.95643276,0.93421054,0.94415206,0.9558479,0.90029246,0.9739766,0.9795321,0.97280705,0.9692982,0.9681286
TabFM (default),0.44517538,,0.65029246,0.6728071,0.6883041,0.7292397,0.798538,0.8517544,0.81111103,0.8165205,0.8266082,0.84093577,0.89035094,0.88801163,0.8761696,0.94210535,0.9064328,0.8812866,0.8769005,0.87485385,0.9140351,0.9076024,0.87046784,0.89839184,0.88742685,0.90731007,0.89912283,0.90146196,0.89152044,0.9157894,0.9339181,0.89619887,0.94122815,0.9482456,0.8818713,0.95087713,0.9880116,0.9660819,0.95,0.95526314
"AutoGluon 1.6 (noncommercial, 4h)",0.32105264,0.3497076,,0.505117,0.7046783,0.7165205,0.73216385,0.76315796,0.7991228,0.78888893,0.8666667,0.8684211,0.8944445,0.8809941,0.8719299,0.9327485,0.92821646,0.94619894,0.92894745,0.9410818,0.8682748,0.87485373,0.93450284,0.902924,0.915497,0.95555556,0.931579,0.9318714,0.8726608,0.95116955,0.9679825,0.94239765,0.9523392,0.9491228,0.89269006,0.96403515,0.97719294,0.96403503,0.9751461,0.97163755
EXAONE-Tabular (default),0.33391806,0.32719296,0.49488297,,0.57017535,0.687427,0.64970756,0.7190058,0.81549716,0.78421056,0.8567252,0.8926902,0.91315794,0.8552632,0.8710528,0.89152056,0.87763155,0.9149123,0.9315789,0.9195907,0.8869884,0.87865496,0.92046785,0.914035,0.90789473,0.9532164,0.951462,0.92660826,0.9163743,0.94736844,0.9619883,0.94239765,0.947076,0.9666667,0.89356726,0.9567252,0.97953224,0.9657894,0.9780701,0.9523392
"AutoGluon 1.6 (extreme, 4h)",0.30438593,0.3116959,0.2953216,0.42982453,,0.64239764,0.62090635,0.7049708,0.72807014,0.6897661,0.8187135,0.8415205,0.8423977,0.8675439,0.81286556,0.9076024,0.9195907,0.9165206,0.89122814,0.9271931,0.8185672,0.8353801,0.91812855,0.87046784,0.91345036,0.9225147,0.90497077,0.9271931,0.86403507,0.9438596,0.9554093,0.9475147,0.94356716,0.94649124,0.89239764,0.96842116,0.9704678,0.9657895,0.9769005,0.9716374
"AutoGluon 1.5 (extreme, 4h)",0.2589181,0.27076024,0.28347954,0.3125731,0.35760236,,0.46491235,0.55175436,0.67602336,0.6447368,0.80789477,0.85453224,0.8213451,0.74327487,0.77339184,0.8355263,0.82485396,0.8900585,0.89619887,0.90350884,0.7523392,0.76856726,0.89912283,0.8309942,0.8555555,0.91257316,0.92017543,0.9040935,0.8333334,0.9076024,0.9327486,0.9096491,0.9251462,0.93918127,0.86988306,0.95248544,0.96228075,0.9482456,0.9590643,0.9502924
TabPFN-3 (default),0.19897662,0.201462,0.26783627,0.35029244,0.3790936,0.53508765,,0.5625731,0.6081872,0.6514621,0.68274844,0.7432748,0.7678363,0.7988305,0.7450293,0.84722215,0.8239766,0.7929826,0.8073099,0.81842107,0.79064333,0.8210526,0.8555555,0.8220761,0.8891813,0.8378655,0.86754376,0.84883046,0.82163745,0.8672516,0.8900585,0.87207615,0.9353802,0.9195906,0.8967837,0.9573099,0.9576023,0.9374269,0.93859655,0.96315783
TabICLv2 (default),0.15540935,0.14824562,0.23684208,0.28099415,0.29502922,0.44824556,0.43742695,,0.51783633,0.5356725,0.64883035,0.68508774,0.70847964,0.75175434,0.72295314,0.82061404,0.7980994,0.75263166,0.75555557,0.7690058,0.75263166,0.7685673,0.7415205,0.8052631,0.84210527,0.7725146,0.78567255,0.7891814,0.7704679,0.8128655,0.84883046,0.851462,0.8913744,0.9055556,0.8654971,0.93099415,0.94795316,0.9415205,0.9403509,0.9350877
TabPFN-2.6 (default),0.1383041,0.1888889,0.20087719,0.18450293,0.2719298,0.3239766,0.3918129,0.48216373,,0.5216374,0.6383041,0.72485375,0.7190058,0.72631574,0.72280705,0.761696,0.7423977,0.77426904,0.77777785,0.79269004,0.7312865,0.7695907,0.77894735,0.79210526,0.8002924,0.7959064,0.8500001,0.8175438,0.8254387,0.8549708,0.8821637,0.8590643,0.9157894,0.91169596,0.8745614,0.92426914,0.95087713,0.9362573,0.94122815,0.9494152
RealTabPFN-2.5 (T+E),0.1526316,0.18347953,0.21111111,0.2157895,0.31023392,0.35526314,0.34853804,0.46432757,0.4783626,,0.67192984,0.6716375,0.67748535,0.64269006,0.7137428,0.7141813,0.69269,0.7497077,0.7640351,0.73143274,0.7856725,0.7885965,0.76213443,0.79035085,0.7853802,0.7836258,0.75292397,0.7967836,0.80774856,0.82631594,0.84385973,0.8340643,0.88391817,0.8988304,0.8736841,0.93450296,0.95964915,0.9122806,0.9152047,0.9394737
"AutoGluon 1.4 (best, 4h)",0.16637427,0.17339182,0.13333334,0.14327487,0.18128654,0.19210526,0.31725147,0.3511696,0.36169586,0.32807016,,0.5840643,0.57076025,0.56081885,0.524269,0.56549704,0.5888889,0.7172515,0.7125732,0.7236843,0.5137426,0.56432754,0.7181286,0.66783625,0.6457603,0.7783625,0.67953223,0.7366958,0.6728071,0.77456146,0.81578946,0.8263159,0.7821638,0.8526315,0.8324561,0.8305555,0.935965,0.9159355,0.90906435,0.88918126
RealMLP (T+E),0.11812868,0.15906434,0.13157897,0.107309945,0.15847953,0.14546783,0.25672513,0.3149123,0.27514616,0.32836252,0.41593567,,0.511696,0.51315796,0.5353801,0.5479533,0.533772,0.65380114,0.64678365,0.6763158,0.5299707,0.5777778,0.62163746,0.6552632,0.5868421,0.72836256,0.64766073,0.76695913,0.6967836,0.76315784,0.77017546,0.8621345,0.822807,0.86257315,0.8415205,0.8602339,0.93538016,0.9242689,0.9116959,0.88918126
TabM (T+E),0.07733919,0.10964913,0.10555556,0.08684212,0.15760234,0.17865495,0.23216373,0.2915205,0.28099415,0.3225146,0.42923978,0.48830408,,0.55073106,0.4792397,0.5137427,0.5559942,0.58830404,0.5874269,0.597807,0.50789475,0.52251464,0.60380125,0.67309934,0.64415205,0.64005846,0.63947374,0.64356726,0.6921053,0.7599416,0.7260235,0.766959,0.76929826,0.7915205,0.8456141,0.8315789,0.90584797,0.9163743,0.8944444,0.89824563
TabDPT-Turbo (default),0.09795322,0.111988306,0.11900586,0.14473683,0.13245614,0.25672513,0.20116961,0.2482456,0.27368423,0.3573099,0.43918127,0.4868421,0.449269,,0.5809941,0.5061404,0.59356725,0.5263158,0.5736842,0.584503,0.5710527,0.5549707,0.56315786,0.552924,0.7019006,0.58918124,0.5692982,0.63099414,0.6289474,0.6315789,0.6891813,0.7371345,0.7864035,0.80467844,0.7976608,0.8836256,0.88713455,0.8269006,0.9014621,0.92222226
LimiX (default),0.10000001,0.123830415,0.12807019,0.12894738,0.1871345,0.2266082,0.25497076,0.27704677,0.27719298,0.28625733,0.475731,0.46461985,0.5207603,0.41900584,,0.52777773,0.49166664,0.5868421,0.59590644,0.62529236,0.56315786,0.57997084,0.660234,0.5450292,0.5546784,0.6307017,0.5640351,0.62163746,0.6350878,0.6821638,0.6470761,0.6612573,0.7447368,0.7505848,0.72105265,0.78932744,0.8143275,0.8347953,0.7964912,0.79941523
