method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,1.7329664007119923,22.20329202702929,1.3500671409312741,2086.1,False,0.0
TabFM+,Baseline,System,7.18253240583481,11.208775500502645,0.9253824250963572,2082.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,1.632474689680337,19.357190532089056,1.8306550354996314,2020.3,False,0.0
TabFM,Default,Foundation Model,6.476048658487643,39.42051853888643,2.051907743297086,1988.9,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.7873840148750818,7.255135761129008,3.1495268515804113,1881.1,False,0.0
TabPFN-3,Default,Foundation Model,0.3988194969093643,3.6584650300170622,2.8346406206095667,1796.7,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,4.333992283580625,335.0306231522952,4.340451158651678,1770.1,False,0.0
Nori-30M,Default,Foundation Model,2.0226031244395974,11.584253455491343,3.8527292901122183,1756.0,False,0.0
TabPFN-2.6,Default,Foundation Model,0.6963183660183303,8.52384255954977,4.422276304609318,1730.2,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.119227000463493,1709.0533523899035,3.8035756945369994,1730.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,239.3040135068801,4786.598933193933,4.642027301799911,1720.4,False,0.0
TabICLv2,Default,Foundation Model,0.1222431699355602,1.3204095154567972,4.360670413412231,1681.3,False,0.0
Nori,Default,Foundation Model,1.3890423047702944,6.928354133102186,4.925012718633575,1673.7,False,0.0
TabDPT,Tuned,Foundation Model,38.49727308089156,4786.598933193933,5.07721731473056,1666.8,False,0.0
RealMLP,Tuned + Ens.,Neural Network,10.048405777086359,3995.0078687545497,5.4514811555041085,1644.4,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.8108737399277178,1709.0533523899035,4.5434818072155725,1624.8,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18241940288749647,2.0755087942164807,5.592387980567,1602.0,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,6.070091345492049,1866.353567601547,6.811786776122125,1586.1,False,0.0
TabDPT,Default,Foundation Model,39.21168710680279,46.6209023206833,5.986247634065274,1581.3,False,0.0
RealMLP,Tuned,Neural Network,0.8438670930631972,3995.0078687545497,6.406678309398563,1542.1,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5079303228157378,7.043596811505381,5.990638424336532,1534.7,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,7.690422738079533,3779.7025911156434,7.649115662412638,1530.9,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.38021168966412233,2229.2144624726134,8.34460613783126,1480.4,False,0.0
LightGBM,Tuned + Ens.,Tree-based,9.321818212785747,700.186702882889,8.781920543436286,1471.5,False,0.0
xRFM,Tuned + Ens.,Other,1.3755494169055613,714.49995250579,7.8571567844651025,1462.9,False,0.0
CatBoost,Tuned,Tree-based,0.05512916530217245,2229.2144624726134,8.482472145885758,1457.0,False,0.0
TabM,Tuned + Ens.,Neural Network,2.0923554563979825,3013.8595115998946,7.287382528091318,1446.6,False,0.0
iLTM,Tuned + Ens.,Foundation Model,321.740958660185,12685.081550183375,9.69665110295837,1433.1,False,0.0
LightGBM,Tuned,Tree-based,0.9682498776019389,700.186702882889,9.35547620632778,1409.8,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4595440635374707,518.4320707488994,9.673461890256469,1405.2,False,0.0
XGBoost,Tuned + Ens.,Tree-based,2.614265349176195,834.9300717202715,9.303628730005736,1400.2,False,0.0
TabSwift,Default,Foundation Model,0.07522798278956738,0.9081877562354203,7.664270988689682,1397.4,False,0.0
XGBoost,Tuned,Tree-based,0.3882893336550135,834.9300717202715,9.448927702294013,1380.2,False,0.0
xRFM,Tuned,Other,0.09906659355709241,714.49995250579,8.516938019122659,1379.9,False,0.0
CatBoost,Default,Tree-based,0.016935660981709164,8.732923523885916,9.937700608597511,1374.2,False,0.0
TabM,Tuned,Neural Network,0.18143204946441127,3013.8595115998946,8.194333323029152,1374.1,False,0.0
ChimeraBoost,Tuned,Tree-based,0.057918898273797356,518.4320707488994,9.99680514461848,1370.9,False,0.0
ModernNCA,Tuned,Neural Network,0.39535819786577764,3779.7025911156434,9.593715520368422,1370.8,False,0.0
iLTM,Tuned,Foundation Model,59.09929917379251,12685.081550183375,9.645319282884843,1327.6,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,27.542795487744606,4223.8673583405725,9.062480457687546,1322.5,True,46.15384615384615
ChimeraBoost,Default,Tree-based,0.05158072382519021,2.653780256788737,10.759150929178531,1311.4,False,0.0
TabM,Default,Neural Network,0.13245255225492145,9.192871176488868,9.799851159125629,1275.4,False,0.0
ModernNCA,Default,Neural Network,0.29830064513128357,15.50085128260229,11.09711534940399,1272.1,False,0.0
SAP-RPT-OSS,Default,Foundation Model,6.62062505803983,20.237861808161746,11.176209887911776,1264.6,False,0.0
Mitra,Default,Foundation Model,1.8482798349833538,71.06110734964379,10.652596220700474,1264.3,True,46.15384615384615
LimiX,Default,Foundation Model,19.758252731690327,74.67907421131675,10.713182787075292,1254.9,False,0.0
TabPFNv2,Tuned,Foundation Model,0.4511602179518024,4223.8673583405725,10.096914753774271,1237.0,True,46.15384615384615
TorchMLP,Tuned + Ens.,Neural Network,1.2325370779691025,4608.594420268999,11.310022267658763,1234.2,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.8077239936412522,263.0379305178949,13.259635912299878,1225.3,False,0.0
RealMLP,Default,Neural Network,1.6441179590321608,8.902071138935542,10.891501861633305,1222.0,False,0.0
ExtraTrees,Tuned,Tree-based,0.06589049905451405,263.0379305178949,13.482558025601273,1203.9,False,0.0
LightGBM,Default,Tree-based,0.2745146333305864,2.110834481561456,11.71985578173446,1199.8,False,0.0
