#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",2435.0,+1222/-158,0.922,2.73,1.75,0.999,10.92,0.467,✔️,0.0,False,GPU,system,
1,📊,System,[TabFM+](https://github.com/google-research/tabfm),2314.0,+1151/-157,0.873,4.02,2.7,0.75,5.57,12.365,✔️,0.0,False,GPU,system,
2,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",2278.0,+1098/-110,0.873,4.53,3.27,1.682,10.06,0.452,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2232.0,+1093/-149,0.849,5.27,3.35,0.906,25.25,11.645,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),2097.0,+711/-93,0.719,8.07,6.82,2.381,5.94,1.219,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1974.0,+1060/-254,0.688,11.56,5.71,2.184,0.91,0.204,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1951.0,+652/-96,0.584,12.31,11.15,3.677,735.58,9.557,✔️,0.0,False,GPU,model,
7,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1922.0,+373/-15,0.616,13.36,9.63,4.373,366.93,2.982,✔️,0.0,False,GPU,system,
8,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1896.0,+902/-138,0.56,14.31,4.11,3.712,4786.6,361.183,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1888.0,+524/-62,0.51,14.62,13.45,4.364,2.76,0.701,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1884.0,+598/-98,0.537,14.78,13.15,4.151,735.58,0.714,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1857.0,+1055/-331,0.627,15.89,7.94,3.417,0.46,0.104,✔️,0.0,False,GPU,model,
12,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1839.0,+575/-40,0.459,16.64,15.45,4.739,2526.31,3.717,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1821.0,+686/-182,0.516,17.4,12.73,4.013,0.69,0.178,➖,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1820.0,+818/-126,0.508,17.44,9.55,4.117,4786.6,41.599,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1816.0,+526/-88,0.438,17.62,16.07,5.146,2028.29,1.675,✔️,0.0,False,GPU,model,
16,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1805.0,+290/-10,0.417,18.09,16.74,5.737,473.02,8.73,✔️,0.0,False,CPU,system,
17,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1762.0,+335/-85,0.4,20.02,17.0,5.968,4.87,1.868,✔️,0.0,False,GPU,model,
18,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1732.0,+641/-204,0.419,21.42,17.43,5.053,1.6,0.508,✔️,0.0,False,GPU,model,
19,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1723.0,+710/-132,0.429,21.82,11.66,4.736,45.77,39.212,✔️,0.0,False,GPU,model,
20,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1674.0,+523/-136,0.306,24.24,20.23,6.172,2028.29,0.081,✔️,0.0,False,GPU,model,
21,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1665.0,+389/-117,0.322,24.73,21.75,6.349,1.95,0.641,✔️,0.0,False,GPU,model,
22,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1642.0,+281/-69,0.285,25.93,23.44,6.669,425.61,0.615,✔️,0.0,False,GPU,model,
23,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1634.0,+349/-297,0.3,26.31,4.87,8.033,172.8,0.792,✔️,0.0,False,CPU,model,
24,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1623.0,+259/-148,0.193,26.89,23.4,8.287,222.05,11.236,✔️,0.0,False,CPU,model,
25,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1601.0,+240/-116,0.16,28.02,22.99,8.453,912.76,0.345,✔️,0.0,False,CPU,model,
26,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1581.0,+350/-156,0.258,29.07,25.85,6.499,2526.31,0.166,✔️,0.0,False,GPU,model,
27,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1581.0,+257/-163,0.158,29.07,23.55,8.534,912.76,0.015,✔️,0.0,False,CPU,model,
28,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1578.0,+366/-293,0.258,29.22,6.84,8.409,172.8,0.142,✔️,0.0,False,CPU,model,
29,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1578.0,+261/-129,0.147,29.24,25.98,8.58,222.05,0.968,✔️,0.0,False,CPU,model,
