#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1782.0,+136/-104,0.765,7.84,2.21,6.655,20.08,7.883,✔️,0.0,False,GPU,system,
1,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1776.0,+109/-70,0.697,8.05,3.81,8.017,13.92,0.65,✔️,0.0,False,GPU,system,
2,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1756.0,+145/-130,0.73,8.74,2.54,6.73,40.79,7.056,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1745.0,+100/-73,0.698,9.14,3.51,9.324,5.76,0.522,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1706.0,+81/-53,0.638,10.67,5.41,8.922,11.12,0.622,✔️,0.0,False,GPU,system,
5,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1621.0,+107/-102,0.551,14.76,5.92,9.837,268.44,4.668,✔️,0.0,False,GPU,system,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1611.0,+93/-74,0.524,15.3,8.31,11.783,3.52,0.385,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1581.0,+72/-64,0.484,17.03,11.0,13.297,5.39,0.531,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1567.0,+88/-73,0.466,17.88,8.7,12.087,2063.62,9.938,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1552.0,+87/-82,0.46,18.82,11.05,13.581,2.04,0.182,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1528.0,+82/-66,0.428,20.37,13.13,14.271,2063.62,1.086,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1528.0,+67/-58,0.408,20.39,13.49,14.054,5.63,0.771,✔️,0.0,False,GPU,model,
12,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1520.0,+88/-61,0.403,20.97,11.75,14.558,1815.89,1.455,✔️,0.0,False,CPU,system,
13,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1471.0,+56/-49,0.337,24.47,15.89,15.881,2774.17,16.363,✔️,0.0,False,GPU,model,
14,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1409.0,+52/-56,0.295,29.41,17.23,17.199,2774.17,0.39,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1402.0,+72/-60,0.286,30.03,14.01,17.577,2207.17,1.894,✔️,0.0,False,GPU,model,
16,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1394.0,+82/-66,0.32,30.63,10.52,17.062,18.2,4.692,➖,0.0,False,GPU,model,
17,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1384.0,+62/-54,0.252,31.53,17.25,16.897,1087.73,0.034,✔️,0.0,False,CPU,model,
18,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1384.0,+61/-64,0.253,31.55,20.77,17.611,12550.1,427.59,✔️,0.0,False,GPU,model,
19,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1383.0,+81/-60,0.259,31.59,18.71,18.121,2.1,0.186,➖,0.0,False,GPU,model,
20,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1377.0,+67/-49,0.238,32.14,21.96,17.251,1087.73,0.348,✔️,0.0,False,CPU,model,
21,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1376.0,+58/-42,0.201,32.22,25.77,18.187,391.27,1.243,✔️,0.0,False,CPU,model,
22,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1367.0,+69/-69,0.235,32.96,21.18,18.606,530.36,0.544,✔️,0.0,False,CPU,model,
23,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1365.0,+90/-59,0.248,33.13,15.15,17.773,6067.42,404.053,✔️,0.0,False,GPU,model,
24,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1364.0,+90/-58,0.25,33.24,18.5,18.337,2207.17,0.234,✔️,0.0,False,GPU,model,
25,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1358.0,+71/-65,0.233,33.78,19.94,19.058,530.36,0.042,✔️,0.0,False,CPU,model,
26,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [5.26% IMPUTED],1356.0,+75/-66,0.227,33.93,17.41,18.582,9.08,2.007,✔️,5.26,True,GPU,model,
27,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1354.0,+63/-64,0.193,34.14,25.19,18.722,682.62,0.971,✔️,0.0,False,CPU,model,
28,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1347.0,+62/-66,0.208,34.75,21.56,18.661,4853.47,0.473,✔️,0.0,False,GPU,model,
29,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1345.0,+50/-54,0.2,34.89,24.06,18.386,4.89,0.025,✔️,0.0,False,CPU,model,
30,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1332.0,+88/-79,0.22,36.0,24.29,18.858,4853.47,9.385,✔️,0.0,False,GPU,model,
31,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1327.0,+58/-47,0.168,36.46,30.16,19.086,391.27,0.186,✔️,0.0,False,CPU,model,
32,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1326.0,+65/-69,0.171,36.55,21.9,18.946,682.62,0.183,✔️,0.0,False,CPU,model,
33,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1320.0,+66/-68,0.202,37.12,22.73,19.404,6067.42,39.564,✔️,0.0,False,GPU,model,
34,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1319.0,+59/-62,0.176,37.17,23.7,19.887,1.2,0.064,➖,0.0,False,GPU,model,
35,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [31.58% IMPUTED],1319.0,+93/-80,0.25,37.22,21.98,20.612,2916.21,17.593,✔️,31.58,True,GPU,model,
36,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1311.0,+62/-59,0.184,37.95,26.93,20.739,250.99,2.035,➖,0.0,False,GPU,model,
37,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [31.58% IMPUTED],1307.0,+84/-72,0.21,38.26,21.51,20.919,118.42,2.667,✔️,31.58,True,GPU,model,
38,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1302.0,+68/-55,0.183,38.76,22.82,19.59,1053.8,2.067,✔️,0.0,False,GPU,model,
39,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1300.0,+64/-75,0.186,38.92,26.97,20.565,2.75,0.052,✔️,0.0,False,CPU,model,
40,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1297.0,+53/-50,0.136,39.16,28.76,20.505,1449.14,0.149,✔️,0.0,False,CPU,model,
41,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1296.0,+56/-50,0.149,39.24,30.23,19.336,12550.1,61.31,✔️,0.0,False,GPU,model,
42,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1287.0,+61/-56,0.163,40.09,26.34,20.566,7.26,0.25,✔️,0.0,False,GPU,model,
43,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [31.58% IMPUTED],1264.0,+77/-75,0.176,42.2,27.03,22.076,2916.21,0.271,✔️,31.58,True,GPU,model,
44,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1262.0,+54/-52,0.124,42.34,35.3,20.365,2480.8,2.175,✔️,0.0,False,CPU,model,
45,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1257.0,+66/-58,0.136,42.79,18.61,21.026,1053.8,0.105,✔️,0.0,False,GPU,model,
46,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1257.0,+58/-49,0.102,42.82,31.38,20.991,10.77,1.786,✔️,0.0,False,GPU,model,
47,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1251.0,+60/-95,0.175,43.36,20.83,22.5,13.62,1.984,➖,0.0,False,GPU,model,
48,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1243.0,+60/-59,0.09,44.08,32.33,21.426,1449.14,0.017,✔️,0.0,False,CPU,model,
49,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1241.0,+62/-52,0.11,44.28,19.53,22.013,5.48,0.016,✔️,0.0,False,CPU,model,
