,TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),LimiX (default),TabM (T+E),TabDPT-Turbo (default),iLTM (T+E),TabDPT (T+E),ChimeraBoost (T+E),CatBoost (T+E),LightGBM (T+E),TabICL (default),XGBoost (T+E),TabSwift (default),ModernNCA (T+E),TabPFNv2 (T+E),Mitra (default),BetaTabPFN (default),xRFM (T+E),EBM (T+E),SAP-RPT-OSS (default),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),TabSTAR (T+E),PerpetualBooster (T+E),OrionMSP (default),KNN (T+E),TabFlex (default),Linear (T+E)
TabFM+,,0.6052632,0.57894737,0.65789473,0.65789473,0.7105263,0.7894737,0.8947368,0.8684211,0.8684211,0.7368421,0.8684211,0.8684211,0.92105263,0.8947368,0.84210527,0.94736844,0.8684211,0.94736844,0.92105263,0.94736844,0.92105263,0.8684211,0.92105263,0.9736842,0.9736842,0.9736842,0.8684211,0.94736844,0.92105263,0.94736844,0.92105263,0.94736844,0.94736844,0.94736844,1.0,0.9736842,0.94736844,0.9736842,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.39473686,,0.36842105,0.5,0.80263156,0.7368421,0.7894737,0.7894737,0.84210527,0.81578946,0.8947368,0.84210527,0.8684211,0.8947368,0.92105263,0.92105263,0.94736844,0.92105263,0.8947368,0.9605263,0.94736844,0.9736842,0.92105263,0.92105263,0.8947368,0.9736842,0.8947368,0.9736842,0.94736844,0.8684211,0.9736842,0.94736844,0.9736842,0.9736842,0.8684211,0.9736842,1.0,0.9736842,1.0,0.9736842
TabFM (default),0.42105263,0.6315789,,0.7105263,0.68421054,0.7368421,0.81578946,0.84210527,0.8684211,0.8684211,0.7631579,0.81578946,0.8684211,0.92105263,0.92105263,0.81578946,0.92105263,0.81578946,0.92105263,0.92105263,0.92105263,0.8947368,0.8684211,0.8684211,0.9736842,1.0,0.94736844,0.92105263,0.92105263,0.8947368,0.94736844,0.8947368,0.94736844,0.94736844,0.8947368,1.0,0.9736842,0.92105263,1.0,0.9736842
EXAONE-Tabular (default),0.34210527,0.5,0.28947368,,0.6052632,0.7105263,0.65789473,0.84210527,0.7631579,0.7894737,0.81578946,0.8684211,0.84210527,0.8947368,0.84210527,0.92105263,0.84210527,0.92105263,0.94736844,0.92105263,0.94736844,0.9736842,0.8947368,0.94736844,0.94736844,0.92105263,0.9736842,0.94736844,0.94736844,0.92105263,0.9736842,0.92105263,0.94736844,0.9736842,0.8947368,1.0,0.9736842,0.9736842,0.94736844,0.9736842
"AutoGluon 1.6 (extreme, 4h)",0.34210527,0.19736843,0.31578946,0.39473686,,0.6315789,0.65789473,0.7368421,0.7105263,0.7631579,0.7894737,0.7894737,0.81578946,0.84210527,0.8947368,0.8947368,0.92105263,0.8947368,0.8684211,0.94736844,0.94736844,0.94736844,0.8947368,0.92105263,0.84210527,0.8684211,0.84210527,0.94736844,0.94736844,0.8684211,0.9736842,0.9736842,0.94736844,0.9736842,0.8947368,0.9736842,0.9736842,0.9736842,1.0,0.9736842
"AutoGluon 1.5 (extreme, 4h)",0.28947368,0.2631579,0.2631579,0.28947368,0.36842105,,0.47368422,0.6052632,0.6052632,0.5263158,0.68421054,0.81578946,0.7368421,0.81578946,0.68421054,0.8684211,0.81578946,0.92105263,0.8947368,0.8947368,0.81578946,0.92105263,0.7894737,0.92105263,0.7631579,0.7894737,0.84210527,0.92105263,0.84210527,0.81578946,0.92105263,0.8684211,0.92105263,0.94736844,0.8684211,0.92105263,1.0,0.9736842,0.94736844,0.9736842
TabPFN-3 (default),0.21052632,0.21052632,0.18421052,0.34210527,0.34210527,0.5263158,,0.55263156,0.56578946,0.6052632,0.55263156,0.7105263,0.7105263,0.7894737,0.81578946,0.7894737,0.7894737,0.84210527,0.7894737,0.8684211,0.8947368,0.84210527,0.8684211,0.92105263,0.7894737,0.8684211,0.92105263,0.84210527,0.81578946,0.7894737,0.8684211,0.8684211,0.94736844,0.92105263,0.8684211,0.9736842,1.0,0.94736844,0.94736844,0.94736844
TabPFN-2.6 (default),0.10526316,0.21052632,0.15789473,0.15789473,0.2631579,0.39473686,0.4473684,,0.47368422,0.5,0.5263158,0.7105263,0.7631579,0.7368421,0.7894737,0.81578946,0.7368421,0.81578946,0.81578946,0.8947368,0.8684211,0.7631579,0.7894737,0.8947368,0.81578946,0.8684211,0.84210527,0.84210527,0.8684211,0.81578946,0.8947368,0.8947368,0.92105263,0.94736844,0.84210527,0.9736842,0.9736842,0.9736842,0.92105263,0.9736842
RealTabPFN-2.5 (T+E),0.13157895,0.15789473,0.13157895,0.23684211,0.28947368,0.39473686,0.43421054,0.5263158,,0.5263158,0.55263156,0.68421054,0.68421054,0.68421054,0.65789473,0.7368421,0.68421054,0.81578946,0.8684211,0.81578946,0.7368421,0.84210527,0.81578946,0.7631579,0.8947368,0.8684211,0.8684211,0.81578946,0.84210527,0.8684211,0.81578946,0.84210527,0.94736844,0.92105263,0.84210527,0.94736844,0.9736842,0.92105263,0.8947368,0.92105263
TabICLv2 (default),0.13157895,0.18421052,0.13157895,0.21052632,0.23684211,0.47368422,0.39473686,0.5,0.47368422,,0.6315789,0.65789473,0.68421054,0.68421054,0.7894737,0.7631579,0.81578946,0.7368421,0.7368421,0.81578946,0.7894737,0.7631579,0.81578946,0.84210527,0.7631579,0.7894737,0.8947368,0.7894737,0.7631579,0.7631579,0.8684211,0.94736844,0.8684211,0.8947368,0.8684211,0.94736844,0.92105263,0.94736844,0.9736842,0.94736844
