#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",36279.0,+0/-0,1.0,1.0,1.0,0.0,14.43,0.528,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),34919.0,+0/-0,0.969,2.0,2.0,0.932,3.94,3.192,➖,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",33334.0,+0/-0,0.936,3.0,3.0,1.893,13.72,0.694,✔️,0.0,False,GPU,system,
3,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",31682.0,+0/-0,0.812,4.0,4.0,5.335,259.67,0.61,✔️,0.0,False,GPU,system,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),29869.0,+0/-0,0.81,5.0,5.0,5.388,134.59,8.308,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),28805.0,+0/-0,0.809,6.0,6.0,5.416,0.93,0.273,✔️,0.0,False,GPU,model,
6,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",27615.0,+0/-0,0.748,7.0,7.0,7.023,276.98,4.897,✔️,0.0,False,CPU,system,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),26457.0,+0/-0,0.701,8.0,8.0,8.248,134.59,2.818,✔️,0.0,False,GPU,model,
8,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),25785.0,+0/-0,0.665,9.0,9.0,9.144,79.08,0.039,✔️,0.0,False,CPU,model,
9,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),25082.0,+0/-0,0.657,10.0,10.0,9.34,79.08,0.574,✔️,0.0,False,CPU,model,
10,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),24288.0,+0/-0,0.621,11.0,11.0,10.229,1.84,0.516,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),23534.0,+0/-0,0.547,12.0,12.0,11.982,1.68,0.596,✔️,0.0,False,GPU,model,
12,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),22891.0,+0/-0,0.494,13.0,13.0,13.199,0.28,0.028,✔️,0.0,False,CPU,model,
13,📊,System,[TabFM+](https://github.com/google-research/tabfm),22209.0,+0/-0,0.491,14.0,14.0,13.262,4.98,18.91,✔️,0.0,False,GPU,system,
14,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),21448.0,+0/-0,0.443,15.0,15.0,14.329,35.65,17.704,✔️,0.0,False,GPU,model,
15,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),20710.0,+0/-0,0.413,16.0,16.0,14.992,6601.46,0.107,✔️,0.0,False,CPU,model,
16,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),19985.0,+0/-0,0.412,17.0,17.0,15.004,0.48,0.143,✔️,0.0,False,GPU,model,
17,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),19301.0,+0/-0,0.409,18.0,18.0,15.074,61.47,0.154,✔️,0.0,False,CPU,model,
18,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),18619.0,+0/-0,0.406,19.0,19.0,15.136,157.4,4.579,✔️,0.0,False,CPU,model,
19,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),17897.0,+0/-0,0.405,20.0,20.0,15.164,157.4,0.401,✔️,0.0,False,CPU,model,
20,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),17209.0,+0/-0,0.402,21.0,21.0,15.219,0.82,0.278,➖,0.0,False,GPU,model,
