method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,7.786549648649721,20.91386031100145,5.94178404864763,1800.5,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.7852437451667453,12.888052863942253,9.120563758414328,1779.4,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.518551267683506,5.241869787298472,9.72928686714014,1767.3,False,0.0
TabFM,Default,Foundation Model,7.10852696151597,38.565442655896284,6.003691607606996,1763.7,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.5686228720077742,9.697561470854861,9.794269473825523,1729.9,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,3.981172320284137,267.3065589837622,10.322525330624028,1673.6,False,0.0
TabPFN-3,Default,Foundation Model,0.39100083521538814,3.641070283296061,12.642521960771354,1642.3,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5385860219310328,5.169732086395516,13.930657190503709,1591.7,False,0.0
TabICLv2,Default,Foundation Model,0.16718720756471156,2.0703847189795193,13.229401407280609,1582.5,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.969171073248319,2046.2534629078434,13.763920924025975,1568.5,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3289068866310263,2046.2534629078434,14.419428434857945,1547.1,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7935168864458976,5.758914663608266,14.667490961777254,1534.2,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,1.9685867045520942,1684.6538250420972,15.798322199761994,1498.1,False,0.0
RealMLP,Tuned + Ens.,Neural Network,12.483661895579116,2879.4580429663456,16.426051503494495,1478.6,False,0.0
TabM,Tuned + Ens.,Neural Network,2.3471511218945187,2168.8617901524153,17.355530308789096,1457.8,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18979029024371696,1.9424208612208895,17.821969018142543,1431.1,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.4869408198587952,382.0935074288594,18.084876545493856,1423.6,False,0.0
