method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,3144.6171587685203,1.882128393757061,18.80363859502632,1442.4,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,363.15976298404905,6.597582948250026,11.745293411564335,1640.8,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,11.373682276407878,0.5422107171881358,11.671009798058227,1699.7,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,16.229990081894115,0.7852437451667453,10.974166769478979,1747.5,1.0,False,0.0
BetaTabPFN,Foundation Model,331.00096160130806,2.3591113272724487,20.298259811589997,1409.1,1.0,False,0.0
CatBoost,Tree-based,7.176145272453626,0.04045555652515913,21.258410948197874,1328.0,1.0,False,0.0
CatBoost,Tree-based,13.655005039734613,0.08419064564793557,20.686309301506665,1351.3,2.0,False,0.0
CatBoost,Tree-based,34.70055668590501,0.15846936704017858,20.42614519576879,1363.5,5.0,False,0.0
CatBoost,Tree-based,69.92469961514496,0.21951786449819155,20.353438223903783,1366.3,10.0,False,0.0
CatBoost,Tree-based,185.535157432338,0.2815893316185425,20.31040273619005,1367.8,25.0,False,0.0
CatBoost,Tree-based,379.2610359226336,0.31791456478804925,20.332266315477263,1365.5,50.0,False,0.0
CatBoost,Tree-based,771.7715864817733,0.38060021065068383,20.36737144453938,1362.4,100.0,False,0.0
CatBoost,Tree-based,1152.9335256342872,0.38736151225316695,20.401550738732844,1360.2,150.0,False,0.0
CatBoost,Tree-based,1542.9492660346423,0.39602676030046535,20.415406939201883,1358.1,201.0,False,0.0
ChimeraBoost,Tree-based,6.074644495808363,0.0525585786328536,23.454962502603312,1256.7,1.0,False,0.0
ChimeraBoost,Tree-based,11.957760627259038,0.09614947667732252,23.18064254650362,1267.1,2.0,False,0.0
ChimeraBoost,Tree-based,29.373742398430444,0.1642246074291567,23.048469441250845,1271.5,5.0,False,0.0
ChimeraBoost,Tree-based,58.6768205104095,0.235777867017689,22.917718415533546,1277.4,10.0,False,0.0
ChimeraBoost,Tree-based,146.93510462657684,0.3133254462752867,22.5671810559777,1292.9,25.0,False,0.0
ChimeraBoost,Tree-based,294.37573917995894,0.36981139094055976,22.40358062809992,1300.3,50.0,False,0.0
ChimeraBoost,Tree-based,587.8939144900562,0.4193507008251224,22.20293403790679,1309.8,100.0,False,0.0
ChimeraBoost,Tree-based,881.9267707462716,0.44935598244864416,22.124724190635263,1312.8,150.0,False,0.0
ChimeraBoost,Tree-based,1181.3011004690215,0.46725423919657866,22.11962150314465,1312.1,201.0,False,0.0
EBM,Tree-based,7.091591308677276,0.022277721411777356,23.627037075280892,1239.1,1.0,False,0.0
EBM,Tree-based,16.519883752168138,0.051273724014545205,23.386277808937738,1246.0,2.0,False,0.0
EBM,Tree-based,59.65680170213522,0.07880659967062653,23.042113466945445,1261.7,5.0,False,0.0
EBM,Tree-based,123.90743183396125,0.09777898598303805,22.92547143390527,1267.5,10.0,False,0.0
EBM,Tree-based,318.46001064068014,0.13093474747978825,22.768130888053985,1273.6,25.0,False,0.0
EBM,Tree-based,623.1113495162684,0.14735446566804844,22.61953120227073,1281.5,50.0,False,0.0
EBM,Tree-based,1256.5403166692183,0.1683065577633052,22.504982834644803,1286.6,100.0,False,0.0
EBM,Tree-based,1885.0271107114127,0.1758856014492693,22.467065508115304,1289.4,150.0,False,0.0
EBM,Tree-based,2499.3997394448907,0.18103621896099192,22.44154728336727,1290.8,201.0,False,0.0
EXAONE-Tabular,Foundation Model,5.708271319161451,0.48799473324697207,11.33917690202263,1744.7,1.0,False,0.0
ExtraTrees,Tree-based,3.6063372165544236,0.552061637683181,31.28462469311225,998.3,1.0,False,0.0
ExtraTrees,Tree-based,7.352835584060373,0.6246844204615761,29.243458915993454,1043.6,2.0,False,0.0
ExtraTrees,Tree-based,18.071015916526378,0.6183400546077975,26.411741149648982,1118.0,5.0,False,0.0
ExtraTrees,Tree-based,35.50624097116038,0.7242510207137531,25.508693276803164,1163.1,10.0,False,0.0
ExtraTrees,Tree-based,87.92423005987831,0.9536012795653059,24.958287313186872,1195.1,25.0,False,0.0
ExtraTrees,Tree-based,175.40181898871634,1.105620539394594,24.803175538033912,1203.9,50.0,False,0.0
ExtraTrees,Tree-based,350.03799375378446,1.2895955274314292,24.696551462261915,1210.2,100.0,False,0.0
ExtraTrees,Tree-based,524.8382968951074,1.3699672147675712,24.628914214903695,1215.4,150.0,False,0.0
ExtraTrees,Tree-based,703.0330785913825,1.4314907953556684,24.620539796776935,1215.8,201.0,False,0.0
FastaiMLP,Neural Network,5.037025811771551,0.64521651575819,29.488001705570856,1019.4,1.0,False,0.0
FastaiMLP,Neural Network,12.772238946803625,1.309154534721496,27.954938158634885,1068.1,2.0,False,0.0
FastaiMLP,Neural Network,35.554337464139934,2.70863815575737,25.64367086969574,1149.1,5.0,False,0.0
FastaiMLP,Neural Network,67.99765545865077,3.7948756042250507,24.580939841436457,1190.5,10.0,False,0.0
FastaiMLP,Neural Network,172.4339504664409,5.508586879063106,23.709545603571865,1223.5,25.0,False,0.0
FastaiMLP,Neural Network,350.27033861236026,6.571146472278699,23.333170347501227,1241.8,50.0,False,0.0
FastaiMLP,Neural Network,703.7735059836259,7.744584773313746,23.180122418339362,1249.5,100.0,False,0.0
FastaiMLP,Neural Network,1059.214265098769,8.661695133559357,23.104589777694336,1254.0,150.0,False,0.0
FastaiMLP,Neural Network,1424.2167400309727,9.199152001071148,23.103094781263298,1255.2,201.0,False,0.0
LightGBM,Tree-based,3.149413841958201,0.14068063703957615,24.524347592809555,1162.0,1.0,False,0.0
LightGBM,Tree-based,7.120773315918939,0.5575643479824066,22.3458184041616,1258.3,2.0,False,0.0
LightGBM,Tree-based,17.905337250357526,0.8204403588830727,21.155486960822767,1330.8,5.0,False,0.0
