method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.6469668367079326,9.106484154619917,7.088924319056073,1800.2,False,0.0
TabFM,Default,Foundation Model,7.0561792582959235,37.56085286541245,6.429190997397151,1785.8,False,0.0
TabFM+,Baseline,System,7.752440091877302,16.238999841809274,6.341708289554368,1781.6,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.4957583784042041,5.164199277042998,8.941446701695645,1762.1,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.5273815366500343,6.241308344387356,7.796812153909935,1726.9,False,0.0
TabPFN-3,Default,Foundation Model,0.3530625429769291,2.9028568605869225,11.692020852879814,1637.5,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,4.720328786213149,270.8740025191768,9.152284959670334,1619.5,False,0.0
TabPFN-2.6,Default,Foundation Model,0.46732751131057737,4.818334407462211,13.130473901501341,1584.8,False,0.0
TabICLv2,Default,Foundation Model,0.16003985077461458,1.7694169027021422,12.914891880841244,1580.7,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,1.3593905937311876,1231.2409961186027,13.528698163212956,1553.7,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,10.744405347900123,1878.3590992619372,13.640283152328744,1545.4,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7081268775139049,4.788015269827178,13.910904964573396,1542.2,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.0352207542955876,1878.3590992619372,14.281122070735583,1513.5,False,0.0
RealMLP,Tuned + Ens.,Neural Network,9.310086973846083,2722.1286706272067,14.907038953044419,1497.6,False,0.0
RealMLP,Tuned,Neural Network,0.26452064957959065,2722.1286706272067,16.45467661846966,1427.3,False,0.0
TabM,Tuned + Ens.,Neural Network,1.601935816175824,1641.7401040642999,16.705153226748852,1416.6,False,0.0
iLTM,Tuned + Ens.,Foundation Model,361.1026011106327,8274.66645037466,16.598228930644545,1415.0,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4955938420968311,328.7810170494133,17.280188405572865,1401.3,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16686481952867496,1.4816805766506467,16.762853402995713,1399.2,False,0.0
ChimeraBoost,Tuned,Tree-based,0.036901092529296874,328.7810170494133,17.864847383030998,1387.3,False,0.0
CatBoost,Tuned,Tree-based,0.02713937979729418,735.4606570949481,16.95551537095871,1385.5,False,0.0
LimiX,Default,Foundation Model,4.303622545922834,14.266900918285131,17.83911994033475,1382.9,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.7734248688551886,328.6416252859693,17.59709281007804,1381.5,False,0.0
CatBoost,Default,Tree-based,0.020933960871807933,3.1841367928063065,17.147659987844122,1376.7,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.30073634621479206,735.4606570949481,17.19656226717734,1374.8,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,409.9318208736349,5891.301430068592,16.37593492704775,1372.9,False,0.0
ModernNCA,Tuned,Neural Network,0.405195724330888,3436.743327322619,17.676486170940322,1370.9,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.6132840030598254,463.0121929349545,18.11808749944759,1368.2,False,0.0
TabM,Tuned,Neural Network,0.2189068869540566,1641.7401040642999,17.65078575751966,1368.0,False,0.0
TabSwift,Default,Foundation Model,0.0622971538337989,1.1067907258628278,17.734604202755964,1362.4,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.476340629368005,3436.743327322619,18.014834152043573,1350.9,False,0.0
XGBoost,Tuned,Tree-based,0.10796669580105364,463.0121929349545,18.456230515190157,1333.2,False,0.0
BetaTabPFN,Default,Foundation Model,1.6993924490576053,248.5156197629477,19.426048223911913,1333.2,False,0.0
TabDPT,Tuned,Foundation Model,39.56404734570363,5891.301430068592,18.098253246966703,1332.2,False,0.0
ChimeraBoost,Default,Tree-based,0.04909318591419019,1.797636092612127,18.910740500308464,1323.9,False,0.0
LightGBM,Tuned,Tree-based,0.08907242783799675,328.6416252859693,18.716283094492418,1320.1,False,0.0
iLTM,Tuned,Foundation Model,40.26774061876153,8274.66645037466,18.34459334656121,1316.3,False,0.0
EBM,Tuned + Ens.,Tree-based,0.13993256333866833,976.6816362244101,19.58171917110966,1307.5,False,0.0
RealMLP,Default,Neural Network,1.1617619188751118,9.04466075960556,18.93592370558271,1299.5,False,0.0
xRFM,Tuned + Ens.,Other,1.5127555024891224,559.769651792469,18.6615575202933,1297.0,False,0.0
TabM,Default,Neural Network,0.20245283134092534,5.879596992616121,19.182294876354288,1296.4,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.3011998096154636,2206.639015644165,19.021317957147037,1278.7,False,0.0
xRFM,Tuned,Other,0.08604776333360112,559.769651792469,20.09126906173429,1260.3,False,0.0
EBM,Default,Tree-based,0.014925670623779298,2.841292559288534,20.97206608331965,1256.9,False,0.0
EBM,Tuned,Tree-based,0.014944791793823242,976.6816362244101,20.371745298993442,1251.5,False,0.0
SAP-RPT-OSS,Default,Foundation Model,3.1690613567950394,13.074128492845563,22.042573339489593,1245.5,False,0.0
TabDPT,Default,Foundation Model,39.443943878242806,47.887199399972175,20.9557017066173,1224.3,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,4.461688632607426,561.2940883156758,21.562368324685593,1219.9,False,0.0
XGBoost,Default,Tree-based,0.11760025587157431,1.4234367091028006,21.282144441244615,1207.9,False,0.0
ModernNCA,Default,Neural Network,0.311792872264511,11.147885501802353,22.15754748218184,1203.8,False,0.0
TorchMLP,Tuned,Neural Network,0.10679537840710956,2206.639015644165,21.204872359963705,1203.6,False,0.0
iLTM,Default,Foundation Model,44.66738444572042,202.68123167510714,23.81804349956153,1167.6,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.7789141111420054,180.03297348925832,22.32645519599086,1164.2,False,0.0
TabSTAR,Tuned,Foundation Model,3.6626595929135295,34925.30073918944,25.036691244151704,1148.0,False,0.0
FastaiMLP,Tuned,Neural Network,0.23642303334693704,561.2940883156758,23.441053805840628,1144.8,False,0.0
ExtraTrees,Tuned,Tree-based,0.05552126963026134,180.03297348925832,23.443909969325095,1143.5,False,0.0
LightGBM,Default,Tree-based,0.09405572097142174,0.9329196027234239,22.07117284787322,1140.3,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.5516567503946385,171.6065412888628,23.68168569528482,1139.2,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,16.93178362310976,34925.30073918944,25.225103149297702,1138.3,False,0.0
RandomForest,Tuned,Tree-based,0.05262169867930155,171.6065412888628,24.251434413381144,1107.7,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.49788206632466736,130.48299601637174,26.08217046824232,1107.0,False,0.0
OrionMSP,Default,Foundation Model,2.7399372917187836,14.369153437681977,24.975564484875335,1090.1,False,0.0
TabSTAR,Default,Foundation Model,4.089501229724204,387.3713684902134,30.131856777936665,1062.7,False,0.0
PerpetualBooster,Tuned,Tree-based,0.1426565144827251,130.48299601637174,27.016342558857115,1056.4,False,0.0
TorchMLP,Default,Neural Network,0.09235363366331498,4.966345827375167,25.536172602515204,1048.5,False,0.0
FastaiMLP,Default,Neural Network,0.2592580680812213,2.786898498058273,26.109935375908854,1019.5,False,0.0
TabFlex,Default,Foundation Model,0.11545801602891792,0.8137451984541484,30.36009777887158,1011.6,False,0.0
RandomForest,Default,Tree-based,0.031258010198622184,0.29409962022428593,28.257069048826,1000.0,False,0.0
ExtraTrees,Default,Tree-based,0.21950701670076028,1.1488986662717409,28.008585559138254,999.2,False,0.0
PerpetualBooster,Default,Tree-based,0.026813865344307776,12.43703515319448,32.63156583448266,984.7,False,0.0
xRFM,Default,Other,0.39227353270435844,2.714428359270096,31.312393820470618,942.4,False,0.0
