method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,7.882700661554654,20.07992526019054,6.65469779934142,1788.8,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.6504222003272732,13.915404820137777,8.016527063226176,1785.4,False,0.0
TabFM,Default,Foundation Model,7.0561792582959235,40.78996474014507,6.730059103642224,1759.7,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.5220190009900503,5.763747595992394,9.324191385865248,1751.8,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.621639631726415,11.122142561078418,8.921982345492163,1717.1,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,4.66790488615476,268.43939597724386,9.836664528183714,1634.6,False,0.0
TabPFN-3,Default,Foundation Model,0.384605182711487,3.518668421631486,11.78324664697828,1619.3,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5307377510382884,5.393595838210095,13.296590392180727,1588.7,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.938060119748116,2063.622614188257,12.087280226092254,1571.4,False,0.0
TabICLv2,Default,Foundation Model,0.18200423568487167,2.039141963168062,13.580850132202638,1560.4,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7713317233429857,5.6257151641982635,14.053586705915375,1535.9,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,1.455187625551353,1815.889678548859,14.558182353698387,1535.9,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.086491073208025,2063.622614188257,14.27083207562225,1533.2,False,0.0
RealMLP,Tuned + Ens.,Neural Network,16.36265142124315,2774.1715903226795,15.881360140569498,1485.2,False,0.0
RealMLP,Tuned,Neural Network,0.3898971972964901,2774.1715903226795,17.199220237619002,1420.5,False,0.0
TabM,Tuned + Ens.,Neural Network,1.893701326828623,2207.1695731088394,17.57724515656691,1415.5,False,0.0
LimiX,Default,Foundation Model,4.691586665393132,18.196491753774094,17.061657802357928,1402.1,False,0.0
CatBoost,Tuned,Tree-based,0.03411206586622677,1087.7269134100757,16.896823924527816,1394.9,False,0.0
iLTM,Tuned + Ens.,Foundation Model,427.5904998867701,12550.099883706782,17.610545096125986,1394.1,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18615152154650005,2.0990306801023815,18.12137349825191,1390.4,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.2430091096332978,391.2703614284814,18.18738852142742,1387.7,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.3481993778974993,1087.7269134100757,17.251499789554,1386.7,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.5442929533457523,530.3562210187525,18.606488408798096,1378.0,False,0.0
TabM,Tuned,Neural Network,0.2337420666813989,2207.1695731088394,18.336694359133883,1375.1,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,404.05298819846814,6067.424608322441,17.772603606932766,1372.5,False,0.0
ChimeraBoost,Tuned,Tree-based,0.04218844630661929,530.3562210187525,19.057624302651853,1368.0,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.9713359475135803,682.6224605815719,18.722088324084243,1364.7,False,0.0
ModernNCA,Tuned,Neural Network,0.4731015689224996,4853.473050487665,18.660909353230103,1356.8,False,0.0
CatBoost,Default,Tree-based,0.024809805969676378,4.88613884555442,18.38605510796684,1355.3,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.384570834031301,4853.473050487665,18.857875128947626,1343.0,False,0.0
LightGBM,Tuned,Tree-based,0.18558409810066223,391.2703614284814,19.086303692872,1337.6,False,0.0
XGBoost,Tuned,Tree-based,0.18295137338644407,682.6224605815719,18.945687318006975,1335.5,False,0.0
TabSwift,Default,Foundation Model,0.0643226705359284,1.1995725235497452,19.88667929324795,1327.6,False,0.0
TabDPT,Tuned,Foundation Model,39.56404734570363,6067.424608322441,19.403787007801963,1326.0,False,0.0
BetaTabPFN,Default,Foundation Model,2.035193444417784,250.9922109032818,20.739377662067835,1320.7,False,0.0
ChimeraBoost,Default,Tree-based,0.05168870571320533,2.746842087814775,20.564854021907163,1309.6,False,0.0
xRFM,Tuned + Ens.,Other,2.0671352108723013,1053.8003845302662,19.5904329372232,1309.3,False,0.0
EBM,Tuned + Ens.,Tree-based,0.1493309259414673,1449.1413756846853,20.50534720042923,1306.4,False,0.0
iLTM,Tuned,Foundation Model,61.309690659904135,12550.099883706782,19.335830775456657,1302.6,False,0.0
TabM,Default,Neural Network,0.2496062173092955,7.263787562932087,20.56609551555591,1297.0,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.175346818589723,2480.8031686862923,20.364742345980545,1269.7,False,0.0
xRFM,Tuned,Other,0.10530142553006287,1053.8003845302662,21.026272043647253,1265.0,False,0.0
RealMLP,Default,Neural Network,1.7864396959391948,10.768469932632094,20.99093919449792,1264.7,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.9837292888957392,13.622865406710918,22.500004774971387,1255.2,False,0.0
EBM,Default,Tree-based,0.016273159727879186,5.4796099732904935,22.0125731980442,1248.7,False,0.0
EBM,Tuned,Tree-based,0.0167928172118396,1449.1413756846853,21.426155634704507,1248.5,False,0.0
TabDPT,Default,Foundation Model,39.443943878242806,47.887199399972175,22.322924389681404,1218.3,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,5.036877045866174,622.8560318368341,23.184337042323797,1214.1,False,0.0
TorchMLP,Tuned,Neural Network,0.11661042956564727,2480.8031686862923,22.45069461006832,1205.4,False,0.0
XGBoost,Default,Tree-based,0.12092629407154093,1.8759235268006864,21.93546054007136,1204.9,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.8604796191112558,282.3556156822257,22.754515422269094,1192.5,False,0.0
ModernNCA,Default,Neural Network,0.3522751419580875,13.353011661792028,23.968962681026373,1181.3,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.708277981095196,327.3662383913865,23.78075815677329,1168.0,False,0.0
ExtraTrees,Tuned,Tree-based,0.07210481322678255,282.3556156822257,24.239296770139386,1161.8,False,0.0
LightGBM,Default,Tree-based,0.15850292107052927,2.2519280722903723,23.06188532139217,1152.4,False,0.0
iLTM,Default,Foundation Model,62.491552497455345,267.89166562803814,25.3152636498181,1137.3,False,0.0
FastaiMLP,Tuned,Neural Network,0.3452999313247396,622.8560318368341,24.990855874237607,1135.1,False,0.0
RandomForest,Tuned,Tree-based,0.08450967030951057,327.3662383913865,24.531973982872067,1130.4,False,0.0
TabSTAR,Tuned,Foundation Model,4.268797289136025,38846.7008402763,26.831694103004782,1119.8,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,19.47480270281107,38846.7008402763,27.045985989214483,1109.8,False,0.0
OrionMSP,Default,Foundation Model,2.876262961007419,16.070471134352086,27.273696469374524,1068.1,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.6542696803129384,175.2300293672085,31.903427226204162,1060.9,False,0.0
TorchMLP,Default,Neural Network,0.1483357714531117,5.726886459301168,27.234772672970752,1042.8,False,0.0
TabSTAR,Default,Foundation Model,4.971999782644215,403.9176915340071,33.18658989172943,1019.9,False,0.0
PerpetualBooster,Tuned,Tree-based,0.19993027173816819,175.2300293672085,33.411418512848826,1008.9,False,0.0
FastaiMLP,Default,Neural Network,0.33408521032303745,3.125120463125465,28.554840404716558,1001.9,False,0.0
RandomForest,Default,Tree-based,0.03766826584075235,0.3738939374646072,30.3679544457085,1000.0,False,0.0
ExtraTrees,Default,Tree-based,0.267502624319227,1.7477789605523295,30.38122658857022,988.5,False,0.0
xRFM,Default,Other,0.6769281513638632,3.4779953241459864,31.498463649217044,981.9,False,0.0
TabFlex,Default,Foundation Model,0.1916685528667079,1.035078638871918,33.160893235506855,973.4,False,0.0
PerpetualBooster,Default,Tree-based,0.04437764936299611,20.44351141873462,38.96585222745145,939.6,False,0.0
