#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1789.0,+138/-104,0.762,7.61,2.2,6.655,20.08,7.883,✔️,0.0,False,GPU,system,
1,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1785.0,+117/-74,0.697,7.71,3.68,8.017,13.92,0.65,✔️,0.0,False,GPU,system,
2,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1760.0,+149/-135,0.728,8.55,2.52,6.73,40.79,7.056,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1752.0,+109/-79,0.699,8.83,3.48,9.324,5.76,0.522,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1717.0,+82/-54,0.637,10.12,5.31,8.922,11.12,0.622,✔️,0.0,False,GPU,system,
5,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1635.0,+116/-103,0.551,13.79,5.8,9.837,268.44,4.668,✔️,0.0,False,GPU,system,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1619.0,+94/-80,0.523,14.57,8.09,11.783,3.52,0.385,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1589.0,+80/-69,0.481,16.21,10.67,13.297,5.39,0.531,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1571.0,+91/-74,0.463,17.2,8.53,12.087,2063.62,9.938,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1560.0,+86/-85,0.459,17.84,10.67,13.581,2.04,0.182,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1536.0,+70/-62,0.403,19.34,12.4,14.054,5.63,0.771,✔️,0.0,False,GPU,model,
11,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1536.0,+89/-60,0.403,19.34,11.1,14.558,1815.89,1.455,✔️,0.0,False,CPU,system,
12,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1533.0,+86/-70,0.423,19.51,12.46,14.271,2063.62,1.086,✔️,0.0,False,GPU,model,
13,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1485.0,+58/-52,0.334,22.68,15.16,15.881,2774.17,16.363,✔️,0.0,False,GPU,model,
14,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1420.0,+51/-56,0.29,27.38,16.15,17.199,2774.17,0.39,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1416.0,+74/-62,0.286,27.76,13.48,17.577,2207.17,1.894,✔️,0.0,False,GPU,model,
16,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1402.0,+88/-69,0.323,28.79,10.06,17.062,18.2,4.692,➖,0.0,False,GPU,model,
17,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1395.0,+68/-55,0.251,29.34,16.33,16.897,1087.73,0.034,✔️,0.0,False,CPU,model,
18,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1394.0,+60/-65,0.251,29.41,19.59,17.611,12550.1,427.59,✔️,0.0,False,GPU,model,
19,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1390.0,+83/-63,0.259,29.7,17.79,18.121,2.1,0.186,➖,0.0,False,GPU,model,
20,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1388.0,+58/-42,0.199,29.91,24.47,18.187,391.27,1.243,✔️,0.0,False,CPU,model,
21,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1387.0,+66/-52,0.235,29.99,21.0,17.251,1087.73,0.348,✔️,0.0,False,CPU,model,
22,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1378.0,+70/-69,0.232,30.67,20.25,18.606,530.36,0.544,✔️,0.0,False,CPU,model,
23,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1375.0,+95/-59,0.252,30.89,17.67,18.337,2207.17,0.234,✔️,0.0,False,GPU,model,
24,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1372.0,+92/-60,0.245,31.11,14.56,17.773,6067.42,404.053,✔️,0.0,False,GPU,model,
25,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1368.0,+73/-68,0.231,31.46,19.08,19.058,530.36,0.042,✔️,0.0,False,CPU,model,
26,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1365.0,+65/-63,0.193,31.72,24.06,18.722,682.62,0.971,✔️,0.0,False,CPU,model,
27,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1357.0,+64/-69,0.208,32.36,19.94,18.661,4853.47,0.473,✔️,0.0,False,GPU,model,
28,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1355.0,+51/-55,0.195,32.47,23.1,18.386,4.89,0.025,✔️,0.0,False,CPU,model,
29,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1343.0,+94/-83,0.222,33.47,22.86,18.858,4853.47,9.385,✔️,0.0,False,GPU,model,
30,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1338.0,+61/-49,0.163,33.91,28.37,19.086,391.27,0.186,✔️,0.0,False,CPU,model,
31,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1336.0,+68/-66,0.169,34.08,21.11,18.946,682.62,0.183,✔️,0.0,False,CPU,model,
32,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1328.0,+60/-63,0.174,34.72,21.8,19.887,1.2,0.064,➖,0.0,False,GPU,model,
33,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1326.0,+71/-69,0.202,34.86,21.39,19.404,6067.42,39.564,✔️,0.0,False,GPU,model,
34,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1321.0,+64/-61,0.182,35.29,25.12,20.739,250.99,2.035,➖,0.0,False,GPU,model,
35,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1310.0,+67/-76,0.181,36.21,25.61,20.565,2.75,0.052,✔️,0.0,False,CPU,model,
36,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1309.0,+71/-57,0.185,36.24,21.7,19.59,1053.8,2.067,✔️,0.0,False,GPU,model,
37,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1306.0,+55/-51,0.132,36.47,27.06,20.505,1449.14,0.149,✔️,0.0,False,CPU,model,
38,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1303.0,+53/-52,0.146,36.79,28.39,19.336,12550.1,61.31,✔️,0.0,False,GPU,model,
39,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1297.0,+62/-56,0.162,37.25,24.98,20.566,7.26,0.25,✔️,0.0,False,GPU,model,
40,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1270.0,+49/-51,0.126,39.53,33.02,20.365,2480.8,2.175,✔️,0.0,False,CPU,model,
41,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1265.0,+68/-58,0.137,39.92,18.0,21.026,1053.8,0.105,✔️,0.0,False,GPU,model,
42,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1265.0,+57/-48,0.101,39.95,29.82,20.991,10.77,1.786,✔️,0.0,False,GPU,model,
43,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1255.0,+62/-102,0.175,40.74,19.98,22.5,13.62,1.984,➖,0.0,False,GPU,model,
44,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1249.0,+62/-52,0.107,41.28,18.94,22.013,5.48,0.016,✔️,0.0,False,CPU,model,
45,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1248.0,+62/-57,0.087,41.29,30.88,21.426,1449.14,0.017,✔️,0.0,False,CPU,model,
46,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1218.0,+73/-71,0.124,43.78,28.59,22.323,47.89,39.444,✔️,0.0,False,GPU,model,
47,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1214.0,+66/-87,0.1,44.12,33.97,23.184,622.86,5.037,✔️,0.0,False,CPU,model,
48,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1205.0,+73/-67,0.093,44.83,33.49,22.451,2480.8,0.117,✔️,0.0,False,CPU,model,
49,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1205.0,+60/-69,0.082,44.87,26.78,21.935,1.88,0.121,✔️,0.0,False,CPU,model,
50,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1192.0,+65/-67,0.084,45.87,31.8,22.755,282.36,0.86,✔️,0.0,False,CPU,model,
51,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1181.0,+65/-67,0.066,46.76,18.66,23.969,13.35,0.352,✔️,0.0,False,GPU,model,
52,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1168.0,+68/-74,0.086,47.82,39.38,23.781,327.37,0.708,✔️,0.0,False,CPU,model,
53,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1162.0,+63/-80,0.065,48.3,32.59,24.239,282.36,0.072,✔️,0.0,False,CPU,model,
54,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1152.0,+59/-61,0.062,49.04,42.3,23.062,2.25,0.159,✔️,0.0,False,CPU,model,
55,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1137.0,+69/-73,0.058,50.2,33.23,25.315,267.89,62.492,✔️,0.0,False,GPU,model,
56,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1135.0,+63/-79,0.065,50.37,37.63,24.991,622.86,0.345,✔️,0.0,False,CPU,model,
57,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1130.0,+61/-64,0.048,50.72,44.7,24.532,327.37,0.085,✔️,0.0,False,CPU,model,
58,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1120.0,+90/-94,0.109,51.53,19.64,26.832,38846.7,4.269,✔️,0.0,False,GPU,model,
59,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1110.0,+95/-100,0.1,52.28,23.67,27.046,38846.7,19.475,✔️,0.0,False,GPU,model,
60,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1068.0,+60/-77,0.034,55.29,49.06,27.274,16.07,2.876,➖,0.0,False,GPU,model,
61,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1061.0,+78/-88,0.069,55.79,46.42,31.903,175.23,0.654,✔️,0.0,False,CPU,model,
62,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1043.0,+64/-78,0.02,57.03,52.19,27.235,5.73,0.148,✔️,0.0,False,CPU,model,
63,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1020.0,+112/-126,0.084,58.53,19.08,33.187,403.92,4.972,✔️,0.0,False,GPU,model,
64,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1009.0,+66/-90,0.034,59.22,54.25,33.411,175.23,0.2,✔️,0.0,False,CPU,model,
65,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1002.0,+68/-65,0.021,59.66,55.77,28.555,3.13,0.334,✔️,0.0,False,CPU,model,
66,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+70/-84,0.015,59.78,50.2,30.368,0.37,0.038,✔️,0.0,False,CPU,model,
67,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),998.0,+73/-102,0.031,59.88,51.7,30.745,140.69,2.876,✔️,0.0,False,CPU,model,
68,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),988.0,+88/-98,0.026,60.47,52.35,30.381,1.75,0.268,✔️,0.0,False,CPU,model,
69,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),982.0,+78/-90,0.032,60.87,54.58,31.498,3.48,0.677,✔️,0.0,False,GPU,model,
70,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),973.0,+82/-124,0.035,61.37,53.06,33.161,1.04,0.192,➖,0.0,False,GPU,model,
71,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),970.0,+88/-105,0.025,61.54,34.25,34.12,256.18,0.36,✔️,0.0,False,CPU,model,
72,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),946.0,+90/-112,0.019,62.89,41.07,34.774,256.18,0.07,✔️,0.0,False,CPU,model,
73,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),940.0,+88/-116,0.032,63.25,34.32,38.966,20.44,0.044,✔️,0.0,False,CPU,model,
74,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),886.0,+87/-115,0.007,65.89,62.46,37.285,1.32,0.117,✔️,0.0,False,CPU,model,
75,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),835.0,+92/-118,0.017,68.08,64.35,37.703,140.69,0.188,✔️,0.0,False,CPU,model,
76,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),568.0,+108/-125,0.0,74.74,74.47,51.736,0.18,0.028,✔️,0.0,False,CPU,model,
