method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,2993.948327958853,1.399847859163637,17.213500888299286,1466.9,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,360.81280451333004,5.696457657871621,11.204564190151025,1584.1,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,12.765914577458586,0.605565273498903,10.969890554738138,1690.7,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,18.70802319068476,0.640774089716175,10.023587075078485,1753.3,1.0,False,0.0
BetaTabPFN,Foundation Model,303.58744374984343,2.322831617545355,20.985177064360784,1360.5,1.0,False,0.0
CatBoost,Tree-based,7.3166111387389945,0.04049501513000159,20.775990751643782,1310.8,1.0,False,0.0
CatBoost,Tree-based,13.002101375109383,0.07642601220073833,20.043820120567577,1333.4,2.0,False,0.0
CatBoost,Tree-based,34.983850745794896,0.16465174853801728,19.712524313104737,1341.9,5.0,False,0.0
CatBoost,Tree-based,71.4491054100512,0.20596719831228255,19.518312514800567,1349.2,10.0,False,0.0
CatBoost,Tree-based,197.34215619106237,0.24599976986646652,19.403734057459854,1349.5,25.0,False,0.0
CatBoost,Tree-based,391.40365686249027,0.2734896111539318,19.424815841788927,1344.3,50.0,False,0.0
CatBoost,Tree-based,788.0795112227574,0.33103362481117937,19.23575590506217,1343.5,100.0,False,0.0
CatBoost,Tree-based,1179.7013801714866,0.3663053836160751,19.23836938401719,1335.8,150.0,False,0.0
CatBoost,Tree-based,1580.612883732634,0.38064266978339717,19.142809775165563,1343.1,201.0,False,0.0
ChimeraBoost,Tree-based,6.072961514526461,0.056060976361517356,23.69692694886401,1244.6,1.0,False,0.0
ChimeraBoost,Tree-based,12.004947477046782,0.10383249088557384,23.08379499595506,1262.9,2.0,False,0.0
ChimeraBoost,Tree-based,28.739602306828473,0.19120303054077925,22.557067002587836,1282.6,5.0,False,0.0
ChimeraBoost,Tree-based,56.71056421398764,0.25041222056043116,22.276646898133144,1291.5,10.0,False,0.0
ChimeraBoost,Tree-based,141.6888949513838,0.3304731951259027,21.780035674787165,1305.5,25.0,False,0.0
ChimeraBoost,Tree-based,285.5815121082841,0.3525453121992793,21.51657177747053,1313.4,50.0,False,0.0
ChimeraBoost,Tree-based,571.3283143500214,0.36696102474147674,21.405009893993018,1316.6,100.0,False,0.0
ChimeraBoost,Tree-based,855.5054293517319,0.4465457395172613,21.363063802126522,1315.8,150.0,False,0.0
ChimeraBoost,Tree-based,1146.8725353506861,0.4962441376983163,21.44028707072064,1311.8,201.0,False,0.0
EBM,Tree-based,7.269331273082633,0.0218718174324596,22.749440603204178,1240.6,1.0,False,0.0
EBM,Tree-based,17.37861557910739,0.050845688420007085,22.51684915019205,1250.9,2.0,False,0.0
EBM,Tree-based,52.847957234788915,0.07394101254803584,22.241151687790822,1263.5,5.0,False,0.0
EBM,Tree-based,105.33096571131803,0.09142528285221785,22.166835555349255,1266.3,10.0,False,0.0
EBM,Tree-based,259.3104620970418,0.12486774183972224,22.06406766303943,1274.4,25.0,False,0.0
EBM,Tree-based,524.5599999251274,0.13503187228780184,21.89006512247043,1282.1,50.0,False,0.0
EBM,Tree-based,1025.3924289591903,0.15604735505915396,21.728770965252693,1290.3,100.0,False,0.0
EBM,Tree-based,1544.9631429961146,0.15864187909136657,21.698905322304505,1293.8,150.0,False,0.0
EBM,Tree-based,2068.2009167512083,0.16529027706764798,21.666703304403896,1294.3,201.0,False,0.0
EXAONE-Tabular,Foundation Model,6.813714250828779,0.4957583784042041,11.326171254648045,1718.2,1.0,False,0.0
ExtraTrees,Tree-based,3.760884370758124,0.5968426683527703,30.634772532701486,1015.0,1.0,False,0.0
ExtraTrees,Tree-based,7.233617936932819,0.6853995207358274,28.761204839806354,1041.8,2.0,False,0.0
