#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1947.0,+1296/-201,0.883,4.86,1.66,7.052,28.9,7.888,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1797.0,+375/-128,0.695,9.0,5.26,10.585,14.29,0.767,✔️,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1776.0,+266/-53,0.644,9.79,7.53,13.137,24.09,0.788,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1759.0,+1275/-296,0.772,10.43,1.82,6.934,52.66,6.434,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1752.0,+234/-64,0.604,10.71,7.02,13.413,247.2,3.959,✔️,0.0,False,GPU,system,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1748.0,+401/-150,0.619,10.86,4.08,6.389,2837.96,9.546,✔️,0.0,False,GPU,model,
6,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1726.0,+244/-61,0.597,11.79,8.89,14.748,23.21,0.731,✔️,0.0,False,GPU,system,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1673.0,+230/-113,0.526,14.21,10.91,15.087,2837.96,1.132,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1663.0,+202/-99,0.521,14.71,12.34,14.447,10.78,0.65,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1611.0,+289/-126,0.428,17.5,10.26,13.924,10.97,0.855,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1592.0,+287/-140,0.466,18.57,11.03,13.084,9.45,0.514,✔️,0.0,False,GPU,model,
11,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1552.0,+195/-92,0.367,21.0,11.59,18.232,4655.15,21.781,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1541.0,+378/-181,0.451,21.71,9.36,16.232,5.36,0.234,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1501.0,+226/-153,0.332,24.29,17.25,16.034,46.11,9.187,➖,0.0,False,GPU,model,
14,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1501.0,+168/-138,0.368,24.29,16.21,20.235,3829.4,4.64,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1499.0,+183/-117,0.328,24.43,19.5,18.674,4655.15,4.029,✔️,0.0,False,GPU,model,
16,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1499.0,+214/-131,0.349,24.43,17.07,20.047,6318.92,3.195,✔️,0.0,False,CPU,system,
17,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1494.0,+172/-146,0.349,24.71,12.52,20.301,3829.4,0.879,✔️,0.0,False,GPU,model,
18,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1492.0,+191/-105,0.288,24.86,20.15,17.694,3632.1,1.236,✔️,0.0,False,CPU,model,
19,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1492.0,+203/-99,0.302,24.86,17.36,16.775,3632.1,0.238,✔️,0.0,False,CPU,model,
20,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1457.0,+184/-203,0.311,27.29,9.64,21.652,2149.3,2.926,✔️,0.0,False,GPU,model,
21,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1455.0,+178/-102,0.239,27.43,22.51,21.153,1394.84,3.577,✔️,0.0,False,CPU,model,
22,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1453.0,+186/-97,0.228,27.57,22.3,21.232,1394.84,1.087,✔️,0.0,False,CPU,model,
23,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1447.0,+208/-213,0.353,28.0,21.07,22.821,10182.26,399.334,✔️,0.0,False,GPU,model,
24,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1398.0,+78/-49,0.151,31.71,30.4,21.669,2342.58,5.129,✔️,0.0,False,CPU,model,
25,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1395.0,+194/-161,0.236,32.0,21.09,24.358,5.65,0.269,➖,0.0,False,GPU,model,
26,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1393.0,+87/-68,0.159,32.14,30.28,21.396,2342.58,1.065,✔️,0.0,False,CPU,model,
27,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1391.0,+151/-173,0.238,32.29,18.21,24.383,17.34,0.728,✔️,0.0,False,GPU,model,
28,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1380.0,+257/-216,0.303,33.14,15.82,23.749,10182.26,40.103,✔️,0.0,False,GPU,model,
29,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1373.0,+307/-267,0.331,33.71,9.09,23.569,22.26,1.556,➖,0.0,False,GPU,model,
30,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1369.0,+219/-215,0.264,34.0,5.87,23.099,2149.3,0.146,✔️,0.0,False,GPU,model,
31,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1367.0,+161/-149,0.194,34.14,26.67,23.947,326.32,4.279,➖,0.0,False,GPU,model,
32,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1362.0,+108/-95,0.153,34.57,30.49,22.015,34015.19,986.352,✔️,0.0,False,GPU,model,
33,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1361.0,+130/-112,0.157,34.64,30.73,22.586,6995.99,9.551,✔️,0.0,False,GPU,model,
34,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1355.0,+149/-154,0.14,35.07,28.95,22.878,6995.99,0.583,✔️,0.0,False,GPU,model,
35,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1351.0,+219/-240,0.243,35.36,15.05,24.84,1042.39,1.873,✔️,0.0,False,CPU,model,
36,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1322.0,+124/-149,0.131,37.57,29.34,25.251,27727.7,0.31,✔️,0.0,False,CPU,model,
37,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1316.0,+108/-108,0.121,38.0,34.95,23.733,29.58,0.343,✔️,0.0,False,CPU,model,
38,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1299.0,+118/-174,0.076,39.29,33.49,25.586,2305.02,0.123,✔️,0.0,False,CPU,model,
39,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1295.0,+134/-156,0.145,39.57,34.39,23.292,34015.19,240.683,✔️,0.0,False,GPU,model,
40,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1295.0,+93/-158,0.055,39.57,36.86,25.614,2305.02,1.218,✔️,0.0,False,CPU,model,
41,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1293.0,+129/-146,0.129,39.71,35.77,25.42,3834.57,2.294,✔️,0.0,False,CPU,model,
42,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1289.0,+196/-258,0.224,40.0,27.69,25.449,731.23,2.021,✔️,0.0,False,CPU,model,
43,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1274.0,+267/-222,0.134,41.14,29.05,26.869,2750.22,13.569,✔️,0.0,False,CPU,model,
44,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1273.0,+233/-238,0.16,41.21,16.54,27.971,1042.39,0.294,✔️,0.0,False,CPU,model,
