method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,1735.7213389822807,2.5579539551959085,13.52683818099411,1505.0,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,289.07302181798457,4.030576938465613,8.817218366002173,1686.7,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,11.580510791672602,0.6082915781866469,7.7841533516631225,1773.2,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,14.475120726440634,0.818269879836389,7.1597060568756214,1821.2,1.0,False,0.0
BetaTabPFN,Foundation Model,205.88373934998089,1.3429487990891908,19.170501148184528,1284.4,1.0,True,25.49019607843137
CatBoost,Tree-based,5.876676442022475,0.02489617665608724,16.21446813159876,1369.8,1.0,False,0.0
CatBoost,Tree-based,11.667825125586923,0.06336535482356946,15.800712188862088,1389.3,2.0,False,0.0
CatBoost,Tree-based,31.910651762403862,0.11771650741480857,15.537176173708755,1406.1,5.0,False,0.0
CatBoost,Tree-based,62.57212517570079,0.1714353465164701,15.439123562399427,1410.7,10.0,False,0.0
CatBoost,Tree-based,155.90493556689327,0.22162205257045137,15.334758082894675,1415.8,25.0,False,0.0
CatBoost,Tree-based,317.34591689097914,0.2666794694644051,15.325151705087356,1416.2,50.0,False,0.0
CatBoost,Tree-based,662.4830210733933,0.31052760007315267,15.342010459251016,1415.0,100.0,False,0.0
CatBoost,Tree-based,998.8498259224127,0.340735055101516,15.361168613967568,1413.8,150.0,False,0.0
CatBoost,Tree-based,1346.210691180287,0.344857002822471,15.36779449802616,1412.7,201.0,False,0.0
ChimeraBoost,Tree-based,2.653780256788737,0.05158072382519021,17.947460500138185,1308.1,1.0,False,0.0
ChimeraBoost,Tree-based,5.298554896299811,0.08903779710332553,17.670617685456293,1322.7,2.0,False,0.0
ChimeraBoost,Tree-based,12.859152926775328,0.17506735926061492,17.494966985715248,1332.0,5.0,False,0.0
ChimeraBoost,Tree-based,25.612122803616078,0.24178719080975938,17.345761322425375,1340.8,10.0,False,0.0
ChimeraBoost,Tree-based,64.38503109144581,0.323209574023442,17.07495469967385,1354.8,25.0,False,0.0
ChimeraBoost,Tree-based,129.08068124494818,0.3824725804797817,16.926444405317163,1362.6,50.0,False,0.0
ChimeraBoost,Tree-based,258.0341342976716,0.4432263782307754,16.758416939390404,1371.2,100.0,False,0.0
ChimeraBoost,Tree-based,386.9186196798273,0.4502153007189433,16.685873172374706,1374.9,150.0,False,0.0
ChimeraBoost,Tree-based,518.4320707488994,0.4692529093322957,16.657458263230563,1376.7,201.0,False,0.0
EBM,Tree-based,6.673146850898109,0.014352864847965238,20.887950060298085,1198.9,1.0,False,0.0
EBM,Tree-based,16.576534345676816,0.030424724199585355,20.496542283623796,1211.9,2.0,False,0.0
EBM,Tree-based,47.738558903301914,0.052842477784541445,20.07675052476175,1230.9,5.0,False,0.0
EBM,Tree-based,89.41107246991604,0.0702878348384009,19.897641560727962,1239.2,10.0,False,0.0
EBM,Tree-based,218.44812470797967,0.09747169882795435,19.67255913817937,1248.4,25.0,False,0.0
EBM,Tree-based,440.25457359654257,0.11411218718429054,19.532912572140503,1255.6,50.0,False,0.0
EBM,Tree-based,856.7647171052814,0.12772155113709277,19.412488535403668,1261.4,100.0,False,0.0
EBM,Tree-based,1266.0910927829382,0.13762164045367722,19.36982632953462,1264.6,150.0,False,0.0
EBM,Tree-based,1711.2458519871225,0.1384442291079833,19.32849346730596,1267.2,201.0,False,0.0
EXAONE-Tabular,Foundation Model,5.787384942173958,0.6051184718374907,8.071553348140606,1784.8,1.0,False,0.0
ExtraTrees,Tree-based,1.8719729433204921,0.28340813208977944,26.715090289067977,1007.0,1.0,False,0.0
ExtraTrees,Tree-based,3.1259596547771116,0.299267558256785,24.89157111439833,1056.7,2.0,False,0.0
ExtraTrees,Tree-based,6.772191225672007,0.3233863551370985,22.261169958964025,1127.6,5.0,False,0.0
ExtraTrees,Tree-based,13.288092341970305,0.39167570468287294,21.350737281117958,1167.4,10.0,False,0.0
ExtraTrees,Tree-based,32.8419339595057,0.4883309222469785,20.708461699020994,1196.7,25.0,False,0.0
ExtraTrees,Tree-based,65.49386348647792,0.56779316986261,20.54870025784213,1206.1,50.0,False,0.0
ExtraTrees,Tree-based,130.83697151858863,0.6638268741052196,20.44175736860146,1212.4,100.0,False,0.0
ExtraTrees,Tree-based,196.22448049705483,0.7241674769499868,20.399490855817,1216.1,150.0,False,0.0
ExtraTrees,Tree-based,263.0379305178949,0.7662402324832739,20.40510409526293,1217.0,201.0,False,0.0
FastaiMLP,Neural Network,2.856149195889622,0.37317813888351864,26.26043375211968,1010.3,1.0,False,0.0
FastaiMLP,Neural Network,5.5343795003616165,0.6641420918672822,25.074279196454878,1045.8,2.0,False,0.0
FastaiMLP,Neural Network,14.55103442753632,1.1863927783450354,23.24841754082176,1110.9,5.0,False,0.0
FastaiMLP,Neural Network,29.7233431539627,1.7323440480232237,22.35128885541489,1143.3,10.0,False,0.0
FastaiMLP,Neural Network,72.5444980812019,2.392081415581216,21.46278447687712,1172.1,25.0,False,0.0
FastaiMLP,Neural Network,145.75437119097205,3.1392189600815126,21.013739839892565,1187.9,50.0,False,0.0
FastaiMLP,Neural Network,293.94750082788664,3.8048101374308265,20.677070827989873,1198.0,100.0,False,0.0
FastaiMLP,Neural Network,441.8525399102105,4.207369513432185,20.45880811463345,1205.7,150.0,False,0.0
FastaiMLP,Neural Network,593.237788402893,4.45581943154335,20.328416917884,1210.4,201.0,False,0.0
LightGBM,Tree-based,1.9600326879612946,0.14167879422505697,19.987235759775093,1183.5,1.0,False,0.0
LightGBM,Tree-based,4.146536889124949,0.6924533471949544,18.490182101233163,1255.4,2.0,False,0.0
