method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,6.554615218014945,28.95598153897587,4.9866679730624845,1791.3,False,0.0
TabFM,Default,Foundation Model,5.357838133261318,39.5720422516442,5.619831671063726,1739.4,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.9182143019884152,19.636142814080763,8.88003639462869,1738.4,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.5508149180823022,6.503274935875951,9.62171858370397,1709.9,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.6316488524089503,15.55898437499533,9.500846211706314,1692.2,False,0.0
TabPFN-3,Default,Foundation Model,0.4158216638576948,9.169929954447653,11.578409213935897,1617.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,6.557095510765397,346.58122676625936,10.091681184483772,1613.7,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.047594848219795,2289.3887157667205,12.00991783106132,1576.9,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5482886619733942,7.034289077293122,12.718261579672774,1575.6,False,0.0
TabICLv2,Default,Foundation Model,0.1520731744535504,3.9320097545321064,12.358555023097722,1555.7,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.1425914844543796,2289.3887157667205,12.71720912062716,1538.7,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.6362272807949252,6.7587899978217045,13.134897585839377,1524.2,False,0.0
RealMLP,Tuned + Ens.,Neural Network,21.902496279105236,3771.8540221067997,15.282008605968242,1458.0,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,48.588627102811344,3528.128959607702,15.485119671515665,1454.4,True,8.333333333333332
Mitra,Default,Foundation Model,3.0927295997183135,126.87396663943096,16.197204612710458,1435.5,True,8.333333333333332
TabDPT-Turbo,Default,Foundation Model,0.19227067519018423,4.691113094573359,16.0461293582009,1431.7,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,218.45336407352897,5119.776985103065,15.975224861726478,1431.3,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,2.5472400462460008,3716.5680935977457,16.283415938691657,1421.1,False,0.0
TabM,Tuned + Ens.,Neural Network,3.8381409685971137,2585.579863640918,16.375021205448345,1407.2,False,0.0
TabDPT,Tuned,Foundation Model,28.351340383207884,5119.776985103065,16.594784086474952,1400.2,False,0.0
LimiX,Default,Foundation Model,6.828482678301318,35.50961056314309,15.897349767334246,1392.5,False,0.0
RealMLP,Tuned,Neural Network,1.7776750936346917,3771.8540221067997,16.633510769798928,1382.2,False,0.0
TabPFNv2,Tuned,Foundation Model,0.8166246617857557,3528.128959607702,17.553907188986766,1370.7,True,8.333333333333332
LightGBM,Tuned + Ens.,Tree-based,2.5704534160747796,892.4854074789564,17.590455746800302,1370.2,False,0.0
TabM,Tuned,Neural Network,0.4361574183230644,2585.579863640918,17.245899699342832,1355.2,False,0.0
TabSwift,Default,Foundation Model,0.05791268987655686,2.756051243933877,17.903804574609197,1350.4,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.39602676030046535,1739.1690497297914,17.715933594331418,1350.2,False,0.0
iLTM,Tuned + Ens.,Foundation Model,841.445890748085,22811.744051243128,18.08281750944543,1345.6,False,0.0
CatBoost,Tuned,Tree-based,0.050853266781756806,1739.1690497297914,17.9505189675475,1338.2,False,0.0
LightGBM,Tuned,Tree-based,0.3458375857654502,892.4854074789564,18.0398866462704,1337.6,False,0.0
TabPFNv2,Default,Foundation Model,0.443006671229105,4.544388143196018,18.616170407402272,1332.1,True,8.333333333333332
TabDPT,Default,Foundation Model,43.707401035938005,50.32502415266903,18.67696122316591,1323.7,False,0.0
xRFM,Tuned + Ens.,Other,2.9395549707468733,1126.9686387245144,18.53587168555467,1319.3,False,0.0
TabICL,Default,Foundation Model,1.4691971112476048,7.146562521152578,19.273497597838176,1313.1,True,27.77777777777778
XGBoost,Tuned + Ens.,Tree-based,2.3674863948529943,884.4808277373293,18.57310782763669,1311.0,False,0.0
ModernNCA,Tuned,Neural Network,0.5053503954101921,6523.550336157642,18.69813332791291,1310.2,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.390322625318314,6523.550336157642,18.985798706881972,1310.2,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.2773508676992504,16.230459759105607,19.562362167087688,1309.4,False,0.0
CatBoost,Default,Tree-based,0.0455896073914258,8.462590335549091,18.838261119675092,1304.4,False,0.0
BetaTabPFN,Default,Foundation Model,1.8345788262882152,296.9945447700435,19.754225184666907,1300.8,True,22.22222222222222
XGBoost,Tuned,Tree-based,0.3929683730676072,884.4808277373293,18.782822855103813,1294.0,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.45315875407514583,1336.026360264314,19.58079343935103,1291.9,False,0.0
TabM,Default,Neural Network,0.4449377919636944,9.936009218949234,18.90954073152442,1283.0,False,0.0
xRFM,Tuned,Other,0.16324468073957168,1126.9686387245144,19.552980087982665,1274.5,False,0.0
ChimeraBoost,Tuned,Tree-based,0.05026638887062679,1336.026360264314,19.968796810191485,1270.8,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.1570271396274556,3865.9507169384297,19.76894303372977,1247.7,False,0.0
EBM,Tuned + Ens.,Tree-based,0.15296939610611437,2499.3997394448907,20.56121488429554,1247.5,False,0.0
iLTM,Tuned,Foundation Model,161.22064740025013,22811.744051243128,19.88747040902286,1246.9,False,0.0
ChimeraBoost,Default,Tree-based,0.05166768540156222,6.780963985515493,20.906540067567235,1235.1,False,0.0
ModernNCA,Default,Neural Network,0.32060068900263267,16.279623910227823,21.825795224230603,1230.2,False,0.0
EBM,Tuned,Tree-based,0.017293833845938654,2499.3997394448907,21.108101462237443,1220.8,False,0.0
RealMLP,Default,Neural Network,4.688867646313849,15.69323516601608,20.65823081248418,1212.3,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.501127939369875,822.5846846042664,22.21996247403207,1207.7,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,8.068837476686,1679.3959423676156,21.337479550085035,1207.0,False,0.0
