,TabFM+,TabFM (default),"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)",TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabICLv2 (default),TabPFNv2 (T+E),RealMLP (T+E),TabDPT-Turbo (default),TabDPT (T+E),Mitra (default),"AutoGluon 1.4 (best, 4h)",LimiX (default),TabM (T+E),LightGBM (T+E),TabSwift (default),CatBoost (T+E),iLTM (T+E),TabICL (default),SAP-RPT-OSS (default),xRFM (T+E),ModernNCA (T+E),BetaTabPFN (default),XGBoost (T+E),ChimeraBoost (T+E),EBM (T+E),TorchMLP (T+E),ExtraTrees (T+E),FastaiMLP (T+E),Nori-30M (default),TabSTAR (T+E),Nori (default),RandomForest (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default),KNN (T+E),Linear (T+E)
TabFM+,,0.5890434,0.7141976,0.7435186,0.73148155,0.8436728,0.80509263,0.85061735,0.8506173,0.8473766,0.92129636,0.91172844,0.89537036,0.9067901,0.905247,0.93580246,0.93055564,0.91188264,0.92561734,0.90956795,0.95061725,0.93580246,0.9432099,0.8929013,0.9250001,0.9425926,0.9058642,0.9608025,0.9438272,0.93395066,0.96327156,0.9342593,0.94907403,0.9151234,0.87808645,0.9564814,0.9564815,0.971605,0.97746915,0.96543205,0.9648147,0.9712963
TabFM (default),0.41095674,,0.625,0.7108026,0.67654324,0.78888893,0.7651234,0.80077165,0.79043204,0.8200618,0.8864198,0.86111116,0.87932104,0.8793209,0.89444447,0.90833336,0.9023149,0.87808645,0.90925926,0.8700617,0.92438275,0.9037037,0.9503087,0.8777778,0.9166667,0.905247,0.8918209,0.9287037,0.9154322,0.90864205,0.9333333,0.9333334,0.9151234,0.8830247,0.8595679,0.9339507,0.95061725,0.9472222,0.9854938,0.95185184,0.9567901,0.9703704
"AutoGluon 1.6 (noncommercial, 4h)",0.28580245,0.375,,0.5692902,0.6726851,0.7228396,0.7103395,0.75987655,0.7759259,0.753395,0.84521604,0.8487655,0.8728395,0.9004631,0.8604939,0.9092594,0.8632716,0.88518524,0.95092595,0.91049385,0.94320995,0.94459873,0.940432,0.8507716,0.9240742,0.9049383,0.89660496,0.9595678,0.9589506,0.945679,0.9723765,0.9432099,0.94228405,0.9342593,0.86820984,0.96790123,0.9444444,0.96111107,0.97499996,0.9691358,0.9709876,0.96203697
EXAONE-Tabular (default),0.25648144,0.28919753,0.43070987,,0.507716,0.63703704,0.65030867,0.7561729,0.77438277,0.67314816,0.84089506,0.86234576,0.8111111,0.7952161,0.8570988,0.89567906,0.88302475,0.89475316,0.90864205,0.8657408,0.95216054,0.9126542,0.89382714,0.8950618,0.92592597,0.92345685,0.91141963,0.94938266,0.962963,0.9438271,0.9598766,0.93796283,0.9422839,0.8731481,0.86820984,0.91049373,0.9651235,0.953395,0.97839516,0.94876546,0.9712962,0.9638888
"AutoGluon 1.6 (extreme, 4h)",0.26851848,0.32345676,0.32731476,0.49228397,,0.61404306,0.6404321,0.65246916,0.70401233,0.7012346,0.79459876,0.83148146,0.85555565,0.88395065,0.8188272,0.87808645,0.8256173,0.8527778,0.9257716,0.904321,0.9126542,0.92499995,0.91388893,0.8407408,0.91481483,0.8811729,0.86234576,0.93395066,0.9407408,0.93796295,0.95293206,0.9330247,0.94768524,0.9287037,0.86790127,0.9679011,0.9425926,0.96574074,0.96790123,0.96913594,0.9728395,0.9638889
TabPFN-3 (default),0.15632717,0.21111113,0.2771605,0.362963,0.38595682,,0.5268518,0.5756173,0.57345676,0.57253087,0.7404321,0.76358014,0.7641975,0.75802463,0.7768519,0.7475308,0.7564814,0.7891976,0.83858037,0.8771605,0.8521605,0.8635802,0.8748457,0.8074074,0.87932104,0.8524691,0.8266976,0.88287044,0.89166665,0.88487655,0.9182099,0.9277778,0.89274704,0.865432,0.86234576,0.8842592,0.9259258,0.95401233,0.953395,0.96018517,0.9472222,0.9555556
"AutoGluon 1.5 (extreme, 4h)",0.19490741,0.23487656,0.2896605,0.3496914,0.3595679,0.47314814,,0.55,0.6166667,0.5219136,0.6728395,0.80817914,0.7191359,0.759568,0.7270062,0.8339507,0.7518518,0.8453704,0.87716055,0.8351852,0.87129635,0.8972223,0.8541666,0.7861112,0.8799383,0.8898148,0.82160497,0.904321,0.9024692,0.89814824,0.929321,0.90802467,0.9037037,0.83117276,0.841358,0.8558641,0.92932105,0.9498456,0.96141976,0.94753087,0.9552469,0.9453704
RealTabPFN-2.5 (T+E),0.14938273,0.19922839,0.24012345,0.24382716,0.34753087,0.42438275,0.45000002,,0.5253086,0.5268519,0.7141976,0.72777784,0.6626543,0.6614197,0.73179007,0.7743827,0.7533952,0.7876543,0.8271606,0.76327163,0.8429013,0.822068,0.77978396,0.7905864,0.83117276,0.8154321,0.83240736,0.8783951,0.8896604,0.8814816,0.90648144,0.8432099,0.89891964,0.8058642,0.8388889,0.83487654,0.89567894,0.9320988,0.9638888,0.9342592,0.9287037,0.95061725
TabPFN-2.6 (default),0.14938273,0.20956792,0.2240741,0.22561727,0.29598758,0.42654324,0.38333333,0.4746914,,0.47067901,0.6521605,0.7364198,0.675,0.66635805,0.73364204,0.7703704,0.74197537,0.7817901,0.8166667,0.7858025,0.86604947,0.85925925,0.8092593,0.79660493,0.84753084,0.8824074,0.80740744,0.880247,0.89012337,0.8753087,0.8932099,0.9021604,0.875926,0.804321,0.84722215,0.82716054,0.917284,0.9191358,0.9503087,0.945679,0.95061725,0.9419753
TabICLv2 (default),0.15262346,0.17993829,0.24660492,0.3268518,0.2987654,0.42746916,0.4780864,0.47314808,0.529321,,0.67067903,0.721605,0.70524687,0.72268516,0.7143519,0.76666665,0.7266975,0.7632717,0.7901235,0.804321,0.8095679,0.8209876,0.8405865,0.7608025,0.81882733,0.81018525,0.7996914,0.82962966,0.82901245,0.8515432,0.86419755,0.85015434,0.85864204,0.8064815,0.8373457,0.82098764,0.8910495,0.9108024,0.9287037,0.9151234,0.945679,0.9598765
TabPFNv2 (T+E),0.0787037,0.11358026,0.15478393,0.15910496,0.20540126,0.2595679,0.32716054,0.28580242,0.3478395,0.329321,,0.5695988,0.55339503,0.5314815,0.55185187,0.62129635,0.56327164,0.6589506,0.6677469,0.64074075,0.6712963,0.67808646,0.6484568,0.66249996,0.737037,0.7302469,0.7513889,0.7282407,0.77376544,0.79706794,0.7682099,0.78996915,0.79058635,0.7246914,0.7799382,0.74876547,0.85030866,0.8212963,0.87037045,0.8638889,0.92407405,0.92839503
