method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,5.431932250658671,36.24491429754666,5.350173624233657,1751.4,False,0.0
TabFM+,Baseline,System,6.622192939122518,27.528124154179554,5.447074158047836,1742.3,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.6737564404805502,12.376532773607408,9.868346177066105,1707.2,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.43607541524486676,5.271826472179165,11.84177951506599,1681.5,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.48477174764011,7.440316797718832,10.5320272097953,1654.8,False,0.0
TabPFN-3,Default,Foundation Model,0.3744839930077728,3.84587629730259,13.270790609415153,1637.3,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,6.655358676200014,368.18769558787466,10.972347803608704,1583.1,False,0.0
TabICLv2,Default,Foundation Model,0.15222672472663104,2.088316620786023,13.533072946986696,1571.4,False,0.0
TabPFN-2.6,Default,Foundation Model,0.4326735826958353,5.482579877802832,14.599059771874707,1559.7,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5540470708890218,5.962145398916137,15.163188257394886,1550.5,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.252025413513184,2052.2840837184044,14.666442883034911,1548.8,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.2654117447919029,2052.2840837184044,15.24616800088688,1525.4,False,0.0
Mitra,Default,Foundation Model,3.7558219649574975,143.1617088460674,16.929400385671677,1467.0,True,4.761904761904762
TabPFNv2,Tuned + Ens.,Foundation Model,45.82936051460243,3422.3190042951023,17.237569672260218,1448.3,True,4.761904761904762
LimiX,Default,Foundation Model,4.462784518646911,19.824824253007126,17.121450726396617,1436.4,False,0.0
TabICL,Default,Foundation Model,1.7059832513332367,7.781949517713424,17.087153901914057,1434.0,True,4.761904761904762
TabDPT-Turbo,Default,Foundation Model,0.11417163213094075,2.2957537094751994,17.277558667684264,1431.4,False,0.0
RealMLP,Tuned + Ens.,Neural Network,15.588518142700195,2950.724447694827,18.382440536978933,1410.3,False,0.0
TabM,Tuned + Ens.,Neural Network,2.70855267121191,2289.9106349320264,18.503912213086938,1399.4,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,1.7174613672636363,1921.632411025435,18.268291484310318,1393.9,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,268.5791952446735,5351.934348066203,17.688569383153034,1385.3,False,0.0
TabPFNv2,Tuned,Foundation Model,0.9822813165446185,3422.3190042951023,19.519838580236804,1379.7,True,4.761904761904762
BetaTabPFN,Default,Foundation Model,1.9820731121689172,317.92182453076043,19.656764670494972,1376.9,False,0.0
TabSwift,Default,Foundation Model,0.051998686889031635,1.2303610878757132,19.127173695157794,1365.6,False,0.0
TabDPT,Tuned,Foundation Model,37.60604917208354,5351.934348066203,18.260076012986065,1357.2,False,0.0
TabM,Tuned,Neural Network,0.2655194186451044,2289.9106349320264,19.369950825695582,1351.1,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.1797709941864014,512.6694116522284,19.587542426240567,1349.7,False,0.0
TabPFNv2,Default,Foundation Model,0.42078975041707356,4.047361085812251,20.58606061214453,1343.5,True,4.761904761904762
iLTM,Tuned + Ens.,Foundation Model,543.2330416202544,15277.755542325975,19.89574719549416,1320.5,False,0.0
LightGBM,Tuned,Tree-based,0.2429152386529105,512.6694116522284,20.006051321703197,1320.5,False,0.0
RealMLP,Tuned,Neural Network,1.2247970898946126,2950.724447694827,20.045982806811445,1320.1,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.3119174080590407,1260.8478030837418,20.402172109851303,1308.7,False,0.0
ModernNCA,Tuned,Neural Network,0.512240264336491,4806.038482271206,20.43431544459092,1305.7,False,0.0
CatBoost,Default,Tree-based,0.02489617665608724,3.834851186095869,20.496893288925218,1304.8,False,0.0
CatBoost,Tuned,Tree-based,0.030745193362236023,1260.8478030837418,20.50723268554949,1304.1,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.7629525796904568,9.052477944903623,22.168246222233794,1296.8,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4096864377810714,669.2629560311636,21.273530127675546,1295.9,False,0.0
TabDPT,Default,Foundation Model,43.61099742707752,51.829775869722866,20.513555023483207,1287.7,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.3974981595857223,693.4907982506384,20.91603658202264,1278.1,False,0.0
