#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1863.0,+258/-135,0.887,6.79,2.11,8.412,22.24,8.699,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1810.0,+169/-76,0.773,8.49,4.03,9.808,8.14,0.672,✔️,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1778.0,+223/-89,0.724,9.68,3.93,12.487,24.35,0.889,✔️,0.0,False,GPU,system,
3,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1735.0,+215/-94,0.69,11.48,5.82,13.487,17.38,0.633,✔️,0.0,False,GPU,system,
4,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1720.0,+172/-72,0.642,12.14,7.84,12.951,251.72,2.753,✔️,0.0,False,GPU,system,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1707.0,+166/-77,0.642,12.79,7.65,13.457,2710.49,1.346,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1705.0,+212/-117,0.64,12.85,6.53,12.419,2710.49,8.095,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1686.0,+333/-220,0.744,13.79,2.9,9.893,55.13,7.685,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1622.0,+179/-96,0.544,17.36,12.77,15.724,9.94,0.613,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1582.0,+197/-141,0.499,19.87,9.68,14.539,11.66,0.489,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1581.0,+192/-127,0.486,19.94,9.93,15.072,10.23,0.844,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1557.0,+203/-128,0.463,21.53,7.93,14.937,44.33,7.062,➖,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1548.0,+214/-170,0.469,22.13,11.45,16.886,5.64,0.197,✔️,0.0,False,GPU,model,
13,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1513.0,+167/-87,0.312,24.64,14.36,18.793,6219.75,3.78,✔️,0.0,False,CPU,system,
14,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1497.0,+159/-111,0.369,25.77,13.78,18.396,4150.82,19.128,✔️,0.0,False,GPU,model,
15,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1484.0,+258/-216,0.438,26.76,11.43,21.731,2590.72,10.803,✔️,25.0,True,GPU,model,
16,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1472.0,+123/-92,0.349,27.7,16.43,19.252,4150.82,3.42,✔️,0.0,False,GPU,model,
17,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1452.0,+125/-99,0.313,29.3,17.26,21.168,3881.83,4.213,✔️,0.0,False,GPU,model,
18,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1444.0,+100/-68,0.251,29.91,24.48,20.579,1377.48,5.201,✔️,0.0,False,CPU,model,
19,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [25.00% IMPUTED],1438.0,+199/-168,0.342,30.37,17.81,23.15,161.66,3.703,✔️,25.0,True,GPU,model,
20,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1437.0,+56/-35,0.246,30.5,27.22,19.981,2635.98,1.181,✔️,0.0,False,CPU,model,
21,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1433.0,+94/-64,0.232,30.79,25.46,20.805,1377.48,1.259,✔️,0.0,False,CPU,model,
22,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1420.0,+195/-125,0.267,31.93,15.22,22.203,5.46,0.271,➖,0.0,False,GPU,model,
23,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1415.0,+176/-129,0.292,32.33,18.49,23.155,4635.17,212.235,✔️,0.0,False,GPU,model,
24,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1415.0,+60/-47,0.2,32.34,28.05,20.593,2635.98,0.173,✔️,0.0,False,CPU,model,
25,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1414.0,+118/-90,0.267,32.39,19.48,21.897,3881.83,0.698,✔️,0.0,False,GPU,model,
26,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1411.0,+198/-171,0.307,32.67,15.38,23.368,2590.72,0.54,✔️,25.0,True,GPU,model,
27,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1396.0,+82/-68,0.176,33.99,27.04,21.257,2210.17,0.974,✔️,0.0,False,CPU,model,
28,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1395.0,+162/-140,0.266,34.06,20.46,23.121,6.47,0.363,✔️,25.0,True,GPU,model,
29,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1390.0,+81/-68,0.171,34.45,28.04,21.341,2210.17,3.984,✔️,0.0,False,CPU,model,
30,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1387.0,+86/-71,0.136,34.77,27.04,21.211,7128.67,9.211,✔️,0.0,False,GPU,model,
31,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1384.0,+86/-66,0.156,35.03,16.74,21.421,7128.67,0.776,✔️,0.0,False,GPU,model,
32,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1375.0,+94/-84,0.136,35.75,30.71,21.872,28234.45,841.446,✔️,0.0,False,GPU,model,
33,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1370.0,+186/-139,0.262,36.16,20.83,24.417,4635.17,34.761,✔️,0.0,False,GPU,model,
