#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",9622.0,+0/-0,1.0,1.0,1.0,0.0,14.01,0.535,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),8805.0,+0/-0,0.951,2.11,2.08,1.415,3.93,3.165,➖,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",8329.0,+0/-0,0.917,3.11,3.0,2.429,12.75,0.568,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),7965.0,+0/-0,0.856,4.22,4.03,4.11,0.91,0.272,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",7783.0,+0/-0,0.813,4.89,4.78,5.287,257.86,1.392,✔️,0.0,False,GPU,system,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),7520.0,+0/-0,0.784,5.78,5.71,6.056,133.98,8.253,✔️,0.0,False,GPU,model,
6,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",6691.0,+0/-0,0.723,8.0,7.68,7.639,276.88,4.662,✔️,0.0,False,CPU,system,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),6637.0,+0/-0,0.696,8.33,8.23,8.317,133.98,2.816,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),6437.0,+0/-0,0.636,9.89,9.41,9.803,1.6,0.591,✔️,0.0,False,GPU,model,
9,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),6328.0,+0/-0,0.638,10.89,10.59,9.762,79.1,0.644,✔️,0.0,False,CPU,model,
10,📊,System,[TabFM+](https://github.com/google-research/tabfm),6281.0,+0/-0,0.609,11.33,10.99,10.444,4.97,18.906,✔️,0.0,False,GPU,system,
11,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),6269.0,+0/-0,0.625,11.44,11.19,10.079,79.1,0.045,✔️,0.0,False,CPU,model,
12,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),6208.0,+0/-0,0.619,12.0,11.8,10.187,1.83,0.517,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),6182.0,+0/-0,0.571,12.22,11.68,11.328,35.54,17.701,✔️,0.0,False,GPU,model,
14,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),5499.0,+0/-0,0.478,15.11,15.06,13.498,0.33,0.034,✔️,0.0,False,CPU,model,
15,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),5105.0,+0/-0,0.456,16.56,16.43,13.983,0.48,0.143,✔️,0.0,False,GPU,model,
16,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),4798.0,+0/-0,0.408,19.0,18.76,15.045,61.95,0.17,✔️,0.0,False,CPU,model,
17,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),4798.0,+0/-0,0.408,19.0,18.75,15.011,6148.01,0.15,✔️,0.0,False,CPU,model,
