,EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)","AutoGluon 1.5 (extreme, 4h)","AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.4 (best, 4h)",TabFM+,TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),ChimeraBoost (T+E),ModernNCA (T+E),iLTM (T+E),XGBoost (T+E),RealTabPFN-2.5 (T+E),RealMLP (T+E),TabM (T+E),CatBoost (T+E),LightGBM (T+E),TabICL (default),TabSwift (default),TorchMLP (T+E),xRFM (T+E),TabDPT-Turbo (default),EBM (T+E),TabDPT (T+E),FastaiMLP (T+E),BetaTabPFN (default),RandomForest (T+E),LimiX (default),SAP-RPT-OSS (default),ExtraTrees (T+E),TabSTAR (T+E),Linear (T+E),KNN (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default)
EXAONE-Tabular (default),,0.7777778,0.7777778,0.7777778,0.8888889,0.6666667,0.6666667,0.8888889,1.0,0.8888889,0.8888889,0.8888889,1.0,1.0,1.0,0.8888889,1.0,0.8888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.22222222,,0.7777778,0.9444444,0.7777778,0.6666667,0.6666667,0.7777778,0.8888889,0.8888889,0.8888889,0.8888889,0.8888889,1.0,0.8888889,1.0,1.0,0.8888889,0.8888889,0.8888889,0.8888889,1.0,1.0,0.8888889,1.0,1.0,1.0,1.0,1.0,0.8888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.5 (extreme, 4h)",0.22222222,0.22222222,,0.33333334,0.5555556,0.5555556,0.44444445,0.44444445,0.6666667,0.6666667,1.0,1.0,1.0,1.0,1.0,1.0,0.8888889,1.0,1.0,0.8888889,0.8888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (extreme, 4h)",0.22222222,0.055555556,0.6666667,,0.5555556,0.5555556,0.5555556,0.6666667,0.8888889,0.8888889,0.8888889,0.8888889,0.8888889,0.8888889,0.8888889,0.8888889,1.0,0.8888889,0.8888889,0.8888889,0.8888889,1.0,1.0,0.8888889,1.0,1.0,1.0,1.0,1.0,0.8888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.4 (best, 4h)",0.11111111,0.22222222,0.44444445,0.44444445,,0.5555556,0.5555556,0.5555556,0.7777778,0.6666667,0.7777778,0.6666667,1.0,1.0,0.7777778,1.0,0.7777778,1.0,0.8888889,0.8888889,1.0,1.0,1.0,0.8888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TabFM+,0.33333334,0.33333334,0.44444445,0.44444445,0.44444445,,0.5555556,0.6666667,0.8888889,0.8888889,0.7777778,0.7777778,0.6666667,0.7777778,0.8888889,0.8888889,1.0,0.7777778,0.8888889,0.8888889,0.7777778,0.8888889,0.7777778,0.8888889,1.0,1.0,0.8888889,1.0,1.0,0.8888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.33333334,0.33333334,0.5555556,0.44444445,0.44444445,0.44444445,,0.7777778,0.8888889,0.7777778,0.6666667,0.7777778,0.6666667,0.7777778,0.8888889,0.7777778,1.0,0.7777778,0.8888889,0.7777778,0.7777778,0.8888889,0.8888889,1.0,1.0,0.8888889,0.8888889,1.0,1.0,0.8888889,0.8888889,1.0,1.0,1.0,0.8888889,1.0,1.0,1.0
TabPFN-3 (default),0.11111111,0.22222222,0.5555556,0.33333334,0.44444445,0.33333334,0.22222222,,0.5555556,0.6666667,0.7777778,0.8888889,0.6666667,0.6666667,0.6666667,0.6666667,0.7777778,0.6666667,0.7777778,0.7777778,0.8888889,0.6666667,0.7777778,1.0,0.8888889,0.8888889,0.8888889,1.0,0.8888889,0.8888889,0.8888889,0.8888889,1.0,0.8888889,0.8888889,1.0,1.0,1.0
TabPFN-2.6 (default),0.0,0.11111111,0.33333334,0.11111111,0.22222222,0.11111111,0.11111111,0.44444445,,0.6666667,0.6666667,0.7777778,0.5555556,0.44444445,0.6666667,0.7777778,0.7777778,0.6666667,0.8888889,0.8888889,0.7777778,0.7777778,0.6666667,1.0,1.0,1.0,0.8888889,0.8888889,1.0,0.8888889,0.8888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TabICLv2 (default),0.11111111,0.11111111,0.33333334,0.11111111,0.33333334,0.11111111,0.22222222,0.33333334,0.33333334,,0.5555556,0.6666667,0.6666667,0.6666667,0.7777778,0.5555556,0.5555556,0.6666667,0.7777778,0.7777778,0.7777778,0.7777778,0.6666667,1.0,0.7777778,0.8888889,0.8888889,1.0,1.0,0.8888889,0.8888889,1.0,1.0,0.8888889,1.0,1.0,1.0,1.0
