#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1844.0,+100/-83,0.863,6.7,2.32,4.648,20.04,7.629,✔️,0.0,False,GPU,system,
1,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1827.0,+99/-61,0.786,7.19,3.49,7.125,14.48,0.818,✔️,0.0,False,GPU,system,
2,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1800.0,+108/-106,0.837,7.99,2.53,4.981,38.81,6.985,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1782.0,+76/-59,0.765,8.57,4.05,8.037,5.79,0.605,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1774.0,+92/-58,0.736,8.84,4.69,7.749,11.58,0.608,✔️,0.0,False,GPU,system,
5,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1686.0,+74/-65,0.608,12.31,6.43,8.783,289.07,4.031,✔️,0.0,False,GPU,system,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1664.0,+77/-56,0.619,13.28,6.7,10.128,3.66,0.399,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1612.0,+66/-46,0.531,15.88,10.59,11.493,5.48,0.555,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1593.0,+68/-57,0.56,16.89,7.74,10.954,2.05,0.151,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1592.0,+67/-52,0.501,16.96,9.55,11.21,2040.22,8.908,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1554.0,+59/-53,0.459,19.17,10.32,11.887,2040.22,1.218,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1524.0,+57/-43,0.429,21.03,13.39,12.441,5.81,0.645,✔️,0.0,False,GPU,model,
12,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1511.0,+50/-45,0.346,21.86,13.02,13.493,1735.72,2.558,✔️,0.0,False,CPU,system,
13,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1505.0,+51/-43,0.355,22.23,15.03,13.614,2950.72,11.975,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1459.0,+52/-46,0.335,25.39,13.39,14.691,2.07,0.182,➖,0.0,False,GPU,model,
15,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1458.0,+59/-50,0.334,25.45,11.25,14.499,4910.38,286.537,✔️,0.0,False,GPU,model,
16,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1448.0,+48/-40,0.273,26.15,16.04,14.775,2450.13,2.247,✔️,0.0,False,GPU,model,
17,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1429.0,+29/-28,0.209,27.57,22.02,15.699,417.05,2.639,✔️,0.0,False,CPU,model,
18,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1426.0,+45/-47,0.246,27.76,17.8,14.905,2950.72,0.663,✔️,0.0,False,GPU,model,
19,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1418.0,+35/-36,0.21,28.32,20.06,15.339,1346.21,0.344,✔️,0.0,False,CPU,model,
20,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1406.0,+33/-40,0.195,29.27,20.75,15.563,1346.21,0.038,✔️,0.0,False,CPU,model,
21,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1404.0,+51/-55,0.285,29.41,15.34,15.615,4910.38,39.96,✔️,0.0,False,GPU,model,
22,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1402.0,+41/-39,0.195,29.55,22.05,15.971,12685.08,464.37,✔️,0.0,False,GPU,model,
23,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1393.0,+46/-40,0.21,30.22,17.95,15.632,2450.13,0.251,✔️,0.0,False,GPU,model,
24,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1388.0,+72/-52,0.239,30.61,16.09,16.282,4621.67,8.138,✔️,0.0,False,GPU,model,
25,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1382.0,+26/-26,0.148,31.01,25.57,16.348,417.05,0.334,✔️,0.0,False,CPU,model,
26,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1380.0,+47/-55,0.202,31.17,15.53,16.627,518.43,0.469,✔️,0.0,False,CPU,model,
27,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1376.0,+40/-41,0.177,31.52,20.77,16.183,5.88,0.025,✔️,0.0,False,CPU,model,
28,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1372.0,+31/-30,0.153,31.82,24.91,16.421,693.49,1.689,✔️,0.0,False,CPU,model,
29,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1366.0,+75/-58,0.271,32.31,14.03,16.213,26.46,6.242,➖,0.0,False,GPU,model,
30,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1355.0,+36/-36,0.157,33.15,20.26,16.688,4621.67,0.475,✔️,0.0,False,GPU,model,
31,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1351.0,+46/-54,0.169,33.45,18.96,17.08,518.43,0.05,✔️,0.0,False,CPU,model,
32,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1351.0,+59/-51,0.217,33.46,22.0,16.756,1.18,0.072,➖,0.0,False,GPU,model,
33,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1349.0,+50/-42,0.172,33.56,22.82,16.958,846.89,2.549,✔️,0.0,False,GPU,model,
34,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1347.0,+29/-30,0.12,33.73,27.27,16.731,693.49,0.308,✔️,0.0,False,CPU,model,
35,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1327.0,+61/-58,0.22,35.28,18.59,17.854,47.65,43.738,✔️,0.0,False,GPU,model,
36,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1314.0,+43/-61,0.144,36.35,23.21,17.917,2.65,0.052,✔️,0.0,False,CPU,model,
37,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1302.0,+42/-41,0.128,37.29,25.87,18.101,846.89,0.13,✔️,0.0,False,GPU,model,
