#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1873.0,+271/-142,0.883,6.59,2.08,8.41,22.24,8.699,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1826.0,+178/-79,0.775,8.01,3.96,9.806,8.14,0.672,✔️,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1802.0,+234/-89,0.728,8.83,3.83,12.484,24.35,0.889,✔️,0.0,False,GPU,system,
3,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1758.0,+225/-95,0.694,10.46,5.6,13.485,17.38,0.633,✔️,0.0,False,GPU,system,
4,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1741.0,+186/-75,0.646,11.16,7.39,12.949,251.72,2.753,✔️,0.0,False,GPU,system,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1723.0,+174/-81,0.644,11.94,7.15,13.455,2710.49,1.346,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1719.0,+228/-122,0.64,12.1,6.16,12.417,2710.49,8.095,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1691.0,+368/-230,0.745,13.42,2.87,9.891,55.13,7.685,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1638.0,+187/-101,0.543,16.13,11.59,15.722,9.94,0.613,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1596.0,+215/-147,0.506,18.52,9.27,14.537,11.66,0.489,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1590.0,+204/-131,0.491,18.85,9.31,15.07,10.23,0.844,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1576.0,+224/-139,0.473,19.74,7.55,14.935,44.33,7.062,➖,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1556.0,+230/-184,0.475,20.94,10.87,16.884,5.64,0.197,✔️,0.0,False,GPU,model,
13,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1534.0,+179/-95,0.32,22.39,13.46,18.791,6219.75,3.78,✔️,0.0,False,CPU,system,
14,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1516.0,+166/-121,0.379,23.57,12.84,18.394,4150.82,19.128,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1492.0,+130/-95,0.352,25.17,15.11,19.25,4150.82,3.42,✔️,0.0,False,GPU,model,
