,TabFM+,EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)","AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabFM (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabPFN-3 (default),LimiX (default),TabICLv2 (default),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),TabM (T+E),TabDPT-Turbo (default),LightGBM (T+E),TabDPT (T+E),CatBoost (T+E),SAP-RPT-OSS (default),xRFM (T+E),BetaTabPFN (default),XGBoost (T+E),ModernNCA (T+E),iLTM (T+E),ExtraTrees (T+E),EBM (T+E),RandomForest (T+E),ChimeraBoost (T+E),TorchMLP (T+E),TabSwift (default),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
TabFM+,,0.64027774,0.70416665,0.7083334,0.70555556,0.7486111,0.7472222,0.8819445,0.8361111,0.8138889,0.95694447,0.83055556,0.94027776,0.9111111,0.9666667,0.91805553,0.925,0.9777778,0.9166667,0.9,0.95416665,0.9777778,0.9791667,0.9638889,0.8666667,0.9597222,0.8763889,0.9166666,0.9736111,0.9777778,0.98194444,0.9402778,0.98194444,0.9916667,0.99583334,0.9875,1.0
EXAONE-Tabular (default),0.35972223,,0.49861112,0.5486111,0.5958333,0.48194444,0.6958333,0.7944445,0.72499996,0.7763889,0.77500004,0.83472216,0.9222222,0.9263889,0.87083334,0.9222222,0.8152778,0.9916667,0.8833333,0.9083333,0.93611115,0.9875,0.97083336,0.975,0.87222224,0.9875,0.9083333,0.9444444,0.9875,0.99583334,0.9583333,0.95,0.99583334,0.99583334,1.0,0.9916667,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.29583335,0.5013889,,0.6513889,0.6013889,0.39027777,0.58055556,0.8208333,0.8458333,0.81527776,0.8208333,0.91249996,0.78194445,0.82916665,0.94166666,0.98333335,0.9055556,0.95416665,0.73611116,0.86249995,0.91805553,0.94166666,0.94166666,0.98333335,0.85555553,0.9708333,0.86527777,1.0,0.9791667,0.9916667,0.93749994,0.95416665,0.99583334,0.98333335,0.99583334,0.98333335,1.0
"AutoGluon 1.6 (extreme, 4h)",0.2916667,0.4513889,0.34861112,,0.5819444,0.38611114,0.5430556,0.7888889,0.7430556,0.69722223,0.76944447,0.875,0.7652778,0.8125,0.90416664,0.97083336,0.8763889,0.9125,0.73611116,0.8375,0.89305556,0.9125,0.9166667,0.9791667,0.81805557,0.9375,0.8527778,1.0,0.96250004,0.98333335,0.9291666,0.95416665,0.99583334,0.9708333,0.99583334,0.975,1.0
"AutoGluon 1.5 (extreme, 4h)",0.29444447,0.40416667,0.3986111,0.41805553,,0.3638889,0.48472226,0.70555556,0.6347222,0.6972222,0.6597222,0.8069445,0.80972224,0.8388889,0.8375,0.90277773,0.86805546,0.9291667,0.7222222,0.9027778,0.84305555,0.9125,0.9166667,0.9458333,0.85,0.95000005,0.8736111,0.9777778,0.9416666,0.9916667,0.8819444,0.9583334,0.99583334,0.99583334,0.98333335,0.99583334,1.0
TabFM (default),0.2513889,0.51805556,0.60972226,0.6138889,0.63611114,,0.57500005,0.70416665,0.6958333,0.67222226,0.88472223,0.76944447,0.7513889,0.7861111,0.8416667,0.825,0.85,0.8541667,0.8111111,0.8625,0.8486111,0.83194447,0.8625,0.8527778,0.8666667,0.84444445,0.8541667,0.80138886,0.85694444,0.8625,0.8208333,0.87083334,0.87083334,0.88055557,0.99583334,0.99583334,0.9305556
RealTabPFN-2.5 (T+E),0.25277779,0.30416667,0.41944444,0.45694444,0.5152778,0.425,,0.70277786,0.6305555,0.69722223,0.7430556,0.78194445,0.81805557,0.79722226,0.7986111,0.84583336,0.75138897,0.93333334,0.80277777,0.8375,0.8777778,0.95,0.9125,0.9097222,0.81666666,0.9097222,0.8333334,0.92777777,0.93333334,0.9736111,0.9291666,0.88611114,0.99583334,0.9916667,0.99583334,0.9916667,1.0
TabPFN-2.6 (default),0.11805556,0.20555554,0.17916667,0.21111113,0.29444447,0.29583332,0.29722226,,0.5416666,0.59027773,0.5305556,0.5972222,0.74583334,0.71805555,0.8,0.7916667,0.6930555,0.83055556,0.7,0.7833333,0.8125,0.92777777,0.9125,0.93472224,0.81666666,0.85833335,0.8041667,0.83055556,0.9305556,0.9319445,0.92777777,0.9125,0.99583334,0.9791666,0.9875,0.9791666,1.0
TabPFN-3 (default),0.1638889,0.27499998,0.15416667,0.25694445,0.36527777,0.30416664,0.36944443,0.45833334,,0.5222222,0.57222223,0.5694445,0.50416666,0.60694444,0.73194444,0.73888886,0.74583334,0.7458333,0.63055557,0.7833333,0.70555556,0.7888889,0.81527776,0.7916667,0.8541667,0.7986111,0.8375,0.82916665,0.83750004,0.8888889,0.7791667,0.8888889,0.9583333,0.99583334,0.9916667,0.98333335,1.0
LimiX (default),0.18611112,0.22361112,0.18472223,0.3027778,0.3027778,0.32777777,0.3027778,0.40972224,0.47777778,,0.50416666,0.6041667,0.5277778,0.67777777,0.5833334,0.73472226,0.6166667,0.7263889,0.65833336,0.79305553,0.71944445,0.7527778,0.6875,0.7486111,0.85138893,0.8041667,0.8638889,0.84444445,0.73888886,0.8055556,0.78055555,0.8986111,0.9402778,0.95416665,0.9916667,0.9875,0.9861111
