,"AutoGluon 1.6 (noncommercial, 4h)",TabFM+,"AutoGluon 1.6 (extreme, 4h)",TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",Nori-30M (default),TabDPT (T+E),RealTabPFN-2.5 (T+E),TabICLv2 (default),TabPFN-2.6 (default),Nori (default),RealMLP (T+E),TabDPT-Turbo (default),"AutoGluon 1.4 (best, 4h)",ModernNCA (T+E),CatBoost (T+E),xRFM (T+E),LightGBM (T+E),TabM (T+E),iLTM (T+E),TabSwift (default),ChimeraBoost (T+E),XGBoost (T+E),SAP-RPT-OSS (default),LimiX (default),TorchMLP (T+E),ExtraTrees (T+E),EBM (T+E),PerpetualBooster (T+E),RandomForest (T+E),TabSTAR (T+E),FastaiMLP (T+E),KNN (T+E),Linear (T+E)
"AutoGluon 1.6 (noncommercial, 4h)",,0.5025641,0.74316245,0.640171,0.83504283,0.8529915,0.8042735,0.8470086,0.865812,0.94358975,0.88974357,0.9410257,0.940171,0.948718,0.9529914,0.9846154,0.91965806,0.98205125,0.97179484,0.9871795,0.98205125,0.9846153,0.98205125,0.9153846,0.99230766,0.9589744,0.9871795,1.0,0.98205125,0.99230766,0.9974359,0.9948718,0.948718,1.0,0.99230766,1.0
TabFM+,0.49743587,,0.5735043,0.7444445,0.82136756,0.8923077,0.81538457,0.82051283,0.85213673,0.9384616,0.8692308,0.93076926,0.93504274,0.9641025,0.96239316,0.99230766,0.95555556,0.98205125,0.97179484,0.9948718,0.98205125,0.9846154,0.9794872,0.9128205,0.98205125,0.9564103,0.9803419,1.0,0.98119664,0.9871795,0.9974359,1.0,0.9538461,1.0,0.99230766,1.0
"AutoGluon 1.6 (extreme, 4h)",0.25683764,0.42649576,,0.548718,0.72222227,0.740171,0.7760684,0.82649577,0.7940172,0.91880345,0.88119656,0.92393166,0.93504274,0.9538461,0.9529915,0.97008544,0.9059829,0.98205125,0.97692305,0.9871795,0.9846154,0.9794872,0.9794872,0.9128205,0.99230766,0.9564103,0.9871795,0.982906,0.9794872,0.99230766,0.9974359,0.9974359,0.948718,1.0,0.99230766,1.0
TabFM (default),0.35982907,0.2555556,0.45128205,,0.7111112,0.7564103,0.7564103,0.7196582,0.79401714,0.88205135,0.82393163,0.8948718,0.8606838,0.94358975,0.95042735,0.97094023,0.94700855,0.9794872,0.97179484,0.9846154,0.9743589,0.9794872,0.93504274,0.9051282,0.9794872,0.96153843,0.9803419,0.982906,0.9786325,0.9846154,0.9948718,0.9974359,0.9564103,1.0,0.99230766,1.0
EXAONE-Tabular (default),0.16495728,0.17863248,0.2777778,0.2888889,,0.51452994,0.6290598,0.6213675,0.6282052,0.8444445,0.6940171,0.86324793,0.76752144,0.8641026,0.7974359,0.9760684,0.9128205,0.9735043,0.96666676,0.9786325,0.9538461,0.9589744,0.8888889,0.9076923,0.9794872,0.9538461,0.97606844,0.99145305,0.974359,0.9897436,1.0,0.99230766,0.9461539,1.0,0.9846154,1.0
TabPFN-3 (default),0.14700855,0.107692316,0.25982907,0.24358974,0.4854701,,0.6299145,0.59059834,0.53675216,0.6470086,0.7017094,0.6991453,0.7111111,0.8222222,0.8410256,0.8264957,0.8162393,0.84615386,0.876923,0.8760684,0.93247867,0.90512824,0.95811963,0.865812,0.8760684,0.9282052,0.917094,0.96666676,0.9632479,0.88974357,0.9179487,0.98717946,0.92051286,1.0,0.98205125,1.0
"AutoGluon 1.5 (extreme, 4h)",0.19572648,0.18461539,0.22393161,0.24358974,0.37094018,0.37008545,,0.47264957,0.53846157,0.4589744,0.43076923,0.57777774,0.6264957,0.77435887,0.6564103,0.89658123,0.7316239,0.88717943,0.9051282,0.92991453,0.948718,0.9461539,0.9230769,0.86239314,0.95641017,0.86068374,0.8128205,0.99230766,0.9641026,0.9794872,0.9948718,0.98205125,0.9410257,0.9974359,0.98717946,1.0
Nori-30M (default),0.15299146,0.1794872,0.17350428,0.2803419,0.3786325,0.4094017,0.52735037,,0.508547,0.5213675,0.5017094,0.608547,0.7264957,0.6794872,0.63846153,0.7350427,0.6606837,0.87264955,0.8529914,0.86752135,0.9145299,0.8957265,0.83589745,0.8957265,0.9111111,0.9205128,0.8444445,0.9461539,0.97094023,0.9752137,0.9863247,0.9837607,0.9512821,0.9974359,0.9897436,1.0
TabDPT (T+E),0.13418804,0.14786325,0.20598291,0.20598291,0.37179488,0.46324784,0.46153846,0.491453,,0.4324786,0.44273508,0.47008544,0.582906,0.5940171,0.78461546,0.75811964,0.67521375,0.77777773,0.8957265,0.8111111,0.84615386,0.9213676,0.8401709,0.8222222,0.8641026,0.88461536,0.83760685,0.9521367,0.97179484,0.9059829,0.9837607,0.9897436,0.9025641,1.0,0.9897436,1.0
RealTabPFN-2.5 (T+E),0.056410257,0.06153846,0.081196584,0.11794872,0.15555556,0.35299146,0.5410256,0.47863248,0.56752133,,0.4094017,0.5692308,0.61025643,0.7444445,0.68290603,0.75299144,0.72393167,0.77606833,0.85299146,0.82564104,0.91025645,0.84786326,0.86068374,0.8683761,0.9025641,0.87094015,0.8974359,0.9752137,0.87948716,0.974359,0.99230766,0.93846154,0.9230769,1.0,0.98205125,1.0
