method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,4.381516419351181,71.97034312574999,1.0212187811412579,2063.9,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,2.374750333227428,26.027139606133723,1.555612615403235,2029.1,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,2.3144327933816227,21.376186508363553,1.9099285304841835,1988.4,False,0.0
TabFM,Default,Foundation Model,4.094216871263638,49.29390820662764,2.754366496597961,1966.6,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.6179565077509614,7.562396333587631,3.6168694545500575,1868.3,False,0.0
Nori-30M,Default,Foundation Model,2.0528542695595577,12.09149301155594,2.5170807358460623,1860.0,False,0.0
TabPFN-3,Default,Foundation Model,0.43882524228874165,14.086279804767486,3.227945329942022,1792.9,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,5.570665260640719,322.865622217388,4.306754293071756,1782.6,False,0.0
Nori,Default,Foundation Model,1.5662902939062764,12.370393342637602,4.021463365170861,1775.9,False,0.0
TabPFN-2.6,Default,Foundation Model,0.585225062692124,9.203177876138628,4.445353516097071,1733.3,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,140.7371116271002,4823.368423251146,5.2100557343357385,1719.9,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,7.22640045691371,2307.574171404962,3.8693013361721893,1701.1,False,0.0
TabDPT,Tuned,Foundation Model,22.31162854095092,4823.368423251146,5.664044698935385,1673.8,False,0.0
TabICLv2,Default,Foundation Model,0.1402308582373346,5.154301563700258,4.9370088544645885,1672.1,False,0.0
RealMLP,Tuned + Ens.,Neural Network,33.83073366708041,4560.006047678364,5.628841205490409,1635.5,False,0.0
TabDPT,Default,Foundation Model,42.001452678040025,48.13762260662206,6.754034924045506,1583.8,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.9019759915717092,2307.574171404962,4.775528890380578,1572.8,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.26369012956431215,7.9333050678311725,6.566507422071514,1572.1,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,4.309621389925061,5807.074146233117,7.470190983899563,1556.4,False,0.0
RealMLP,Tuned,Neural Network,2.2331214773668724,4560.006047678364,6.539638079022471,1546.6,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5470075606737848,7.669068183815102,6.563217521963136,1504.7,False,0.0
iLTM,Tuned + Ens.,Foundation Model,1519.479176615716,39519.06989985972,9.564099626175713,1487.1,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.4436888454343369,4283.104346126584,8.263046390516582,1486.6,False,0.0
TabSwift,Default,Foundation Model,0.06397250650274536,3.5256005858007686,6.657582149964242,1482.9,False,0.0
LightGBM,Tuned + Ens.,Tree-based,7.105671558743349,1203.236902878332,9.07821503167706,1462.6,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.011627204846373,8982.73558465344,9.454620138609942,1461.7,False,0.0
CatBoost,Tuned,Tree-based,0.06274563478872208,4283.104346126584,8.43670728549492,1458.5,False,0.0
TabM,Tuned + Ens.,Neural Network,4.754647772218843,3660.2557617825137,7.16360041504946,1457.5,False,0.0
xRFM,Tuned + Ens.,Other,2.141940404542555,2039.6992814536125,8.586047128824427,1439.5,False,0.0
XGBoost,Tuned + Ens.,Tree-based,3.1465188848637897,1266.5674390492782,9.386371655623213,1418.8,False,0.0
XGBoost,Tuned,Tree-based,0.47549319316217953,1266.5674390492782,9.548441323872444,1391.9,False,0.0
LightGBM,Tuned,Tree-based,0.9564936689245505,1203.236902878332,9.826860448294395,1383.8,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.0380986551427802,22.463599156768076,10.521976461560504,1370.6,False,0.0
TabM,Tuned,Neural Network,0.49182525141948347,3660.2557617825137,8.17069267110768,1369.0,False,0.0
