#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1852.0,+212/-104,0.836,5.81,1.95,4.862,25.28,6.631,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1802.0,+216/-116,0.792,7.14,2.2,5.309,45.35,5.343,✔️,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1792.0,+104/-56,0.705,7.43,4.13,8.104,21.24,0.768,✔️,0.0,False,GPU,system,
3,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1732.0,+92/-59,0.659,9.39,4.62,8.913,16.4,0.67,✔️,0.0,False,GPU,system,
4,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1710.0,+112/-68,0.661,10.21,5.44,9.662,7.43,0.553,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1626.0,+93/-54,0.543,13.79,8.59,10.802,8.57,0.411,✔️,0.0,False,GPU,model,
6,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1614.0,+95/-72,0.549,14.36,6.93,9.6,345.57,5.168,✔️,0.0,False,GPU,system,
7,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1603.0,+99/-63,0.528,14.94,9.17,11.868,7.07,0.555,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1602.0,+124/-90,0.521,14.99,7.52,10.548,2320.56,8.956,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1575.0,+86/-59,0.451,16.42,11.41,12.481,6.58,0.586,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1554.0,+126/-84,0.491,17.58,9.55,12.316,3.89,0.15,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1545.0,+96/-65,0.458,18.07,11.43,12.714,2320.56,0.941,✔️,0.0,False,GPU,model,
12,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1493.0,+69/-54,0.351,21.25,14.84,14.895,3855.77,24.914,✔️,0.0,False,GPU,model,
13,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1475.0,+55/-54,0.329,22.42,17.8,15.124,3351.52,1.558,✔️,0.0,False,CPU,system,
14,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1446.0,+93/-74,0.36,24.39,10.11,15.43,8061.74,364.097,✔️,0.0,False,GPU,model,
15,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1430.0,+90/-68,0.315,25.49,16.17,16.178,5.1,0.187,➖,0.0,False,GPU,model,
16,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1421.0,+71/-79,0.302,26.11,16.45,16.003,3855.77,0.954,✔️,0.0,False,GPU,model,
17,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1414.0,+85/-83,0.318,26.65,10.64,15.096,34.03,7.205,➖,0.0,False,GPU,model,
18,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1401.0,+86/-70,0.311,27.56,17.04,16.42,8061.74,39.456,✔️,0.0,False,GPU,model,
19,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1391.0,+72/-62,0.27,28.33,13.74,16.71,2564.23,3.453,✔️,0.0,False,GPU,model,
20,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1375.0,+58/-52,0.226,29.51,20.71,17.131,22680.19,529.126,✔️,0.0,False,GPU,model,
21,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1369.0,+43/-45,0.174,29.99,25.44,17.702,833.09,2.182,✔️,0.0,False,CPU,model,
22,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1368.0,+62/-49,0.209,30.08,17.86,16.593,1827.95,0.048,✔️,0.0,False,CPU,model,
23,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1360.0,+60/-59,0.186,30.67,25.13,17.046,1827.95,0.391,✔️,0.0,False,CPU,model,
24,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1358.0,+72/-64,0.235,30.81,18.35,17.325,2564.23,0.453,✔️,0.0,False,GPU,model,
25,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1350.0,+68/-60,0.218,31.4,21.2,18.059,2.54,0.058,➖,0.0,False,GPU,model,
26,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1324.0,+70/-59,0.197,33.44,20.48,18.323,1346.82,2.149,✔️,0.0,False,GPU,model,
27,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1320.0,+52/-45,0.135,33.74,27.09,18.607,886.81,1.98,✔️,0.0,False,CPU,model,
28,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1310.0,+66/-60,0.136,34.49,25.5,19.367,1286.69,0.465,✔️,0.0,False,CPU,model,
29,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1308.0,+64/-64,0.193,34.69,15.58,19.387,6343.61,8.545,✔️,0.0,False,GPU,model,
30,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1306.0,+49/-49,0.132,34.82,30.06,18.676,833.09,0.435,✔️,0.0,False,CPU,model,
31,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1306.0,+37/-44,0.124,34.83,30.39,18.93,9.04,0.041,✔️,0.0,False,CPU,model,
32,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1305.0,+50/-52,0.123,34.94,22.13,18.727,886.81,0.318,✔️,0.0,False,CPU,model,
33,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1304.0,+86/-80,0.22,35.03,21.52,18.779,51.79,39.921,✔️,0.0,False,GPU,model,
34,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1296.0,+66/-63,0.168,35.58,22.98,18.856,6343.61,0.501,✔️,0.0,False,GPU,model,
35,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1293.0,+70/-73,0.142,35.88,22.97,19.738,1286.69,0.043,✔️,0.0,False,CPU,model,
36,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1289.0,+76/-79,0.216,36.17,18.01,20.236,16.54,1.254,➖,0.0,False,GPU,model,
37,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1282.0,+53/-56,0.133,36.75,30.43,18.605,22680.19,126.301,✔️,0.0,False,GPU,model,
38,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1277.0,+67/-65,0.157,37.15,24.68,19.357,11.22,0.393,✔️,0.0,False,GPU,model,
39,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1272.0,+69/-62,0.147,37.5,17.12,19.252,1346.82,0.103,✔️,0.0,False,GPU,model,
40,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1266.0,+68/-58,0.112,38.03,27.24,20.217,2241.86,0.152,✔️,0.0,False,CPU,model,
41,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1255.0,+57/-63,0.11,38.83,28.62,19.729,16.61,4.299,✔️,0.0,False,GPU,model,
42,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1236.0,+46/-59,0.11,40.39,34.56,19.895,3694.49,2.137,✔️,0.0,False,CPU,model,
43,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1233.0,+60/-62,0.097,40.64,31.7,21.569,6.64,0.051,✔️,0.0,False,CPU,model,
44,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1225.0,+70/-64,0.088,41.22,29.17,20.899,2241.86,0.017,✔️,0.0,False,CPU,model,
45,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1209.0,+75/-82,0.092,42.5,17.21,23.032,14.91,0.323,✔️,0.0,False,GPU,model,
46,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1203.0,+67/-71,0.094,42.93,18.7,21.491,7.6,0.017,✔️,0.0,False,CPU,model,
47,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1196.0,+70/-76,0.097,43.5,29.74,22.18,841.6,1.393,✔️,0.0,False,CPU,model,
48,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1192.0,+64/-72,0.096,43.85,32.35,21.435,3694.49,0.131,✔️,0.0,False,CPU,model,
49,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1180.0,+77/-93,0.083,44.76,34.98,22.544,1666.93,7.822,✔️,0.0,False,CPU,model,
50,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1170.0,+66/-80,0.072,45.54,30.54,23.232,841.6,0.193,✔️,0.0,False,CPU,model,
