method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,1815.889678548859,1.455187625551353,14.56450263404126,1559.9,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,268.43939597724386,4.66790488615476,9.842867262000066,1672.7,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,11.122142561078418,0.621639631726415,8.927908925148245,1752.4,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,13.915404820137777,0.6504222003272732,8.022860119799372,1820.1,1.0,False,0.0
BetaTabPFN,Foundation Model,250.9922109032818,2.035193444417784,20.745620786421583,1341.4,1.0,False,0.0
CatBoost,Tree-based,4.88613884555442,0.024809805969676378,18.391890061675962,1377.3,1.0,False,0.0
CatBoost,Tree-based,10.675013679081278,0.05230826017018419,17.898015435502494,1392.9,2.0,False,0.0
CatBoost,Tree-based,25.26699039424622,0.10519232307933385,17.644070719396204,1402.7,5.0,False,0.0
CatBoost,Tree-based,49.063883888512954,0.1507927974806505,17.49833314999416,1409.9,10.0,False,0.0
CatBoost,Tree-based,133.20645698104966,0.1982375840273144,17.42923836912019,1413.2,25.0,False,0.0
CatBoost,Tree-based,264.5793957685006,0.24139830744525942,17.445227287267933,1409.4,50.0,False,0.0
CatBoost,Tree-based,539.0252673694504,0.2948037083384833,17.317276373676496,1407.7,100.0,False,0.0
CatBoost,Tree-based,810.5253697200628,0.31764958903459783,17.32713407468108,1400.9,150.0,False,0.0
CatBoost,Tree-based,1087.7269134100757,0.3481993778974993,17.246536481891777,1405.7,201.0,False,0.0
ChimeraBoost,Tree-based,2.746842087814775,0.05168870571320533,20.570112302539286,1326.9,1.0,False,0.0
ChimeraBoost,Tree-based,5.294643775587406,0.09743828331889261,20.035587263212822,1351.4,2.0,False,0.0
ChimeraBoost,Tree-based,13.233874750979098,0.1882046534560472,19.585524959254457,1370.7,5.0,False,0.0
ChimeraBoost,Tree-based,26.238097198472357,0.25041222056043116,19.355037699243894,1377.2,10.0,False,0.0
ChimeraBoost,Tree-based,65.81466493629495,0.3403768941991345,18.96872060844261,1388.1,25.0,False,0.0
ChimeraBoost,Tree-based,131.9269961119976,0.3760203102081935,18.764627525868153,1395.3,50.0,False,0.0
ChimeraBoost,Tree-based,263.7615010438465,0.4681588698156081,18.659300234921034,1400.3,100.0,False,0.0
ChimeraBoost,Tree-based,395.88992123815467,0.5064143245608959,18.596311224019164,1401.5,150.0,False,0.0
ChimeraBoost,Tree-based,530.3562210187525,0.5250099194383389,18.619495455277946,1400.5,201.0,False,0.0
EBM,Tree-based,5.4796099732904935,0.016273159727879186,22.017822648400443,1252.9,1.0,False,0.0
EBM,Tree-based,13.949035559862867,0.03303391120057557,21.5491290506157,1273.3,2.0,False,0.0
EBM,Tree-based,38.13392143121315,0.05893581227280837,21.175403719040904,1290.0,5.0,False,0.0
EBM,Tree-based,74.78508614913588,0.07593615333448826,21.05384722822416,1295.6,10.0,False,0.0
EBM,Tree-based,183.39743054091534,0.10393537043332769,20.899607763709486,1306.2,25.0,False,0.0
EBM,Tree-based,366.1485755962966,0.12391748867526442,20.73848075361887,1314.2,50.0,False,0.0
EBM,Tree-based,725.871285674009,0.13758880642396906,20.575602462499376,1322.1,100.0,False,0.0
EBM,Tree-based,1084.122204910017,0.13522579399164503,20.54082674972974,1323.9,150.0,False,0.0
EBM,Tree-based,1449.1413756846853,0.15230845361948014,20.5025495592156,1324.6,201.0,False,0.0
EXAONE-Tabular,Foundation Model,5.763747595992394,0.5220190009900503,9.330238723407865,1793.6,1.0,False,0.0
ExtraTrees,Tree-based,1.7477789605523295,0.267502624319227,30.387881340700662,994.5,1.0,False,0.0
ExtraTrees,Tree-based,3.14006514665299,0.29186068734264037,28.225705319940403,1029.4,2.0,False,0.0
ExtraTrees,Tree-based,7.339693593778709,0.38219084592059466,24.9754916791217,1099.2,5.0,False,0.0
ExtraTrees,Tree-based,14.43146086807872,0.4421545506494104,23.940749937708095,1138.4,10.0,False,0.0
ExtraTrees,Tree-based,35.443818000411376,0.5921825197818396,23.210757329968082,1169.9,25.0,False,0.0
ExtraTrees,Tree-based,70.3987810435491,0.7294877640008544,22.961951477766902,1180.7,50.0,False,0.0
ExtraTrees,Tree-based,140.79296920578085,0.8457914876157387,22.772391254688788,1191.2,100.0,False,0.0
ExtraTrees,Tree-based,211.1596497818325,0.8457827932931897,22.64830907819574,1199.9,150.0,False,0.0
ExtraTrees,Tree-based,282.3556156822257,0.8643331317604036,22.796374060329985,1198.7,201.0,False,0.0
