method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,307.33881279365573,2.1856423362272865,7.147307522118784,2077.7,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,145.28607337202038,1.8577184033393859,6.030115863177377,2187.1,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,3.984610986709595,0.7546829938602908,3.2103603622965493,2102.9,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,5.440881289243698,0.7730422859290706,2.420824645017857,2197.2,1.0,False,0.0
BetaTabPFN,Foundation Model,82.51893066401463,0.9704204929735395,20.074863208191836,1339.9,1.0,False,0.0
CatBoost,Tree-based,1.5291414752876977,0.01987277753220496,11.716408129766066,1687.9,1.0,False,0.0
CatBoost,Tree-based,3.972125039180598,0.03815000949635479,11.889762317320262,1682.2,2.0,False,0.0
CatBoost,Tree-based,12.721452091308967,0.06102581716890678,11.852400657012305,1700.2,5.0,False,0.0
CatBoost,Tree-based,24.143744313155075,0.08033016332941999,11.842390928536213,1709.2,10.0,False,0.0
CatBoost,Tree-based,53.260282210860424,0.09710695080652286,11.900650441769125,1725.4,25.0,False,0.0
CatBoost,Tree-based,99.39853617801813,0.11556263323728883,11.90237933460915,1725.9,50.0,False,0.0
CatBoost,Tree-based,193.3194459181292,0.13937981261541557,11.945533685796601,1720.1,100.0,False,0.0
CatBoost,Tree-based,286.58792986717,0.1506167428836784,11.975675208539972,1714.4,150.0,False,0.0
CatBoost,Tree-based,384.9547373775188,0.1627138270624126,11.936971260725175,1711.0,201.0,False,0.0
ChimeraBoost,Tree-based,0.5073969004647854,0.041222225678594494,11.815031292830055,1681.0,1.0,False,0.0
ChimeraBoost,Tree-based,1.0413294700462707,0.08516049521534068,11.500605611534551,1736.6,2.0,False,0.0
ChimeraBoost,Tree-based,2.568727352136019,0.17992162169594517,11.265207237921008,1763.7,5.0,False,0.0
ChimeraBoost,Tree-based,5.238641024160135,0.26542076902954204,11.174531942354001,1763.7,10.0,False,0.0
ChimeraBoost,Tree-based,13.94701065074371,0.4147999298934965,11.097038422677858,1767.3,25.0,False,0.0
ChimeraBoost,Tree-based,27.895870144863515,0.4985583360766013,11.059183621381486,1775.7,50.0,False,0.0
ChimeraBoost,Tree-based,55.885631810983334,0.6051726858565749,10.97131318951948,1791.3,100.0,False,0.0
ChimeraBoost,Tree-based,83.87627545653379,0.6251504544856288,10.849404005318556,1802.3,150.0,False,0.0
ChimeraBoost,Tree-based,112.219947805404,0.6169202564787367,10.721278932038395,1814.2,201.0,False,0.0
EBM,Tree-based,1.4013272116422273,0.006809947420261153,19.969292374949983,1359.2,1.0,False,0.0
EBM,Tree-based,4.11937542887962,0.017796272455857458,18.839512771801907,1416.4,2.0,False,0.0
EBM,Tree-based,10.042965061025864,0.03311741370160878,18.191309406541144,1447.8,5.0,False,0.0
EBM,Tree-based,20.72403966794673,0.043977911702825334,17.9374799122739,1462.9,10.0,False,0.0
EBM,Tree-based,52.25289503949254,0.0691665167474761,17.639120045585642,1483.4,25.0,False,0.0
EBM,Tree-based,105.45960157966928,0.08362170168258373,17.51404452083449,1492.6,50.0,False,0.0
EBM,Tree-based,207.8093671730475,0.09484833493850249,17.346730654790093,1499.7,100.0,False,0.0
EBM,Tree-based,315.0112350614448,0.10184794443630811,17.298206746520385,1496.0,150.0,False,0.0
EBM,Tree-based,421.2236428358053,0.09961582211233078,17.242919072688373,1497.9,201.0,False,0.0
EXAONE-Tabular,Foundation Model,2.120800884962082,0.7583456707000733,3.741627635935353,2221.9,1.0,False,0.0
ExtraTrees,Tree-based,0.3214016003116962,0.05591290841459859,29.696586003098357,891.8,1.0,False,0.0
ExtraTrees,Tree-based,0.5493187283681784,0.06453169898246927,26.726306664315747,972.4,2.0,False,0.0
ExtraTrees,Tree-based,1.3228210017355244,0.07032211485741136,21.83348658881577,1124.1,5.0,False,0.0
ExtraTrees,Tree-based,2.5095259777012844,0.07365381296048423,19.81596469448456,1207.0,10.0,False,0.0
ExtraTrees,Tree-based,6.164490846720282,0.08662905900262326,18.921418954610445,1243.5,25.0,False,0.0
ExtraTrees,Tree-based,12.258733315657402,0.09993083243212393,18.485595066316158,1278.3,50.0,False,0.0
ExtraTrees,Tree-based,24.486304845072112,0.11779845533287531,18.05828309494194,1313.4,100.0,False,0.0
ExtraTrees,Tree-based,36.70347098614498,0.1410295132975116,18.022925398062487,1314.8,150.0,False,0.0
ExtraTrees,Tree-based,49.21214054240414,0.14220715338403866,18.5729803639129,1305.3,201.0,False,0.0
FastaiMLP,Neural Network,1.6301605991062378,0.10974423304088299,26.46316500642515,1082.7,1.0,False,0.0
FastaiMLP,Neural Network,3.392669063068616,0.22728807378363125,24.852622475300436,1163.4,2.0,False,0.0
FastaiMLP,Neural Network,9.318990450783705,0.5474602559278243,22.702479487054763,1258.6,5.0,False,0.0
FastaiMLP,Neural Network,19.460379971854998,0.8604236954072895,21.74402447438811,1295.7,10.0,False,0.0
FastaiMLP,Neural Network,46.67962412203019,1.140522072815747,20.890985337928804,1324.5,25.0,False,0.0
FastaiMLP,Neural Network,94.38857805106801,1.3925732088129066,20.531217454667384,1343.5,50.0,False,0.0
FastaiMLP,Neural Network,191.92059534667732,1.7973939158594279,20.068719593574382,1355.7,100.0,False,0.0
FastaiMLP,Neural Network,288.7632596624403,1.9804848891556248,19.90255723827723,1365.4,150.0,False,0.0
FastaiMLP,Neural Network,387.73067242420547,2.343337366887404,19.86381646580349,1362.6,201.0,False,0.0
LightGBM,Tree-based,0.3317134999588111,0.050483788545635136,18.59954848900326,1298.5,1.0,False,0.0
LightGBM,Tree-based,0.8849406618166349,0.33036246702678485,17.671119232505955,1392.2,2.0,False,0.0
LightGBM,Tree-based,2.143134633980669,0.5377965122303836,16.351462357297493,1511.9,5.0,False,0.0
LightGBM,Tree-based,4.318707485076606,0.7884842205239219,15.348708476317787,1597.2,10.0,False,0.0
LightGBM,Tree-based,11.246428463281154,0.7687781827970632,14.254620837644374,1652.2,25.0,False,0.0
LightGBM,Tree-based,22.489384736789415,0.7552019669576213,13.773701624736695,1688.6,50.0,False,0.0
LightGBM,Tree-based,44.91413492988768,0.7276316945153283,13.630644294131573,1698.4,100.0,False,0.0
LightGBM,Tree-based,67.48755890821641,0.6450965710954679,13.59766505760846,1702.1,150.0,False,0.0
LightGBM,Tree-based,91.01843571784165,0.6136389604836272,13.604771127003657,1697.9,201.0,False,0.0
LimiX,Foundation Model,5.047384108154519,2.948262605958856,20.70573955447359,1357.9,1.0,False,0.0
ModernNCA,Neural Network,11.026497565006089,0.48910165117278953,19.163866585775565,1260.5,1.0,False,0.0
ModernNCA,Neural Network,25.11490191471428,1.0456997204118037,17.265676114752562,1394.4,2.0,False,0.0
ModernNCA,Neural Network,63.58480276601493,2.553325138823179,15.031842310130289,1549.3,5.0,False,0.0
ModernNCA,Neural Network,122.22652007417832,4.23142571333804,14.490110204801837,1583.4,10.0,False,0.0
ModernNCA,Neural Network,281.6186890351637,6.994864421040238,13.919067437101006,1632.7,25.0,False,0.0
ModernNCA,Neural Network,581.6935693292605,9.359686890617562,13.14970266315904,1666.2,50.0,False,0.0
ModernNCA,Neural Network,1150.8300045771925,12.383207112144762,12.459883480718089,1702.1,100.0,False,0.0
ModernNCA,Neural Network,1716.261660814826,13.383303037603195,11.61035491799387,1731.2,150.0,False,0.0
ModernNCA,Neural Network,2335.8257219827246,14.145030379289018,11.012369620606707,1750.2,201.0,False,0.0
OrionMSP,Foundation Model,17.256452514278664,6.893123680270206,26.97589679232185,992.2,1.0,False,0.0
PerpetualBooster,Tree-based,1.66563946053337,0.01757267951965332,39.811012589940944,754.7,1.0,False,0.0
PerpetualBooster,Tree-based,6.405998208494275,0.152701055172038,36.36850610822975,838.6,2.0,False,0.0
PerpetualBooster,Tree-based,18.502894861245622,0.48120916744050457,30.81990454601547,939.3,5.0,False,0.0
PerpetualBooster,Tree-based,22.23333541600494,0.5669505530596631,30.381537453610687,954.6,6.0,False,0.0
RandomForest,Tree-based,0.11369609577923356,0.012076125144958495,26.563010763333843,999.3,1.0,False,0.0
RandomForest,Tree-based,0.38719337844738816,0.037515683653088314,21.48724383928969,1164.5,2.0,False,0.0
RandomForest,Tree-based,1.2235890503065334,0.07644647681092803,19.672129936285845,1247.9,5.0,False,0.0
RandomForest,Tree-based,2.5806805068750913,0.11578370355496495,19.076824259287978,1288.2,10.0,False,0.0
RandomForest,Tree-based,6.422430479797041,0.1326680035061822,18.63238260412096,1345.3,25.0,False,0.0
RandomForest,Tree-based,12.912425588773178,0.17103938275042319,18.492441290006333,1352.1,50.0,False,0.0
RandomForest,Tree-based,25.987365797875025,0.19918801983932735,18.38471746502768,1361.0,100.0,False,0.0
RandomForest,Tree-based,39.22079432291933,0.21373957882178296,18.379646726139498,1358.8,150.0,False,0.0
RandomForest,Tree-based,52.70356180743116,0.19331774202199162,18.421967108636142,1365.9,201.0,False,0.0
RealMLP,Neural Network,6.529778564398873,0.29429216628110266,18.705792314993726,1384.8,1.0,False,0.0
RealMLP,Neural Network,15.316333237157867,0.4603279722235009,16.611581916315842,1505.2,2.0,False,0.0
RealMLP,Neural Network,39.31339976027525,0.7544553224133859,15.224097718051546,1580.8,5.0,False,0.0
RealMLP,Neural Network,79.4447895462142,1.0304844995053348,14.271772636145124,1615.1,10.0,False,0.0
RealMLP,Neural Network,204.929680296553,1.3434994292892082,13.53424767323895,1650.9,25.0,False,0.0
RealMLP,Neural Network,412.61016261997634,1.7588377132899877,13.157080226729907,1673.9,50.0,False,0.0
RealMLP,Neural Network,813.6980979059142,2.039821336507165,12.773087801362202,1679.4,100.0,False,0.0
RealMLP,Neural Network,1221.0196908737034,2.189769655548903,12.62143601620227,1692.8,150.0,False,0.0
RealMLP,Neural Network,1635.7415319041677,2.146346232518016,12.53766558628911,1701.4,201.0,False,0.0
RealTabPFN-2.5,Foundation Model,2.2966540372371673,0.8184752082824707,13.662830039556512,1562.9,1.0,False,0.0
RealTabPFN-2.5,Foundation Model,5.734411769455646,1.6939241990687282,13.56022681515495,1585.3,2.0,False,0.0
RealTabPFN-2.5,Foundation Model,18.404991824058197,3.229400430232064,13.327470374951492,1609.8,5.0,False,0.0
RealTabPFN-2.5,Foundation Model,36.25064811681361,4.136809865158687,13.183041297317036,1627.8,10.0,False,0.0
RealTabPFN-2.5,Foundation Model,88.2736709813015,6.826705741026869,12.760829190906184,1678.0,25.0,False,0.0
RealTabPFN-2.5,Foundation Model,182.88283789064013,9.020733022458707,12.240204065640615,1707.3,50.0,False,0.0
RealTabPFN-2.5,Foundation Model,376.73426237210134,11.27044542311167,11.642385284754301,1739.0,100.0,False,0.0
RealTabPFN-2.5,Foundation Model,570.2939458958497,12.391951382116085,11.282305458483913,1752.5,150.0,False,0.0
RealTabPFN-2.5,Foundation Model,780.9485777149789,11.639997065858575,10.83063881751556,1766.6,201.0,False,0.0
SAP-RPT-OSS,Foundation Model,14.932024265688913,13.660967858640207,21.5912886435609,1257.4,1.0,False,0.0
TabDPT,Foundation Model,41.63251230707188,39.25940359929406,22.843240219667067,1218.6,1.0,False,0.0
TabDPT,Foundation Model,63.39012183574598,56.64006163974408,21.067895914194867,1274.0,2.0,False,0.0
TabDPT,Foundation Model,119.19124148911865,88.54077482079715,19.63550675498072,1351.2,5.0,False,0.0
TabDPT,Foundation Model,214.69458518167895,118.03592362536168,19.031123992419825,1377.8,10.0,False,0.0
TabDPT,Foundation Model,545.8855951453918,189.7782849186499,17.73905600343096,1418.9,25.0,False,0.0
TabDPT,Foundation Model,1118.7729763883444,271.36971511090167,16.942528503803505,1443.2,50.0,False,0.0
TabDPT,Foundation Model,2249.161986612471,353.6812333996281,16.50598983111294,1465.0,100.0,False,0.0
TabDPT,Foundation Model,3393.4090688327497,380.7963519934858,16.159181816899032,1462.5,150.0,False,0.0
TabDPT,Foundation Model,4546.1421807431425,414.7537971415213,16.000156786865467,1466.7,201.0,False,0.0
TabDPT-Turbo,Foundation Model,0.786394519929037,0.23195473048286874,16.338996434683224,1494.9,1.0,False,0.0
TabFM,Foundation Model,38.93610517568109,18.761948278932543,8.944902182173523,1983.2,1.0,False,0.0
TabFM+,System,6.660331965231485,20.16335246022127,8.584498348744038,1998.5,1.0,False,0.0
TabFlex,Foundation Model,0.17508929023943384,0.03172640985278538,38.005744482090684,805.5,1.0,False,0.0
TabICL,Foundation Model,8.464564148045042,3.879179584812842,15.041160277891214,1564.4,1.0,False,0.0
TabICLv2,Foundation Model,0.6194744056786186,0.17159586297016305,12.026764584609321,1817.4,1.0,False,0.0
TabM,Neural Network,1.607633739610585,0.05533819313598881,17.251068681560092,1456.0,1.0,False,0.0
TabM,Neural Network,5.236501633824768,0.11720049709296324,16.483428957497694,1491.0,2.0,False,0.0
TabM,Neural Network,19.537157064078006,0.20440160868915808,15.46597075901477,1552.7,5.0,False,0.0
TabM,Neural Network,41.92626506861982,0.2619165464071628,14.672413661531525,1600.7,10.0,False,0.0
TabM,Neural Network,107.92054984689211,0.3522960448225801,14.05943568674938,1636.6,25.0,False,0.0
TabM,Neural Network,217.23253396372422,0.40988668084898894,13.745924574940844,1655.4,50.0,False,0.0
TabM,Neural Network,430.1308094698975,0.45871229677075015,13.43899114505484,1671.2,100.0,False,0.0
TabM,Neural Network,649.8093981364909,0.4807977388775351,13.341301617557324,1686.3,150.0,False,0.0
TabM,Neural Network,875.011832953142,0.49706547635164333,13.270961675564418,1699.8,201.0,False,0.0
TabPFN-2.6,Foundation Model,2.3304970049858094,0.6991145285376961,10.998022377907816,1884.5,1.0,False,0.0
TabPFN-3,Foundation Model,1.1055094043660763,0.29096680328652147,8.689376448867563,1890.4,1.0,False,0.0
TabSTAR,Foundation Model,85.22795975216697,2.946692031472417,34.09999266381091,896.6,1.0,False,0.0
TabSTAR,Foundation Model,99.1248084332313,2.9477715353923224,33.98232762369287,910.3,2.0,False,0.0
TabSTAR,Foundation Model,139.17551622148386,2.942632126816801,33.6426442727015,919.5,5.0,False,0.0
TabSTAR,Foundation Model,198.09401177363333,2.8633854514821184,32.86836274047879,946.4,10.0,False,0.0
TabSTAR,Foundation Model,444.36468784513727,3.878953366608732,31.35340896326644,971.7,25.0,False,0.0
TabSTAR,Foundation Model,895.5564058914892,4.116366982913421,29.835402103209084,1012.6,50.0,False,0.0
