#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1920.0,+330/-140,0.925,6.14,1.89,8.122,24.44,7.702,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1847.0,+212/-85,0.791,8.29,3.73,9.809,9.21,0.752,✔️,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1778.0,+182/-62,0.685,10.92,6.77,14.27,24.47,0.907,✔️,0.0,False,GPU,system,
3,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1739.0,+200/-77,0.657,12.68,6.72,15.067,17.48,0.658,✔️,0.0,False,GPU,system,
4,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1729.0,+145/-57,0.616,13.18,8.63,14.046,245.58,2.838,✔️,0.0,False,GPU,system,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1724.0,+182/-74,0.633,13.42,7.58,14.191,2742.8,1.218,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1716.0,+230/-109,0.618,13.87,6.66,13.328,2742.8,7.936,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1713.0,+414/-239,0.767,14.01,2.61,9.688,64.25,6.446,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1640.0,+176/-88,0.531,18.13,12.92,16.515,11.1,0.682,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1636.0,+244/-146,0.518,18.42,9.06,14.545,11.21,0.845,✔️,0.0,False,GPU,model,
