#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1840.0,+205/-104,0.838,6.19,1.96,4.862,25.28,6.631,✔️,0.0,False,GPU,system,
1,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1794.0,+213/-114,0.794,7.53,2.22,5.309,45.35,5.343,✔️,0.0,False,GPU,model,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1780.0,+96/-58,0.71,7.99,4.36,8.104,21.24,0.768,✔️,0.0,False,GPU,system,
3,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1716.0,+90/-55,0.664,10.28,4.79,8.913,16.4,0.67,✔️,0.0,False,GPU,system,
4,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1693.0,+112/-64,0.664,11.24,5.71,9.662,7.43,0.553,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1615.0,+90/-52,0.55,15.01,8.98,10.802,8.57,0.411,✔️,0.0,False,GPU,model,
6,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1596.0,+92/-70,0.553,16.06,7.35,9.6,345.57,5.168,✔️,0.0,False,GPU,system,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1590.0,+127/-84,0.527,16.4,7.94,10.548,2320.56,8.956,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1589.0,+88/-56,0.536,16.47,9.79,11.868,7.07,0.555,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1558.0,+80/-54,0.46,18.33,12.8,12.481,6.58,0.586,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1537.0,+125/-85,0.493,19.69,10.17,12.316,3.89,0.15,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1533.0,+84/-63,0.466,19.94,12.41,12.714,2320.56,0.941,✔️,0.0,False,GPU,model,
12,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1473.0,+58/-54,0.36,24.19,16.2,14.895,3855.77,24.914,✔️,0.0,False,GPU,model,
13,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1457.0,+50/-52,0.336,25.39,19.68,15.124,3351.52,1.558,✔️,0.0,False,CPU,system,
14,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [8.33% IMPUTED],1439.0,+95/-73,0.357,26.82,17.02,15.615,3560.23,49.196,✔️,8.33,True,GPU,model,
15,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1433.0,+86/-70,0.366,27.33,10.96,15.43,8061.74,364.097,✔️,0.0,False,GPU,model,
