method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,310.55582628846867,1.8242596833264608,7.161093116669337,2125.4,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,124.08694040775299,2.1165445327758787,6.107330787371415,2232.5,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,3.329997158050537,0.8149155848904661,3.356684653818503,2140.1,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,4.002691769599915,0.8894696245391104,2.6898051611309524,2232.5,1.0,False,0.0
BetaTabPFN,Foundation Model,92.90225169181824,0.7858204126358033,18.118254003491245,1410.1,1.0,False,0.0
CatBoost,Tree-based,1.4897650505917355,0.019012742978892577,11.0060369711338,1754.3,1.0,False,0.0
CatBoost,Tree-based,3.6051687221778073,0.03711726461650061,11.2577433850717,1745.2,2.0,False,0.0
CatBoost,Tree-based,12.532113363005616,0.061006572901399915,11.294947733982468,1762.4,5.0,False,0.0
CatBoost,Tree-based,23.413650734388792,0.0760820846814479,11.328693714168752,1770.3,10.0,False,0.0
CatBoost,Tree-based,48.92982564575128,0.09455254986941869,11.427843110987906,1782.6,25.0,False,0.0
CatBoost,Tree-based,89.64382141277831,0.10997259482846906,11.442973565690018,1782.1,50.0,False,0.0
CatBoost,Tree-based,172.27165501132208,0.13165445842851592,11.506013982751501,1774.1,100.0,False,0.0
CatBoost,Tree-based,253.76103044561248,0.14703376085015857,11.546420014635093,1767.2,150.0,False,0.0
CatBoost,Tree-based,339.6336294327437,0.15401115919257122,11.507605503989643,1762.4,201.0,False,0.0
ChimeraBoost,Tree-based,0.5326435565948486,0.047115109468761254,11.661276976889535,1713.3,1.0,False,0.0
ChimeraBoost,Tree-based,1.083794620037079,0.09445339237388814,11.392180041704789,1773.5,2.0,False,0.0
ChimeraBoost,Tree-based,2.708271483182907,0.18916661500930787,11.249846658779756,1801.2,5.0,False,0.0
ChimeraBoost,Tree-based,5.479416546821594,0.2949825513362885,11.243383312052993,1800.7,10.0,False,0.0
ChimeraBoost,Tree-based,13.952381693720817,0.44392786502838133,11.229772411976203,1802.3,25.0,False,0.0
ChimeraBoost,Tree-based,27.92162088851052,0.4915317904949188,11.222603571575911,1810.7,50.0,False,0.0
ChimeraBoost,Tree-based,55.96604419640762,0.6471083736419678,11.14636382356081,1826.2,100.0,False,0.0
ChimeraBoost,Tree-based,83.97497973260475,0.7201955609039633,11.01402945975925,1837.3,150.0,False,0.0
ChimeraBoost,Tree-based,112.40404587268698,0.6597631980648105,10.868100584313101,1851.1,201.0,False,0.0
EBM,Tree-based,0.6682646338035423,0.00556515193646899,20.11501206445094,1381.8,1.0,False,0.0
