method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.4803682400678196,10.884955279706682,0.95961734764743,2507.0,False,0.0
TabFM+,Baseline,System,12.36808114935005,6.086970549594513,0.4994216430080023,2443.5,False,0.0
TabFM,Default,Foundation Model,11.643317875548261,25.11965525310028,0.7281182030192568,2315.4,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.3671821813250697,9.985031099880443,1.9425537633880865,2241.1,False,0.0
EXAONE-Tabular,Default,Foundation Model,1.2231731790175147,5.9333771995087305,2.204452542445643,2122.0,False,0.0
TabPFN-3,Default,Foundation Model,0.20421359931617133,0.8699671047282829,2.021209127290169,2000.3,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,11.649588696054158,739.1047147274468,3.4326591709892535,1974.7,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.6894524158439593,739.1047147274468,3.528433839120837,1962.4,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,3.566412148671898,374.99451916231664,4.336254752633108,1927.6,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,4.521804776154583,2552.3091253936677,4.508774685528056,1870.0,False,0.0
TabPFN-2.6,Default,Foundation Model,0.7022481243067644,2.7774434996659023,4.45900141178849,1865.1,False,0.0
TabICLv2,Default,Foundation Model,0.10285009574802009,0.4718674889753664,3.757642128254046,1836.2,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,11.837150098484535,474.9502246994796,5.413142464913168,1831.5,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,357.20087608455236,4529.930592582542,4.299355895218547,1817.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,1.3549179468589843,2068.171039743479,5.085765937804889,1817.6,False,0.0
Nori-30M,Default,Foundation Model,1.8805802898127533,4.856554877437389,5.532793231901771,1804.0,False,0.0
TabDPT,Tuned,Foundation Model,39.540415138044054,4529.930592582542,4.598654787896059,1768.6,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.17673877837678859,0.6611709931535901,4.5422517101268305,1760.0,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5059595331075899,1.5872114628067515,4.840374514361141,1742.9,False,0.0
Nori,Default,Foundation Model,0.6513221504233114,1.9712126532266305,6.176299262362512,1669.8,False,0.0
RealMLP,Tuned,Neural Network,0.06823820850342611,2068.171039743479,6.327879586260165,1658.2,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.8316518334843823,174.3892798062985,7.63394929791901,1654.3,False,0.0
LightGBM,Tuned + Ens.,Tree-based,9.706259087763181,223.04987467305605,7.982999414505787,1646.7,False,0.0
TabDPT,Default,Foundation Model,38.297076410885424,41.5053698770604,5.38333087039689,1642.9,False,0.0
