#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1792.0,+115/-110,0.889,6.17,1.72,4.074,38.81,6.985,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1691.0,+82/-68,0.662,9.39,4.03,7.979,289.07,4.031,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1665.0,+80/-61,0.67,10.41,4.06,9.328,3.66,0.399,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1620.0,+71/-51,0.583,12.42,7.14,10.751,5.48,0.555,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1595.0,+74/-56,0.549,13.64,6.22,10.427,2040.22,8.908,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1594.0,+73/-61,0.606,13.71,4.97,10.175,2.05,0.151,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1554.0,+65/-55,0.504,15.81,7.33,11.116,2040.22,1.218,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1524.0,+62/-44,0.474,17.55,9.62,11.66,5.81,0.645,✔️,0.0,False,GPU
8,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1514.0,+53/-46,0.401,18.2,8.44,12.789,1735.72,2.558,✔️,0.0,False,CPU
9,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1508.0,+54/-46,0.405,18.55,11.52,12.881,2950.72,11.975,✔️,0.0,False,GPU
