#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1986.0,+306/-145,0.867,4.41,1.69,2.683,27.29,13.119,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1899.0,+85/-49,0.71,6.33,2.98,4.858,191.18,2.207,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1794.0,+214/-135,0.659,9.55,3.26,5.878,1.01,0.215,✔️,0.0,False,GPU
3,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1775.0,+83/-51,0.579,10.23,4.46,6.048,432.36,4.085,✔️,0.0,False,CPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1722.0,+130/-75,0.504,12.39,8.78,7.846,2.76,0.701,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1697.0,+186/-110,0.541,13.53,4.41,6.851,0.6,0.119,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1646.0,+142/-104,0.446,16.07,8.48,8.576,735.58,11.736,✔️,0.0,False,GPU
7,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1625.0,+92/-92,0.412,17.17,11.86,8.917,1719.82,1.675,✔️,0.0,False,GPU
8,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1615.0,+104/-105,0.397,17.73,12.25,9.07,2526.31,6.013,✔️,0.0,False,GPU
9,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1611.0,+85/-63,0.379,17.97,9.32,8.932,489.93,0.249,✔️,0.0,False,CPU
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1600.0,+126/-99,0.403,18.55,10.47,9.218,735.58,1.386,✔️,0.0,False,GPU
11,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1596.0,+98/-66,0.372,18.8,9.43,9.14,489.93,0.02,✔️,0.0,False,CPU
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1589.0,+68/-51,0.327,19.19,13.5,10.466,131.56,2.639,✔️,0.0,False,CPU
13,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1576.0,+103/-101,0.378,19.95,9.61,9.095,2.47,0.01,✔️,0.0,False,CPU
14,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1558.0,+70/-52,0.322,20.99,15.67,10.221,2067.95,65.195,✔️,0.0,False,GPU
15,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1548.0,+81/-55,0.295,21.61,14.86,10.546,282.13,0.563,✔️,0.0,False,CPU
16,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1544.0,+146/-87,0.292,21.87,13.14,10.254,1236.88,0.579,✔️,0.0,False,GPU
17,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1533.0,+105/-89,0.301,22.52,14.08,10.104,1719.82,0.081,✔️,0.0,False,GPU
18,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1530.0,+136/-79,0.324,22.69,14.72,10.077,1.88,0.645,✔️,0.0,False,GPU
19,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1526.0,+156/-139,0.355,22.94,10.98,10.809,0.75,0.18,➖,0.0,False,GPU
20,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1522.0,+134/-119,0.319,23.22,6.34,10.287,4786.6,444.544,✔️,0.0,False,GPU
21,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1517.0,+116/-121,0.314,23.53,13.31,11.684,95.92,0.297,✔️,0.0,False,CPU
22,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1506.0,+76/-54,0.216,24.2,18.44,11.603,131.56,0.132,✔️,0.0,False,CPU
23,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1501.0,+64/-55,0.234,24.53,20.07,11.102,282.13,0.066,✔️,0.0,False,CPU
24,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1481.0,+130/-76,0.234,25.86,15.63,11.089,1236.88,0.054,✔️,0.0,False,GPU
25,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1472.0,+92/-81,0.217,26.42,20.56,11.215,2526.31,0.349,✔️,0.0,False,GPU
26,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1470.0,+106/-115,0.266,26.58,15.47,12.146,95.92,0.027,✔️,0.0,False,CPU
27,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1423.0,+106/-114,0.224,29.66,21.18,12.482,566.74,0.951,✔️,0.0,False,GPU
28,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1423.0,+97/-63,0.155,29.69,18.8,12.112,2067.95,10.881,✔️,0.0,False,GPU
29,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1418.0,+112/-119,0.203,30.0,19.33,13.176,0.48,0.023,✔️,0.0,False,CPU
30,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1404.0,+123/-118,0.221,30.97,12.53,12.662,4786.6,42.641,✔️,0.0,False,GPU
31,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1377.0,+71/-61,0.128,32.79,26.34,12.45,1770.56,1.069,✔️,0.0,False,CPU
32,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1373.0,+92/-101,0.159,33.01,27.27,13.982,566.74,0.06,✔️,0.0,False,GPU
33,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1372.0,+89/-103,0.137,33.13,21.73,12.907,0.49,0.053,✔️,0.0,False,CPU
34,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1344.0,+118/-102,0.157,34.99,24.16,13.337,0.51,0.127,➖,0.0,False,GPU
35,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1332.0,+119/-134,0.174,35.84,16.46,15.311,46.62,43.738,✔️,0.0,False,GPU
