,TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),RealTabPFN-2.5 (T+E),RealMLP (T+E),ModernNCA (T+E),CatBoost (T+E),LightGBM (T+E),iLTM (T+E),XGBoost (T+E),TabM (T+E),TabDPT-Turbo (default),ChimeraBoost (T+E),TabDPT (T+E),xRFM (T+E),TorchMLP (T+E),TabSwift (default),EBM (T+E),LimiX (default),RandomForest (T+E),FastaiMLP (T+E),SAP-RPT-OSS (default),ExtraTrees (T+E),PerpetualBooster (T+E),TabSTAR (T+E),KNN (T+E),Linear (T+E)
TabFM (default),,0.78518516,0.93333334,0.9037037,0.91111106,0.88148147,0.92592597,0.8518518,0.9037037,0.8962963,0.9185185,0.99259263,0.9629629,0.9185185,0.87407404,0.92592597,0.9777777,0.97037035,0.99259263,0.9037037,0.9851852,0.9407407,0.9851852,0.99259263,1.0,1.0,0.97037035,0.9851852
TabPFN-3 (default),0.21481481,,0.77037036,0.6592592,0.82962966,0.762963,0.8592593,0.73333335,0.7555555,0.78518516,0.76296294,0.85925925,0.9185185,0.78518516,0.73333335,0.8,0.8888889,0.9777778,0.84444445,0.8666667,0.962963,0.93333334,0.9481482,0.9777778,0.93333334,1.0,0.9555556,0.94814813
TabPFN-2.6 (default),0.06666667,0.22962965,,0.4592593,0.5555555,0.6888889,0.67407405,0.65185183,0.73333335,0.7037037,0.7185185,0.73333335,0.71851844,0.77037036,0.7407407,0.80740744,0.8962963,0.9111111,0.9185185,0.8518518,0.97037035,0.91111106,0.97037035,0.9851852,0.99259263,1.0,0.962963,0.9777778
TabICLv2 (default),0.0962963,0.34074074,0.5407407,,0.73333335,0.64444447,0.7407407,0.67407405,0.7111111,0.68888885,0.6814814,0.7407407,0.78518516,0.6814815,0.77037036,0.73333335,0.8074074,0.9407407,0.77037036,0.87407404,0.9185185,0.8962963,0.94814813,0.99259263,0.93333334,0.9851852,0.97037035,0.94814813
RealTabPFN-2.5 (T+E),0.08888889,0.17037039,0.44444445,0.26666668,,0.6,0.5777778,0.58518517,0.6296297,0.6148148,0.65925926,0.6148148,0.6296297,0.6074074,0.65925926,0.762963,0.8074074,0.90370375,0.8222222,0.77777773,0.94074076,0.8222223,0.90370375,0.9777778,0.9777778,1.0,0.9407407,0.89629626
RealMLP (T+E),0.11851852,0.23703703,0.31111115,0.3555556,0.4,,0.53333336,0.5185185,0.60740745,0.63703704,0.63703704,0.5925926,0.5925926,0.5185185,0.5777778,0.8592593,0.8370371,0.75555557,0.8222222,0.88888896,0.9185185,0.9851852,0.92592597,0.93333334,0.9851852,1.0,0.99259263,1.0
ModernNCA (T+E),0.074074075,0.14074074,0.32592592,0.25925925,0.42222223,0.46666667,,0.52592593,0.5777778,0.6148149,0.6296297,0.6000001,0.54814816,0.62222224,0.6370371,0.7555555,0.8222223,0.78518516,0.8222223,0.88148147,0.8592593,0.91111106,0.9037037,0.93333334,0.99259263,0.94814813,0.99259263,0.93333334
CatBoost (T+E),0.14814815,0.26666668,0.34814817,0.32592595,0.41481483,0.4814815,0.47407407,,0.5185185,0.6,0.68888885,0.4888889,0.46666667,0.69629633,0.53333336,0.7185185,0.79259264,0.74814814,0.8962963,0.6814815,0.92592597,0.9111111,0.9185185,0.9703704,0.9777778,1.0,0.99259263,0.99259263
LightGBM (T+E),0.0962963,0.24444444,0.26666668,0.28888893,0.37037042,0.39259258,0.42222223,0.4814815,,0.5407407,0.6888889,0.4740741,0.51851857,0.64444447,0.4962963,0.6444444,0.7555555,0.725926,0.8444444,0.65925926,0.93333334,0.8444444,0.9037037,0.98518527,0.9851852,0.99259263,0.9851852,0.9851852
iLTM (T+E),0.103703715,0.21481483,0.2962963,0.31111112,0.38518518,0.362963,0.3851852,0.40000004,0.45925924,,0.5407408,0.4888889,0.43703702,0.5037037,0.51111114,0.6296297,0.8814815,0.70370376,0.8000001,0.6888889,0.9111111,0.9703704,0.9111111,0.93333334,0.8666667,0.99259263,0.98518527,0.98518527
