#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1744.0,+142/-93,0.897,6.9,1.74,4.654,39.57,5.358,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1638.0,+74/-52,0.642,10.67,4.73,9.279,346.58,6.557,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1636.0,+80/-56,0.675,10.77,4.53,10.766,9.17,0.416,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1599.0,+69/-47,0.616,12.44,6.63,11.961,7.03,0.548,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1595.0,+86/-62,0.593,12.63,5.6,11.198,2289.39,8.048,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1572.0,+106/-78,0.633,13.78,5.25,11.56,3.93,0.152,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1555.0,+69/-56,0.547,14.67,6.51,11.907,2289.39,1.143,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1542.0,+80/-49,0.536,15.41,8.41,12.32,6.76,0.636,✔️,0.0,False,GPU
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1480.0,+62/-44,0.402,19.13,11.38,14.533,3771.85,21.902,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1448.0,+74/-54,0.391,21.19,9.11,15.33,4.69,0.192,➖,0.0,False,GPU
10,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1448.0,+74/-60,0.398,21.22,9.27,15.246,5119.78,218.453,✔️,0.0,False,GPU
11,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1444.0,+51/-46,0.326,21.52,13.45,15.598,3716.57,2.547,✔️,0.0,False,CPU
12,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1429.0,+52/-48,0.325,22.52,12.22,15.675,2585.58,3.838,✔️,0.0,False,GPU
13,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1415.0,+70/-58,0.356,23.49,10.85,15.884,5119.78,28.351,✔️,0.0,False,GPU
14,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1405.0,+74/-72,0.353,24.21,9.41,15.155,35.51,6.828,➖,0.0,False,GPU
15,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1400.0,+51/-43,0.293,24.6,13.5,15.91,3771.85,1.778,✔️,0.0,False,GPU
16,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1390.0,+34/-34,0.235,25.34,19.43,16.937,892.49,2.57,✔️,0.0,False,CPU
17,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1373.0,+53/-48,0.258,26.55,14.04,16.561,2585.58,0.436,✔️,0.0,False,GPU
18,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1368.0,+45/-39,0.211,26.99,19.52,17.041,1739.17,0.396,✔️,0.0,False,CPU
19,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1363.0,+57/-49,0.29,27.32,15.91,17.224,2.76,0.058,➖,0.0,False,GPU
20,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1361.0,+44/-39,0.199,27.46,18.84,17.421,22811.74,841.446,✔️,0.0,False,GPU
21,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1354.0,+39/-36,0.192,28.01,20.68,17.279,1739.17,0.051,✔️,0.0,False,CPU
22,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1353.0,+32/-31,0.185,28.07,21.83,17.389,892.49,0.346,✔️,0.0,False,CPU
23,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1332.0,+74/-67,0.275,29.74,13.6,18.023,50.33,43.707,✔️,0.0,False,GPU
24,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1330.0,+48/-42,0.203,29.84,18.17,17.868,1126.97,2.94,✔️,0.0,False,GPU
25,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1325.0,+33/-37,0.158,30.28,23.33,17.924,884.48,2.367,✔️,0.0,False,CPU
26,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1323.0,+40/-42,0.178,30.38,15.63,18.056,6523.55,0.505,✔️,0.0,False,GPU
27,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1323.0,+61/-56,0.227,30.39,13.02,18.319,6523.55,8.39,✔️,0.0,False,GPU
28,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1320.0,+35/-35,0.159,30.6,22.44,18.203,8.46,0.046,✔️,0.0,False,CPU
