method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,7.10852696151597,36.44547701379686,4.289963484748223,1797.7,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.4856052981053996,4.67386757184002,9.365705471269122,1762.1,False,0.0
TabPFN-3,Default,Foundation Model,0.3605764017599016,2.6261237600350875,11.601716792548448,1671.0,False,0.0
TabICLv2,Default,Foundation Model,0.15824944501254648,1.7686337422571086,11.715171706918206,1601.8,False,0.0
TabPFN-2.6,Default,Foundation Model,0.46445577144622807,4.8153059659349875,12.966048766854819,1593.9,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.102965805536389,1924.5007092935039,13.630274252023886,1545.9,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.6942704556678836,4.9087216863172305,14.067229801499822,1531.0,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3289068866310263,1924.5007092935039,14.195302663625206,1518.0,False,0.0
RealMLP,Tuned + Ens.,Neural Network,8.84883112230485,2775.9833627967273,15.44060049873853,1480.4,False,0.0
TabM,Tuned + Ens.,Neural Network,1.8843761147710547,1612.0705710762447,15.885444978920962,1466.2,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16897717038298293,1.4436537136915364,16.173595445468273,1439.5,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.10129440135665,328.9554302436611,16.98336844310722,1423.8,False,0.0
iLTM,Tuned + Ens.,Foundation Model,336.0020690594927,8305.066305500057,16.689073499117764,1413.6,False,0.0
TabM,Tuned,Neural Network,0.23193533986777676,1612.0705710762447,16.762119724237003,1410.8,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,358.7531028480587,4982.661911570662,15.99572098842795,1408.8,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.24560988497082648,738.2612405474812,16.716449615118147,1405.0,False,0.0
CatBoost,Default,Tree-based,0.020382793493081364,3.040650541770277,16.6908286980822,1403.8,False,0.0
CatBoost,Tuned,Tree-based,0.02887607898305489,738.2612405474812,16.879193471763774,1397.5,False,0.0
RealMLP,Tuned,Neural Network,0.41469880057347985,2775.9833627967273,17.007891223894084,1390.7,False,0.0
LightGBM,Tuned,Tree-based,0.12645894026174304,328.9554302436611,17.782145276526563,1374.7,False,0.0
BetaTabPFN,Default,Foundation Model,1.7076126445297142,250.38562255411466,18.666674802229764,1374.6,False,0.0
TabSwift,Default,Foundation Model,0.05862805584458714,1.126632790861485,17.661996427459137,1373.8,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.31415455327355213,281.38836986367926,18.173328292564257,1373.6,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.6209770484369515,473.03948685168484,17.788988779463484,1372.4,False,0.0
LimiX,Default,Foundation Model,4.29864295094648,14.258602173837213,18.50920043985558,1371.2,False,0.0
ModernNCA,Tuned,Neural Network,0.5103151766062897,3383.9090129865262,18.10321266309113,1357.1,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.390322625318314,3383.9090129865262,18.28652629204412,1354.2,False,0.0
TabDPT,Tuned,Foundation Model,42.199234123622894,4982.661911570662,17.38005404364533,1347.2,False,0.0
ChimeraBoost,Tuned,Tree-based,0.02712696086737714,281.38836986367926,18.6404088239025,1343.6,False,0.0
XGBoost,Tuned,Tree-based,0.130208239889673,473.03948685168484,18.27771503745678,1338.8,False,0.0
xRFM,Tuned + Ens.,Other,2.7662131303239423,642.4042496516736,18.666154119102476,1318.1,False,0.0
ChimeraBoost,Default,Tree-based,0.026108318504432498,1.2471436483411917,19.264240435757205,1316.8,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.4148361224001214,2241.9244610212045,18.482217699916085,1311.2,False,0.0
TabM,Default,Neural Network,0.20754939160848923,5.029279769616684,18.788473636050405,1307.5,False,0.0
EBM,Tuned + Ens.,Tree-based,0.13352970639310463,936.752317670263,19.88079294472697,1303.9,False,0.0
iLTM,Tuned,Foundation Model,52.87546835637258,8305.066305500057,19.39614273173195,1298.0,False,0.0
xRFM,Tuned,Other,0.14624599603123312,642.4042496516736,19.743532271922035,1293.3,False,0.0
SAP-RPT-OSS,Default,Foundation Model,3.1666904340187747,12.85821274740529,20.956717202850562,1289.2,False,0.0
TabDPT,Default,Foundation Model,43.82395203037029,49.67160753900305,20.193051005326286,1275.8,False,0.0
EBM,Tuned,Tree-based,0.0160758721872912,936.752317670263,20.548313703475486,1269.9,False,0.0
ModernNCA,Default,Neural Network,0.31042271796897314,13.506618732788416,20.761666296395305,1265.9,False,0.0
RealMLP,Default,Neural Network,1.1163701521022618,9.330073523853496,19.65792190743665,1261.9,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,4.079008145704764,559.3818159962832,19.982503087295918,1260.4,False,0.0
EBM,Default,Tree-based,0.01486520206227022,3.270179522899042,21.321503170334875,1246.0,False,0.0
XGBoost,Default,Tree-based,0.11027483582429407,1.2379804346720888,20.789406327337332,1228.4,False,0.0
TorchMLP,Tuned,Neural Network,0.13615802377923725,2241.9244610212045,20.489528517187946,1225.9,False,0.0
FastaiMLP,Tuned,Neural Network,0.27602083182162207,559.3818159962832,21.886662495608807,1190.2,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.6857611443081949,182.3545255640042,21.807611685460095,1185.4,False,0.0
LightGBM,Default,Tree-based,0.09259637671331868,0.8126978053160516,21.500043294805177,1181.4,False,0.0
iLTM,Default,Foundation Model,43.84725844896284,210.37523283582902,23.33142567836249,1174.4,False,0.0
TabSTAR,Tuned,Foundation Model,3.666809395525309,25373.335033234307,24.617981193806905,1168.0,False,0.0
ExtraTrees,Tuned,Tree-based,0.058333648837571805,182.3545255640042,22.606368025697357,1162.0,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,14.078398300647333,25373.335033234307,24.745550489879637,1161.1,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.6033358380962817,169.75481116844958,23.19678045588902,1151.0,False,0.0
OrionMSP,Default,Foundation Model,2.705044303358312,14.462869294484456,24.300885713531294,1144.0,False,0.0
RandomForest,Tuned,Tree-based,0.05937842494638337,169.75481116844958,23.852336234333535,1119.5,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.7725893153531416,117.85418227388149,25.65062375544645,1100.2,False,0.0
TorchMLP,Default,Neural Network,0.09146843868757407,4.950258241222675,24.161201679849846,1098.0,False,0.0
PerpetualBooster,Tuned,Tree-based,0.2900648816426595,117.85418227388149,27.021560941481365,1067.2,False,0.0
FastaiMLP,Default,Neural Network,0.267036416809054,2.556542435020763,25.474841956249318,1066.2,False,0.0
TabSTAR,Default,Foundation Model,4.051714651266313,391.10808763611567,29.34186327400431,1065.9,False,0.0
TabFlex,Default,Foundation Model,0.12894797496789714,0.8504331063073978,29.23184894392263,1046.4,False,0.0
ExtraTrees,Default,Tree-based,0.1905448884833728,1.086726051695307,27.544347684191607,1003.6,False,0.0
RandomForest,Default,Tree-based,0.02947866002291334,0.2544731195767721,27.88364146971198,1000.0,False,0.0
xRFM,Default,Other,0.5638730428413123,2.8035263333237843,30.682417482105766,989.0,False,0.0
PerpetualBooster,Default,Tree-based,0.02911549342706074,15.795025521387625,31.061456877244353,950.4,False,0.0
