#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1798.0,+134/-93,0.87,6.54,1.71,4.29,36.45,7.109,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1762.0,+99/-81,0.774,7.59,2.99,9.366,4.67,0.486,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1673.0,+112/-82,0.607,10.88,4.5,9.072,272.41,4.561,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1671.0,+104/-67,0.643,10.97,4.82,11.602,2.63,0.361,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1602.0,+112/-59,0.583,14.31,5.44,11.715,1.77,0.158,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1594.0,+77/-58,0.525,14.74,8.31,12.966,4.82,0.464,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1546.0,+101/-53,0.457,17.53,8.94,13.63,1924.5,9.103,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1531.0,+80/-49,0.459,18.46,11.23,14.067,4.91,0.694,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1518.0,+94/-51,0.429,19.3,9.4,14.195,1924.5,1.329,✔️,0.0,False,GPU
9,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1499.0,+66/-67,0.37,20.59,9.56,14.526,1152.97,1.783,✔️,0.0,False,CPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1480.0,+49/-51,0.331,21.87,14.89,15.441,2775.98,8.849,✔️,0.0,False,GPU
11,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1466.0,+65/-49,0.298,22.89,12.03,15.885,1612.07,1.884,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1440.0,+66/-60,0.327,24.86,10.87,16.174,1.44,0.169,➖,0.0,False,GPU
13,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1424.0,+52/-38,0.226,26.06,18.7,16.983,328.96,1.101,✔️,0.0,False,CPU
14,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1414.0,+57/-49,0.24,26.85,17.86,16.689,8305.07,336.002,✔️,0.0,False,GPU
15,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1411.0,+68/-54,0.236,27.07,13.9,16.762,1612.07,0.232,✔️,0.0,False,GPU
16,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1409.0,+63/-53,0.263,27.22,13.91,15.996,4982.66,358.753,✔️,0.0,False,GPU
17,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1405.0,+56/-50,0.232,27.52,15.4,16.716,738.26,0.246,✔️,0.0,False,CPU
18,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1404.0,+55/-50,0.244,27.62,14.53,16.691,3.04,0.02,✔️,0.0,False,CPU
19,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1398.0,+53/-52,0.226,28.12,15.42,16.879,738.26,0.029,✔️,0.0,False,CPU
20,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1391.0,+50/-54,0.209,28.66,16.45,17.008,2775.98,0.415,✔️,0.0,False,GPU
21,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1375.0,+41/-30,0.154,29.95,22.9,17.782,328.96,0.126,✔️,0.0,False,CPU
