method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.8841177458233304,2.1963739856084192,4.736624942111767,2149.2,False,0.0
TabFM,Default,Foundation Model,19.81768300216217,42.172310205132085,3.69883936548416,2063.7,False,0.0
TabPFN-3,Default,Foundation Model,0.3059932611449933,1.1838833521602212,9.137969135761145,1871.2,False,0.0
TabPFN-2.6,Default,Foundation Model,0.8857412968741523,2.7558592936727737,10.457972381627847,1785.9,False,0.0
TabICLv2,Default,Foundation Model,0.19797128953504076,0.6451456983884175,8.922823719454327,1784.0,False,0.0
CatBoost,Default,Tree-based,0.017649330027388742,1.382082782658015,8.913089153508919,1762.6,False,0.0
iLTM,Tuned + Ens.,Foundation Model,80.76825506162471,1883.822351887226,10.382108171724482,1759.9,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.16638114459460035,329.05075313123194,9.228266690195259,1755.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,2.0533865690231323,1633.804001414776,9.769852699409837,1745.7,False,0.0
CatBoost,Tuned,Tree-based,0.01969751471208236,329.05075313123194,9.52177886433159,1741.2,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.3315968944752024,95.91691558887598,11.149738676557591,1721.7,False,0.0
TabM,Tuned + Ens.,Neural Network,0.5790353938445546,583.5491237682859,10.96340006116609,1714.4,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.3857911874885318,110.13394387170587,11.58623085626686,1711.4,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.6682734383477106,86.84701181650561,12.038013207152115,1696.8,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,6.4096341011259295,2139.1684153662786,11.348216975139252,1675.1,False,0.0
ChimeraBoost,Tuned,Tree-based,0.026597070066552417,95.91691558887598,11.81081021364186,1656.5,False,0.0
RealMLP,Tuned,Neural Network,0.08792171989258928,1633.804001414776,11.076164005053085,1650.6,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,15.118445156747917,842.2477383770442,12.534516179282768,1650.1,False,0.0
XGBoost,Tuned,Tree-based,0.06085753494784649,110.13394387170587,12.408889405539954,1639.7,False,0.0
TabM,Tuned,Neural Network,0.05620110829671224,583.5491237682859,11.847209109100303,1634.9,False,0.0
ChimeraBoost,Default,Tree-based,0.023387924830118815,0.47897883160115473,12.486853899478222,1618.2,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.4652611393989805,842.2477383770442,13.041337131397846,1608.6,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8963303311665852,2.29998209476471,12.830068106734318,1589.5,False,0.0
LightGBM,Tuned,Tree-based,0.07760857857182997,86.84701181650561,13.718920506179646,1583.0,False,0.0
TabICL,Default,Foundation Model,3.5782128678427805,8.534763300418852,13.460739836546981,1572.7,False,0.0
iLTM,Tuned,Foundation Model,10.881337571144105,1883.822351887226,13.329539258288944,1569.4,False,0.0
ModernNCA,Tuned,Neural Network,0.3490410688188341,2139.1684153662786,13.764308836514882,1557.1,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,475.780075188949,4860.878886904981,13.371448273390413,1538.5,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,1.5584373712539672,1156.6875333302653,13.17506751144452,1538.0,False,0.0
