,EXAONE-Tabular (default),TabFM (default),TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),iLTM (T+E),CatBoost (T+E),RealMLP (T+E),ChimeraBoost (T+E),XGBoost (T+E),TabM (T+E),LightGBM (T+E),ModernNCA (T+E),RealTabPFN-2.5 (T+E),TabICL (default),TabDPT (T+E),TorchMLP (T+E),TabDPT-Turbo (default),xRFM (T+E),EBM (T+E),TabSwift (default),BetaTabPFN (default),FastaiMLP (T+E),RandomForest (T+E),SAP-RPT-OSS (default),LimiX (default),ExtraTrees (T+E),Linear (T+E),TabSTAR (T+E),KNN (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default)
EXAONE-Tabular (default),,0.43209875,0.7530864,0.80246913,0.96296287,0.93827164,0.8765432,0.9012345,0.8518518,0.97530866,0.9876544,0.9876544,0.962963,0.97530866,0.95061725,0.9876544,0.97530866,0.97530866,0.93827164,0.9876544,0.9876544,0.9876544,0.9876544,0.9876544,1.0,1.0,0.9876544,1.0,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.56790125,,0.9012345,0.9012345,0.95061725,0.8271605,0.7530864,0.80246913,0.8641975,0.8641975,0.9876544,0.83950615,0.8765432,0.96296287,0.95061725,0.96296287,0.96296287,0.96296287,0.8765432,0.9876544,0.95061725,1.0,0.9012345,0.97530866,0.97530866,0.95061725,0.9876544,0.97530866,1.0,0.95061725,1.0,1.0,1.0
TabPFN-3 (default),0.2469136,0.09876543,,0.53086424,0.72839504,0.67901236,0.6666667,0.71604943,0.7530864,0.71604943,0.7654321,0.7037037,0.8765432,0.8518518,0.8518519,0.8765432,0.8148148,0.95061725,0.7654321,0.8518519,0.962963,0.93827164,0.8888889,0.93827164,0.91358024,0.8888889,0.962963,0.91358024,1.0,0.92592597,1.0,1.0,1.0
TabICLv2 (default),0.19753088,0.09876544,0.46913582,,0.48148143,0.59259254,0.5679012,0.53086424,0.5802469,0.58024687,0.5679012,0.654321,0.67901236,0.8148148,0.8148148,0.8888889,0.79012346,0.8641975,0.66666675,0.7530864,0.9012345,0.91358024,0.82716054,0.96296287,0.91358024,0.9012345,0.9876544,0.91358024,0.97530866,0.95061725,1.0,1.0,1.0
TabPFN-2.6 (default),0.037037037,0.049382716,0.27160493,0.51851857,,0.50617284,0.5185185,0.5802469,0.64197534,0.53086424,0.5802469,0.65432096,0.66666675,0.7777778,0.7530864,0.8395062,0.82716054,0.8395062,0.7407408,0.8641975,0.8518519,0.8888889,0.8518518,0.95061725,0.95061725,0.8641975,0.97530866,0.962963,1.0,0.93827164,0.9876544,1.0,1.0
iLTM (T+E),0.0617284,0.17283952,0.32098764,0.40740743,0.4938272,,0.45679012,0.4938272,0.49382713,0.59259266,0.5308642,0.6296296,0.56790125,0.6419753,0.71604943,0.71604943,0.8518518,0.67901236,0.8765433,0.9012346,0.7407407,0.8518519,0.962963,0.97530866,0.97530866,0.83950615,0.95061725,0.9876544,1.0,0.9876544,0.97530866,0.9876544,1.0
CatBoost (T+E),0.1234568,0.2469136,0.33333334,0.43209878,0.4814815,0.54320985,,0.580247,0.5432099,0.6296297,0.5555556,0.56790125,0.5432099,0.58024687,0.654321,0.6296297,0.7654321,0.6296296,0.91358024,0.92592597,0.7530864,0.82716054,0.8518519,0.97530866,0.97530866,0.80246913,0.9876544,0.9876544,1.0,0.9876544,0.97530866,0.9876544,0.9876544
RealMLP (T+E),0.09876543,0.19753087,0.28395063,0.46913582,0.41975313,0.5061729,0.4197531,,0.4197531,0.5555556,0.46913582,0.5802469,0.5925926,0.61728394,0.6419753,0.67901236,0.83950615,0.7407407,0.82716054,0.83950615,0.72839504,0.8395062,0.97530866,0.97530866,0.96296287,0.93827164,1.0,1.0,1.0,0.9876544,0.97530866,1.0,1.0
ChimeraBoost (T+E),0.14814816,0.13580246,0.2469136,0.41975307,0.35802472,0.5061729,0.45679012,0.5802469,,0.5308642,0.56790125,0.5802469,0.5061729,0.56790125,0.617284,0.66666675,0.6790123,0.67901236,0.8888889,0.91358024,0.6296297,0.86419755,0.83950615,0.9876544,0.97530866,0.8271605,0.8765432,1.0,1.0,0.9876544,0.8641975,1.0,1.0
XGBoost (T+E),0.024691358,0.13580248,0.28395063,0.4197531,0.46913582,0.4074074,0.3703704,0.44444445,0.46913582,,0.5802469,0.50617284,0.46913582,0.5555556,0.5555556,0.65432096,0.7777778,0.65432096,0.80246913,0.9012345,0.65432096,0.86419755,0.7777778,1.0,0.95061725,0.7530864,0.9876544,1.0,0.9876544,0.9876544,0.91358024,1.0,1.0
TabM (T+E),0.012345679,0.012345679,0.23456791,0.43209878,0.4197531,0.46913582,0.44444445,0.53086424,0.43209875,0.41975307,,0.51851857,0.5802469,0.6296297,0.6419753,0.7283951,0.66666675,0.79012346,0.61728394,0.7407407,0.83950615,0.9012345,0.80246913,0.92592597,0.9012345,0.8518518,0.9259259,0.92592597,1.0,0.93827164,0.97530866,1.0,1.0
LightGBM (T+E),0.012345679,0.16049384,0.2962963,0.34567904,0.34567901,0.3703704,0.43209875,0.41975307,0.41975307,0.4938272,0.4814815,,0.45679012,0.51851857,0.6296297,0.56790125,0.70370364,0.69135803,0.7407407,0.8148148,0.7160494,0.8518518,0.7407407,0.962963,0.95061725,0.7654321,0.97530866,0.97530866,0.9876544,0.97530866,0.97530866,0.9876544,1.0
ModernNCA (T+E),0.037037037,0.1234568,0.1234568,0.32098767,0.33333337,0.43209875,0.45679012,0.4074074,0.4938272,0.5308642,0.4197531,0.5432099,,0.5925926,0.60493827,0.654321,0.70370364,0.67901236,0.67901236,0.8148148,0.66666675,0.8024691,0.8518519,0.8765432,0.83950615,0.95061725,0.8888889,0.8888889,0.91358024,0.9876544,0.9876544,0.95061725,0.9259259
RealTabPFN-2.5 (T+E),0.024691358,0.037037037,0.14814815,0.1851852,0.22222222,0.35802472,0.41975307,0.38271606,0.43209875,0.44444445,0.37037036,0.48148143,0.4074074,,0.6666667,0.65432096,0.6790123,0.60493827,0.617284,0.7037037,0.8395062,0.7777778,0.7037037,0.9012346,0.8395062,0.7407407,0.962963,0.8271605,1.0,0.9012345,0.962963,0.9876544,1.0
TabICL (default),0.049382716,0.049382716,0.14814815,0.1851852,0.2469136,0.28395063,0.34567901,0.3580247,0.38271606,0.44444445,0.35802472,0.37037036,0.3950617,0.33333334,,0.60493827,0.59259254,0.5925926,0.61728394,0.691358,0.61728394,0.654321,0.65432096,0.79012346,0.75308645,0.7654321,0.7777778,0.72839504,0.93827164,0.83950615,0.97530866,1.0,0.97530866
TabDPT (T+E),0.012345679,0.037037037,0.1234568,0.11111111,0.16049382,0.28395063,0.3703704,0.32098764,0.33333334,0.34567901,0.27160496,0.43209875,0.34567901,0.34567904,0.39506173,,0.5802469,0.45679012,0.56790125,0.5555556,0.6419753,0.5802469,0.65432096,0.7407407,0.7160494,0.7407407,0.7530864,0.72839504,0.8395062,0.82716054,0.9876544,0.9876544,0.962963
TorchMLP (T+E),0.024691358,0.037037037,0.1851852,0.20987655,0.17283951,0.14814815,0.23456791,0.16049382,0.32098767,0.22222222,0.33333337,0.2962963,0.2962963,0.32098764,0.4074074,0.4197531,,0.39506176,0.5555556,0.51851857,0.6419753,0.5555556,0.61728394,0.7777778,0.80246913,0.7407407,0.8765432,0.9012346,0.91358024,0.9012345,0.97530866,1.0,1.0
TabDPT-Turbo (default),0.024691358,0.037037037,0.049382716,0.13580246,0.16049382,0.32098764,0.3703704,0.25925928,0.32098764,0.34567901,0.20987655,0.30864197,0.32098764,0.39506173,0.4074074,0.5432099,0.60493827,,0.5802469,0.5308642,0.67901236,0.56790125,0.60493827,0.71604943,0.6666667,0.8518518,0.7407408,0.7037037,0.8765432,0.83950615,0.962963,0.8888889,0.8765432
xRFM (T+E),0.0617284,0.1234568,0.23456791,0.33333334,0.25925928,0.1234568,0.086419754,0.17283951,0.11111111,0.19753087,0.38271606,0.25925928,0.32098764,0.38271606,0.38271606,0.43209878,0.44444445,0.4197531,,0.60493827,0.4197531,0.5925926,0.7037037,0.71604943,0.7654321,0.7654321,0.8148148,0.97530866,0.83950615,0.96296287,0.79012346,0.96296287,0.97530866
