method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.7575851331816779,2.066991859541999,5.122973338221922,2091.5,False,0.0
TabFM,Default,Foundation Model,18.759159207745107,38.855695439672004,4.333301276504242,2011.9,False,0.0
TabPFN-3,Default,Foundation Model,0.2888892555885956,1.0968929681890867,8.496551858063171,1852.9,False,0.0
TabPFN-2.6,Default,Foundation Model,0.7011909333102155,2.4084538178973727,10.301519995832075,1759.9,False,0.0
TabICLv2,Default,Foundation Model,0.17030788932515545,0.6258098026116689,9.30460270159097,1752.5,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.1678973096953436,378.49944280394857,9.858355947879181,1711.0,False,0.0
CatBoost,Default,Tree-based,0.019009975735391288,1.4934673843154078,9.739919899362071,1705.6,False,0.0
iLTM,Tuned + Ens.,Foundation Model,72.9817040914937,1607.7353976095485,11.067371323425979,1703.8,False,0.0
CatBoost,Tuned,Tree-based,0.019943409702190152,378.49944280394857,10.127361944388813,1698.0,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.3981946384433701,207.64917455079612,11.960356548717519,1672.3,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.31415455327355213,90.16544722126426,11.778601903383546,1668.9,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.7582948003874885,93.21363383929135,12.256779459033988,1667.8,False,0.0
RealMLP,Tuned + Ens.,Neural Network,1.762731527950025,1624.5504043652388,11.50684074008666,1652.8,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,13.789522935980635,783.2895068512435,11.751207531545363,1641.3,False,0.0
TabM,Tuned + Ens.,Neural Network,0.5540866050410362,860.2847801702159,12.343261930725905,1635.5,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,14.247648213580764,2338.1908652585917,11.958236994842082,1627.2,False,0.0
ChimeraBoost,Tuned,Tree-based,0.026072350824088382,90.16544722126426,12.370581679391456,1611.0,False,0.0
XGBoost,Tuned,Tree-based,0.056170896062371245,207.64917455079612,12.732916712766645,1605.1,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.9240530403281784,783.2895068512435,12.436606465641557,1599.3,False,0.0
RealMLP,Tuned,Neural Network,0.08344295147910782,1624.5504043652388,12.724702095726242,1571.0,False,0.0
TabM,Tuned,Neural Network,0.05504945489151147,860.2847801702159,13.211645742947761,1564.3,False,0.0
ChimeraBoost,Default,Tree-based,0.022962509644658943,0.38438234911418767,13.406520983755449,1561.9,False,0.0
LightGBM,Tuned,Tree-based,0.08724260838618897,93.21363383929135,13.810848717579221,1561.6,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8199508221944173,2.2973997314771015,13.305985553022412,1551.9,False,0.0
TabICL,Default,Foundation Model,3.1457473700745275,7.507898305327626,13.966885496937698,1531.5,False,0.0
iLTM,Tuned,Foundation Model,10.661158216417883,1607.7353976095485,14.085499200747467,1522.8,False,0.0
ModernNCA,Tuned,Neural Network,0.5401190642847595,2338.1908652585917,14.2296076580854,1517.9,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.23023979850537535,0.7869111961377642,14.84343783532815,1513.7,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,461.7902853065785,4805.678216131284,14.26122486288991,1489.8,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,1.442404245819941,1169.3150011595803,14.111013417063706,1488.1,False,0.0
