#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1715.0,+170/-142,0.867,8.24,1.78,5.638,38.57,6.317,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1713.0,+97/-68,0.771,8.32,3.59,10.831,5.54,0.485,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1615.0,+95/-81,0.606,12.3,5.43,11.089,363.16,6.598,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1612.0,+101/-78,0.638,12.46,5.39,13.324,7.17,0.407,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1580.0,+91/-75,0.564,14.1,6.71,13.724,2289.39,8.114,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1575.0,+83/-67,0.574,14.35,7.88,14.481,6.26,0.539,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1565.0,+76/-70,0.555,14.86,8.84,14.403,6.08,0.762,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1563.0,+75/-66,0.549,14.99,7.09,14.387,2289.39,1.253,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1562.0,+94/-83,0.611,15.05,5.79,13.829,3.22,0.167,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1457.0,+77/-76,0.404,21.66,10.16,16.484,27.77,5.044,➖,0.0,False,GPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1451.0,+70/-52,0.352,22.12,13.69,17.479,3423.61,18.933,✔️,0.0,False,GPU
11,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1430.0,+65/-63,0.356,23.61,10.06,18.179,4.35,0.169,➖,0.0,False,GPU
12,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1430.0,+64/-55,0.319,23.67,12.17,18.456,2469.48,3.418,✔️,0.0,False,GPU
13,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1423.0,+70/-55,0.293,24.14,14.99,18.234,3144.62,1.882,✔️,0.0,False,CPU
14,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1401.0,+63/-60,0.318,25.8,12.6,18.472,5271.47,231.832,✔️,0.0,False,GPU
15,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1392.0,+61/-50,0.302,26.5,15.36,19.773,331.0,2.359,➖,0.0,False,GPU
16,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1381.0,+53/-60,0.258,27.36,13.98,19.294,2469.48,0.408,✔️,0.0,False,GPU
17,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1377.0,+50/-34,0.217,27.68,20.89,19.488,735.37,1.9,✔️,0.0,False,CPU
18,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1373.0,+62/-54,0.25,28.0,15.26,18.971,3423.61,1.533,✔️,0.0,False,GPU
19,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1370.0,+71/-59,0.278,28.25,13.01,19.145,5271.47,33.978,✔️,0.0,False,GPU
20,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1352.0,+46/-34,0.18,29.73,22.94,19.855,735.37,0.311,✔️,0.0,False,CPU
21,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1345.0,+60/-59,0.269,30.26,17.96,20.583,2.24,0.055,➖,0.0,False,GPU
22,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1344.0,+44/-35,0.186,30.34,22.24,19.888,1542.95,0.396,✔️,0.0,False,CPU
23,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1338.0,+48/-48,0.167,30.82,21.47,19.969,21290.02,663.263,✔️,0.0,False,GPU
24,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1334.0,+39/-31,0.17,31.21,23.03,20.145,1542.95,0.044,✔️,0.0,False,CPU
25,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1330.0,+56/-50,0.184,31.48,15.74,20.235,6049.28,0.525,✔️,0.0,False,GPU
26,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1315.0,+44/-32,0.155,32.77,23.91,20.738,7.18,0.04,✔️,0.0,False,CPU
27,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1314.0,+70/-72,0.257,32.86,11.69,21.621,13.27,1.624,➖,0.0,False,GPU
28,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1311.0,+61/-60,0.181,33.07,20.44,20.862,1053.94,3.062,✔️,0.0,False,GPU
29,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1307.0,+41/-47,0.138,33.4,24.87,20.679,798.08,2.227,✔️,0.0,False,CPU
30,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1299.0,+62/-60,0.184,34.1,20.07,21.102,8.79,0.411,✔️,0.0,False,GPU
31,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1298.0,+78/-77,0.199,34.2,18.06,21.182,6049.28,8.736,✔️,0.0,False,GPU
32,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1291.0,+38/-41,0.111,34.79,24.24,20.902,798.08,0.353,✔️,0.0,False,CPU
33,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1286.0,+72/-81,0.206,35.18,17.19,21.56,51.45,43.707,✔️,0.0,False,GPU
34,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1279.0,+42/-37,0.111,35.81,25.93,21.933,2499.4,0.174,✔️,0.0,False,CPU
35,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1270.0,+58/-52,0.141,36.56,21.27,22.044,1053.94,0.169,✔️,0.0,False,GPU
36,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1268.0,+67/-59,0.13,36.67,26.08,22.283,1142.82,0.536,✔️,0.0,False,CPU
37,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1268.0,+51/-49,0.119,36.73,26.95,21.508,2977.91,2.415,✔️,0.0,False,CPU
38,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1254.0,+54/-47,0.11,37.88,27.06,22.553,1142.82,0.043,✔️,0.0,False,CPU
39,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1251.0,+44/-44,0.082,38.11,27.35,22.498,2499.4,0.022,✔️,0.0,False,CPU
40,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1248.0,+56/-61,0.111,38.4,20.62,23.792,15.55,0.346,✔️,0.0,False,GPU
41,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1242.0,+69/-60,0.138,38.92,21.24,22.579,1424.22,9.206,✔️,0.0,False,CPU
