method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.6693328454508813,8.618001593202118,9.189089414463004,1843.1,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3463854050940522,2710.488010135443,12.666163954427056,1722.7,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.094662232452926,2710.488010135443,11.60831280437156,1715.5,False,0.0
TabFM,Default,Foundation Model,7.684594236782276,55.12930911696275,9.063560315917185,1680.5,False,0.0
TabPFN-2.6,Default,Foundation Model,0.612658711391924,9.940809547193947,14.937573182961609,1644.2,False,0.0
TabPFN-3,Default,Foundation Model,0.4885714957377921,11.663522929567835,13.749022512650694,1597.3,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8441387841941691,10.225668064503907,14.291719729863523,1587.2,False,0.0
LimiX,Default,Foundation Model,7.0619559967285905,44.325578779036704,14.146289974851015,1572.9,False,0.0
TabICLv2,Default,Foundation Model,0.1967767848575243,5.6364435240570625,16.099737137004013,1561.1,False,0.0
RealMLP,Tuned + Ens.,Neural Network,19.12832243604106,4150.815892399585,17.657811730239857,1513.0,False,0.0
RealMLP,Tuned,Neural Network,3.420302250359997,4150.815892399585,18.523094482592523,1491.0,False,0.0
LightGBM,Tuned + Ens.,Tree-based,5.200625796499297,1377.4770257446412,19.84167605447804,1472.3,False,0.0
TabM,Tuned + Ens.,Neural Network,4.212663384182079,3881.8318340104934,20.453249284740142,1469.3,False,0.0
LightGBM,Tuned,Tree-based,1.2591317347741153,1377.4770257446412,20.072971071468782,1460.7,False,0.0
CatBoost,Tuned + Ens.,Tree-based,1.1808204253846237,2635.9752136463762,19.245932516098772,1460.6,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.27076534553044534,5.455623096250603,21.53058376636185,1437.8,False,0.0
CatBoost,Tuned,Tree-based,0.17312930928327006,2635.9752136463762,19.8688919715281,1436.5,False,0.0
TabM,Tuned,Neural Network,0.697837902178858,3881.8318340104934,21.187129981818327,1429.5,False,0.0
