#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),9174.0,+0/-0,1.0,1.0,1.0,0.0,3.93,3.165,➖,0.0,False,GPU
1,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),8176.0,+0/-0,0.904,2.44,2.3,2.724,0.91,0.272,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",8048.0,+0/-0,0.861,2.89,2.7,3.919,257.86,1.392,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),7787.0,+0/-0,0.831,3.78,3.67,4.701,133.98,8.253,✔️,0.0,False,GPU
4,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",7061.0,+0/-0,0.769,5.67,5.45,6.303,276.88,4.662,✔️,0.0,False,CPU
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),6968.0,+0/-0,0.742,6.11,6.02,6.994,133.98,2.816,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),6824.0,+0/-0,0.677,6.89,6.65,8.6,1.6,0.589,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),6590.0,+0/-0,0.615,8.11,7.9,10.043,35.54,17.701,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),6590.0,+0/-0,0.664,8.11,8.01,8.893,1.83,0.517,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),5320.0,+0/-0,0.498,10.89,10.77,12.741,0.48,0.143,✔️,0.0,False,GPU
10,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),5068.0,+0/-0,0.451,13.0,12.63,13.784,6148.01,0.15,✔️,0.0,False,CPU
11,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),5068.0,+0/-0,0.45,13.0,12.66,13.814,61.95,0.17,✔️,0.0,False,CPU
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),5010.0,+0/-0,0.43,13.67,13.4,14.226,157.72,3.649,✔️,0.0,False,CPU
13,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),4937.0,+0/-0,0.439,14.56,14.2,14.045,6148.01,0.011,✔️,0.0,False,CPU
