#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1870.0,+213/-81,0.836,6.0,2.94,9.273,9.81,0.746,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1741.0,+163/-58,0.68,10.18,6.3,13.316,245.58,2.838,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1732.0,+196/-76,0.685,10.55,5.2,13.476,2742.8,1.218,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1717.0,+242/-109,0.67,11.21,4.91,12.595,2742.8,7.936,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1693.0,+451/-248,0.815,12.3,1.86,8.924,64.25,6.446,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1653.0,+214/-99,0.59,14.26,8.9,15.801,11.1,0.682,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1635.0,+274/-154,0.572,15.21,6.97,13.821,11.21,0.845,✔️,0.0,False,GPU
7,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1597.0,+193/-118,0.479,17.39,9.76,16.303,4471.59,21.354,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1588.0,+210/-142,0.509,17.9,8.4,15.324,12.32,0.524,✔️,0.0,False,GPU
9,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1572.0,+128/-59,0.455,18.89,11.45,17.232,4471.59,3.755,✔️,0.0,False,GPU
10,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1569.0,+266/-187,0.536,19.08,6.75,16.58,6.2,0.211,✔️,0.0,False,GPU
11,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1559.0,+169/-128,0.461,19.69,10.41,16.167,46.82,7.43,➖,0.0,False,GPU
12,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1531.0,+134/-81,0.416,21.5,12.55,19.838,3919.29,4.506,✔️,0.0,False,GPU
13,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1530.0,+196/-85,0.317,21.63,11.89,19.703,6549.61,2.898,✔️,0.0,False,CPU
14,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1488.0,+123/-76,0.363,24.44,14.62,20.572,3919.29,0.749,✔️,0.0,False,GPU
15,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1477.0,+153/-87,0.313,25.24,19.92,20.644,1502.45,6.327,✔️,0.0,False,CPU
16,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1475.0,+74/-42,0.302,25.37,21.62,19.777,3415.61,1.368,✔️,0.0,False,CPU
17,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1472.0,+190/-163,0.392,25.59,12.92,22.528,4631.38,190.548,✔️,0.0,False,GPU
