method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
CatBoost,Tree-based,8.732923523885916,0.016935660981709164,9.535375970080043,1392.9,1.0,False,0.0
CatBoost,Tree-based,21.046557618988086,0.0753245981765459,9.046199024255456,1428.8,2.0,False,0.0
CatBoost,Tree-based,52.58648003647959,0.16091181573423596,8.521842134292962,1473.6,5.0,False,0.0
CatBoost,Tree-based,107.36258134584553,0.22514505055142608,8.274916868118897,1489.6,10.0,False,0.0
CatBoost,Tree-based,273.3208727606643,0.23531963570246756,8.03085072733137,1504.6,25.0,False,0.0
CatBoost,Tree-based,552.7941001427314,0.26941492783209603,7.9732575207332,1510.8,50.0,False,0.0
CatBoost,Tree-based,1107.2542254235855,0.31970633179046065,7.934303754384072,1517.7,100.0,False,0.0
CatBoost,Tree-based,1651.7632314869675,0.3499660794813608,7.924969539965426,1518.3,150.0,False,0.0
CatBoost,Tree-based,2229.2144624726134,0.38021168966412233,7.909152413461411,1520.7,201.0,False,0.0
ChimeraBoost,Tree-based,2.678966419058685,0.02976273733116104,12.49759376919166,1227.4,1.0,False,0.0
ChimeraBoost,Tree-based,4.43838502030943,0.05569299910832378,12.379625949598541,1234.1,2.0,False,0.0
ChimeraBoost,Tree-based,10.070184857413143,0.09880434772343312,12.193628478767437,1255.8,5.0,False,0.0
ChimeraBoost,Tree-based,20.4645253739688,0.13632406308813003,11.96973652152565,1279.7,10.0,False,0.0
ChimeraBoost,Tree-based,51.95886600464636,0.18372196016959774,11.711183509367556,1303.6,25.0,False,0.0
ChimeraBoost,Tree-based,104.26587092247087,0.20430192785355653,11.5279126711778,1320.7,50.0,False,0.0
ChimeraBoost,Tree-based,208.78799745695375,0.22490813431230566,11.357305785174503,1332.2,100.0,False,0.0
ChimeraBoost,Tree-based,313.25560245070625,0.23110654747601853,11.279087948291561,1339.0,150.0,False,0.0
ChimeraBoost,Tree-based,420.0975247536706,0.24214741084780808,11.234609714206705,1346.2,201.0,False,0.0
EBM,Tree-based,7.869213454213734,0.010819356431344476,15.872222054057666,1054.4,1.0,False,0.0
EBM,Tree-based,17.09456682244302,0.02147572225394565,15.504071365208388,1077.5,2.0,False,0.0
EBM,Tree-based,52.14052021416555,0.040334102272572,15.14463227788127,1108.2,5.0,False,0.0
EBM,Tree-based,97.84285037912392,0.056832926394724356,14.93089401471425,1126.0,10.0,False,0.0
EBM,Tree-based,240.45774746639785,0.07771127079616605,14.64185681222729,1143.2,25.0,False,0.0
EBM,Tree-based,484.5851613773758,0.09315597558925727,14.555373205743333,1152.3,50.0,False,0.0
EBM,Tree-based,933.0688585006111,0.10632280478009579,14.48458524900188,1159.1,100.0,False,0.0
EBM,Tree-based,1378.9985712806792,0.11341740961505929,14.451945616090114,1164.6,150.0,False,0.0
EBM,Tree-based,1865.2663509928632,0.11657501397348424,14.427909356315263,1168.5,201.0,False,0.0
ExtraTrees,Tree-based,2.544521210897763,0.24026220999908487,15.537711766326408,1062.1,1.0,False,0.0
ExtraTrees,Tree-based,3.1259596547771116,0.2792114359144372,14.977407387047759,1102.8,2.0,False,0.0
ExtraTrees,Tree-based,6.772191225672007,0.31581102538748573,14.142024806556098,1155.0,5.0,False,0.0
ExtraTrees,Tree-based,13.288092341970305,0.3028704860640871,13.733370487124951,1179.1,10.0,False,0.0
ExtraTrees,Tree-based,32.8419339595057,0.41052068180720114,13.11779660152142,1213.4,25.0,False,0.0
ExtraTrees,Tree-based,65.49386348647792,0.5221999466471208,12.990680571497826,1226.8,50.0,False,0.0
ExtraTrees,Tree-based,130.83697151858863,0.6604878869775224,12.914635680549043,1233.2,100.0,False,0.0
ExtraTrees,Tree-based,196.22448049705483,0.7291312704800178,12.889922121128098,1236.9,150.0,False,0.0
ExtraTrees,Tree-based,263.0379305178949,0.8077239936412522,12.878618176394657,1239.7,201.0,False,0.0
FastaiMLP,Neural Network,2.603904315711083,0.3915661558425541,19.926095320002528,868.3,1.0,False,0.0
FastaiMLP,Neural Network,5.169010008227299,0.6643959345785029,19.66113162200408,880.7,2.0,False,0.0
FastaiMLP,Neural Network,13.426625103233938,1.1863927783450354,18.813049900136367,915.7,5.0,False,0.0
