#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2031.0,+151/-117,0.915,3.79,1.95,1.549,39.42,6.476,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1812.0,+229/-132,0.736,9.02,3.42,2.318,3.66,0.399,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1792.0,+131/-91,0.69,9.68,4.32,3.842,335.03,4.334,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1768.0,+125/-76,0.676,10.57,3.54,3.341,11.58,2.023,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1761.0,+109/-59,0.632,10.84,7.8,3.932,8.52,0.696,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1759.0,+147/-106,0.623,10.9,6.29,3.296,1709.05,8.119,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1740.0,+164/-92,0.622,11.67,4.16,4.161,4786.6,239.304,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1693.0,+267/-150,0.657,13.62,4.48,3.867,1.32,0.122,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1687.0,+135/-88,0.59,13.89,7.47,4.438,6.93,1.389,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1686.0,+132/-73,0.57,13.96,7.66,4.603,4786.6,38.497,✔️,0.0,False,GPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1665.0,+120/-65,0.5,14.91,10.32,4.965,3995.01,10.048,✔️,0.0,False,GPU
