method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,4.094216871263638,49.29390820662764,2.139682774173298,1966.5,False,0.0
Nori-30M,Default,Foundation Model,2.0528542695595577,12.09149301155594,1.8817397668463691,1859.4,False,0.0
TabPFN-3,Default,Foundation Model,0.43882524228874165,14.086279804767486,2.589612799152142,1797.7,False,0.0
Nori,Default,Foundation Model,1.5662902939062764,12.370393342637602,3.426237977090644,1783.8,False,0.0
TabPFN-2.6,Default,Foundation Model,0.585225062692124,9.203177876138628,3.846041567368636,1739.9,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,140.7371116271002,4823.368423251146,4.625161350487932,1720.8,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,7.22640045691371,2307.574171404962,3.24314558215225,1705.2,False,0.0
TabDPT,Tuned,Foundation Model,22.31162854095092,4823.368423251146,5.089744656456341,1674.8,False,0.0
TabICLv2,Default,Foundation Model,0.1402308582373346,5.154301563700258,4.334531616144794,1666.8,False,0.0
RealMLP,Tuned + Ens.,Neural Network,33.83073366708041,4560.006047678364,5.035610632272232,1637.2,False,0.0
TabDPT,Default,Foundation Model,42.001452678040025,48.13762260662206,6.191552310172355,1580.5,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.9019759915717092,2307.574171404962,4.156801614429432,1574.1,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.26369012956431215,7.9333050678311725,5.996720211593897,1571.2,False,0.0
RealMLP,Tuned,Neural Network,2.2331214773668724,4560.006047678364,5.960171519130276,1547.3,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5470075606737848,7.669068183815102,5.988482599428079,1505.7,False,0.0
iLTM,Tuned + Ens.,Foundation Model,1519.479176615716,39519.06989985972,9.04303359153434,1489.2,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.4436888454343369,4283.104346126584,7.739953834534339,1487.9,False,0.0
TabSwift,Default,Foundation Model,0.06397250650274536,3.5256005858007686,6.059425056341491,1481.7,False,0.0
LightGBM,Tuned + Ens.,Tree-based,7.105671558743349,1203.236902878332,8.586431530961407,1465.0,False,0.0
CatBoost,Tuned,Tree-based,0.06274563478872208,4283.104346126584,7.913154582322688,1459.7,False,0.0
